date,USDCNH,isPartial
2013-01-06,7,False
2013-01-13,7,False
2013-01-20,10,False
2013-01-27,12,False
2013-02-03,5,False
2013-02-10,5,False
2013-02-17,4,False
2013-02-24,8,False
2013-03-03,10,False
2013-03-10,6,False
2013-03-17,12,False
2013-03-24,4,False
2013-03-31,7,False
2013-04-07,7,False
2013-04-14,9,False
2013-04-21,7,False
2013-04-28,5,False
2013-05-05,7,False
2013-05-12,4,False
2013-05-19,12,False
2013-05-26,6,False
2013-06-02,11,False
2013-06-09,7,False
2013-06-16,4,False
2013-06-23,4,False
2013-06-30,15,False
2013-07-07,4,False
2013-07-14,6,False
2013-07-21,0,False
2013-07-28,0,False
2013-08-04,5,False
2013-08-11,5,False
2013-08-18,4,False
2013-08-25,3,False
2013-09-01,0,False
2013-09-08,3,False
2013-09-15,0,False
2013-09-22,5,False
2013-09-29,3,False
2013-10-06,4,False
2013-10-13,5,False
2013-10-20,4,False
2013-10-27,4,False
2013-11-03,4,False
2013-11-10,6,False
2013-11-17,6,False
2013-11-24,5,False
2013-12-01,6,False
2013-12-08,13,False
2013-12-15,6,False
2013-12-22,6,False
2013-12-29,4,False
2014-01-05,6,False
2014-01-12,6,False
2014-01-19,12,False
2014-01-26,10,False
2014-02-02,8,False
2014-02-09,9,False
2014-02-16,13,False
2014-02-23,38,False
2014-03-02,20,False
2014-03-09,21,False
2014-03-16,21,False
2014-03-23,20,False
2014-03-30,18,False
2014-04-06,11,False
2014-04-13,14,False
2014-04-20,14,False
2014-04-27,7,False
2014-05-04,15,False
2014-05-11,11,False
2014-05-18,8,False
2014-05-25,15,False
2014-06-01,13,False
2014-06-08,15,False
2014-06-15,9,False
2014-06-22,11,False
2014-06-29,7,False
2014-07-06,10,False
2014-07-13,7,False
2014-07-20,10,False
2014-07-27,12,False
2014-08-03,17,False
2014-08-10,16,False
2014-08-17,11,False
2014-08-24,6,False
2014-08-31,10,False
2014-09-07,10,False
2014-09-14,9,False
2014-09-21,9,False
2014-09-28,14,False
2014-10-05,10,False
2014-10-12,7,False
2014-10-19,5,False
2014-10-26,7,False
2014-11-02,8,False
2014-11-09,8,False
2014-11-16,13,False
2014-11-23,17,False
2014-11-30,10,False
2014-12-07,14,False
2014-12-14,7,False
2014-12-21,9,False
2014-12-28,9,False
2015-01-04,10,False
2015-01-11,10,False
2015-01-18,14,False
2015-01-25,13,False
2015-02-01,25,False
2015-02-08,5,False
2015-02-15,6,False
2015-02-22,12,False
2015-03-01,12,False
2015-03-08,15,False
2015-03-15,15,False
2015-03-22,14,False
2015-03-29,6,False
2015-04-05,10,False
2015-04-12,8,False
2015-04-19,7,False
2015-04-26,11,False
2015-05-03,6,False
2015-05-10,4,False
2015-05-17,6,False
2015-05-24,5,False
2015-05-31,5,False
2015-06-07,8,False
2015-06-14,9,False
2015-06-21,5,False
2015-06-28,9,False
2015-07-05,13,False
2015-07-12,9,False
2015-07-19,10,False
2015-07-26,13,False
2015-08-02,8,False
2015-08-09,83,False
2015-08-16,36,False
2015-08-23,50,False
2015-08-30,25,False
2015-09-06,45,False
2015-09-13,27,False
2015-09-20,26,False
2015-09-27,18,False
2015-10-04,12,False
2015-10-11,15,False
2015-10-18,14,False
2015-10-25,19,False
2015-11-01,17,False
2015-11-08,20,False
2015-11-15,15,False
2015-11-22,23,False
2015-11-29,21,False
2015-12-06,41,False
2015-12-13,52,False
2015-12-20,24,False
2015-12-27,37,False
2016-01-03,100,False
2016-01-10,85,False
2016-01-17,45,False
2016-01-24,36,False
2016-01-31,38,False
2016-02-07,18,False
2016-02-14,33,False
2016-02-21,24,False
2016-02-28,15,False
2016-03-06,16,False
2016-03-13,12,False
2016-03-20,9,False
2016-03-27,17,False
2016-04-03,8,False
2016-04-10,12,False
2016-04-17,8,False
2016-04-24,8,False
2016-05-01,14,False
2016-05-08,11,False
2016-05-15,17,False
2016-05-22,23,False
2016-05-29,16,False
2016-06-05,18,False
2016-06-12,13,False
2016-06-19,15,False
2016-06-26,36,False
2016-07-03,23,False
2016-07-10,13,False
2016-07-17,19,False
2016-07-24,10,False
2016-07-31,9,False
2016-08-07,9,False
2016-08-14,16,False
2016-08-21,15,False
2016-08-28,11,False
2016-09-04,13,False
2016-09-11,7,False
2016-09-18,8,False
2016-09-25,12,False
2016-10-02,16,False
2016-10-09,22,False
2016-10-16,25,False
2016-10-23,32,False
2016-10-30,18,False
2016-11-06,33,False
2016-11-13,45,False
2016-11-20,30,False
2016-11-27,17,False
2016-12-04,34,False
2016-12-11,20,False
2016-12-18,22,False
2016-12-25,23,False
2017-01-01,47,False
2017-01-08,29,False
2017-01-15,15,False
2017-01-22,12,False
2017-01-29,10,False
2017-02-05,16,False
2017-02-12,9,False
2017-02-19,11,False
