date,USDHUF,isPartial
2013-01-06,27,False
2013-01-13,0,False
2013-01-20,17,False
2013-01-27,40,False
2013-02-03,36,False
2013-02-10,40,False
2013-02-17,23,False
2013-02-24,31,False
2013-03-03,67,False
2013-03-10,35,False
2013-03-17,58,False
2013-03-24,50,False
2013-03-31,62,False
2013-04-07,53,False
2013-04-14,30,False
2013-04-21,43,False
2013-04-28,40,False
2013-05-05,32,False
2013-05-12,40,False
2013-05-19,38,False
2013-05-26,44,False
2013-06-02,66,False
2013-06-09,35,False
2013-06-16,34,False
2013-06-23,48,False
2013-06-30,25,False
2013-07-07,31,False
2013-07-14,25,False
2013-07-21,43,False
2013-07-28,31,False
2013-08-04,17,False
2013-08-11,28,False
2013-08-18,38,False
2013-08-25,22,False
2013-09-01,28,False
2013-09-08,26,False
2013-09-15,42,False
2013-09-22,38,False
2013-09-29,36,False
2013-10-06,34,False
2013-10-13,67,False
2013-10-20,45,False
2013-10-27,83,False
2013-11-03,45,False
2013-11-10,58,False
2013-11-17,22,False
2013-11-24,53,False
2013-12-01,36,False
2013-12-08,36,False
2013-12-15,54,False
2013-12-22,30,False
2013-12-29,40,False
2014-01-05,22,False
2014-01-12,23,False
2014-01-19,27,False
2014-01-26,54,False
2014-02-02,65,False
2014-02-09,42,False
2014-02-16,43,False
2014-02-23,34,False
2014-03-02,27,False
2014-03-09,32,False
2014-03-16,54,False
2014-03-23,26,False
2014-03-30,17,False
2014-04-06,64,False
2014-04-13,45,False
2014-04-20,34,False
2014-04-27,27,False
2014-05-04,35,False
2014-05-11,36,False
2014-05-18,41,False
2014-05-25,37,False
2014-06-01,41,False
2014-06-08,26,False
2014-06-15,84,False
2014-06-22,30,False
2014-06-29,18,False
2014-07-06,36,False
2014-07-13,47,False
2014-07-20,18,False
2014-07-27,53,False
2014-08-03,44,False
2014-08-10,38,False
2014-08-17,27,False
2014-08-24,34,False
2014-08-31,28,False
2014-09-07,31,False
2014-09-14,26,False
2014-09-21,16,False
2014-09-28,38,False
2014-10-05,45,False
2014-10-12,30,False
2014-10-19,15,False
2014-10-26,30,False
2014-11-02,35,False
2014-11-09,26,False
2014-11-16,16,False
2014-11-23,24,False
2014-11-30,21,False
2014-12-07,39,False
2014-12-14,73,False
2014-12-21,92,False
2014-12-28,64,False
2015-01-04,64,False
2015-01-11,71,False
2015-01-18,81,False
2015-01-25,70,False
2015-02-01,62,False
2015-02-08,80,False
2015-02-15,38,False
2015-02-22,55,False
2015-03-01,68,False
2015-03-08,55,False
2015-03-15,58,False
2015-03-22,67,False
2015-03-29,42,False
2015-04-05,38,False
2015-04-12,55,False
2015-04-19,28,False
2015-04-26,35,False
2015-05-03,56,False
2015-05-10,62,False
2015-05-17,55,False
2015-05-24,64,False
2015-05-31,15,False
2015-06-07,66,False
2015-06-14,41,False
2015-06-21,60,False
2015-06-28,45,False
2015-07-05,67,False
2015-07-12,53,False
2015-07-19,62,False
2015-07-26,44,False
2015-08-02,89,False
2015-08-09,81,False
2015-08-16,55,False
2015-08-23,68,False
2015-08-30,88,False
2015-09-06,39,False
2015-09-13,56,False
2015-09-20,66,False
2015-09-27,38,False
2015-10-04,24,False
2015-10-11,45,False
2015-10-18,23,False
2015-10-25,41,False
2015-11-01,61,False
2015-11-08,48,False
2015-11-15,47,False
2015-11-22,42,False
2015-11-29,57,False
2015-12-06,42,False
2015-12-13,66,False
2015-12-20,38,False
2015-12-27,31,False
2016-01-03,55,False
2016-01-10,28,False
2016-01-17,39,False
2016-01-24,46,False
2016-01-31,49,False
2016-02-07,46,False
2016-02-14,52,False
2016-02-21,21,False
2016-02-28,38,False
2016-03-06,32,False
2016-03-13,42,False
2016-03-20,43,False
2016-03-27,39,False
2016-04-03,91,False
2016-04-10,46,False
2016-04-17,50,False
2016-04-24,42,False
2016-05-01,63,False
2016-05-08,48,False
2016-05-15,31,False
2016-05-22,54,False
2016-05-29,51,False
2016-06-05,68,False
2016-06-12,46,False
2016-06-19,69,False
2016-06-26,44,False
2016-07-03,35,False
2016-07-10,40,False
2016-07-17,52,False
2016-07-24,26,False
2016-07-31,42,False
2016-08-07,30,False
2016-08-14,30,False
2016-08-21,43,False
2016-08-28,30,False
2016-09-04,41,False
2016-09-11,41,False
2016-09-18,55,False
2016-09-25,29,False
2016-10-02,36,False
2016-10-09,51,False
2016-10-16,31,False
2016-10-23,22,False
2016-10-30,25,False
2016-11-06,73,False
2016-11-13,53,False
2016-11-20,48,False
2016-11-27,65,False
2016-12-04,44,False
2016-12-11,45,False
2016-12-18,29,False
2016-12-25,49,False
2017-01-01,42,False
2017-01-08,37,False
2017-01-15,23,False
2017-01-22,33,False
2017-01-29,29,False
2017-02-05,30,False
2017-02-12,35,False
2017-02-19,30,False
2017-02-26,35,False
2017-03-05,38,False
2017-03-12,28,False
2017-03-19,39,False
2017-03-26,56,False
2017-04-02,27,False
2017-04-09,20,False
2017-04-16,40,False
2017-04-23,44,False
2017-04-30,30,False
2017-05-07,46,False
2017-05-14,66,False
2017-05-21,60,False
2017-05-28,35,False
2017-06-04,34,False
2017-06-11,57,False
2017-06-18,34,False
2017-06-25,43,False
2017-07-02,22,False
2017-07-09,46,False
2017-07-16,100,False
2017-07-23,77,False
2017-07-30,99,False
2017-08-06,58,False
2017-08-13,42,False
2017-08-20,38,False
2017-08-27,58,False
2017-09-03,61,False
2017-09-10,57,False
2017-09-17,67,False
2017-09-24,53,False
2017-10-01,36,False
2017-10-08,33,False
2017-10-15,40,False
2017-10-22,53,False
2017-10-29,26,False
2017-11-05,51,False
2017-11-12,22,False
2017-11-19,45,False
2017-11-26,79,False
2017-12-03,74,False
2017-12-10,67,False
2017-12-17,87,False
2017-12-24,75,False
2017-12-31,92,True
