date,PENILS,isPartial
2013-01-06,28,False
2013-01-13,47,False
2013-01-20,20,False
2013-01-27,21,False
2013-02-03,52,False
2013-02-10,21,False
2013-02-17,27,False
2013-02-24,34,False
2013-03-03,43,False
2013-03-10,39,False
2013-03-17,43,False
2013-03-24,62,False
2013-03-31,20,False
2013-04-07,40,False
2013-04-14,20,False
2013-04-21,29,False
2013-04-28,20,False
2013-05-05,23,False
2013-05-12,0,False
2013-05-19,51,False
2013-05-26,36,False
2013-06-02,49,False
2013-06-09,36,False
2013-06-16,23,False
2013-06-23,29,False
2013-06-30,22,False
2013-07-07,20,False
2013-07-14,23,False
2013-07-21,30,False
2013-07-28,23,False
2013-08-04,0,False
2013-08-11,27,False
2013-08-18,36,False
2013-08-25,44,False
2013-09-01,49,False
2013-09-08,19,False
2013-09-15,38,False
2013-09-22,21,False
2013-09-29,34,False
2013-10-06,38,False
2013-10-13,28,False
2013-10-20,34,False
2013-10-27,48,False
2013-11-03,40,False
2013-11-10,27,False
2013-11-17,21,False
2013-11-24,37,False
2013-12-01,41,False
2013-12-08,53,False
2013-12-15,28,False
2013-12-22,0,False
2013-12-29,45,False
2014-01-05,45,False
2014-01-12,0,False
2014-01-19,26,False
2014-01-26,19,False
2014-02-02,45,False
2014-02-09,50,False
2014-02-16,35,False
2014-02-23,49,False
2014-03-02,32,False
2014-03-09,44,False
2014-03-16,32,False
2014-03-23,48,False
2014-03-30,20,False
2014-04-06,26,False
2014-04-13,33,False
2014-04-20,20,False
2014-04-27,45,False
2014-05-04,31,False
2014-05-11,20,False
2014-05-18,21,False
2014-05-25,22,False
2014-06-01,21,False
2014-06-08,100,False
2014-06-15,21,False
2014-06-22,29,False
2014-06-29,23,False
2014-07-06,21,False
2014-07-13,39,False
2014-07-20,29,False
2014-07-27,43,False
2014-08-03,41,False
2014-08-10,45,False
2014-08-17,22,False
2014-08-24,42,False
2014-08-31,37,False
2014-09-07,33,False
2014-09-14,27,False
2014-09-21,45,False
2014-09-28,28,False
2014-10-05,66,False
2014-10-12,26,False
2014-10-19,31,False
2014-10-26,48,False
2014-11-02,26,False
2014-11-09,32,False
2014-11-16,31,False
2014-11-23,25,False
2014-11-30,25,False
2014-12-07,38,False
2014-12-14,41,False
2014-12-21,36,False
2014-12-28,28,False
2015-01-04,31,False
2015-01-11,33,False
2015-01-18,67,False
2015-01-25,28,False
2015-02-01,33,False
2015-02-08,30,False
2015-02-15,49,False
2015-02-22,19,False
2015-03-01,33,False
2015-03-08,24,False
2015-03-15,24,False
2015-03-22,20,False
2015-03-29,34,False
2015-04-05,34,False
2015-04-12,25,False
2015-04-19,24,False
2015-04-26,30,False
2015-05-03,18,False
2015-05-10,54,False
2015-05-17,24,False
2015-05-24,36,False
2015-05-31,66,False
2015-06-07,66,False
2015-06-14,36,False
2015-06-21,57,False
2015-06-28,37,False
2015-07-05,0,False
2015-07-12,19,False
2015-07-19,29,False
2015-07-26,41,False
2015-08-02,18,False
2015-08-09,36,False
2015-08-16,24,False
2015-08-23,18,False
2015-08-30,46,False
2015-09-06,32,False
2015-09-13,51,False
2015-09-20,46,False
2015-09-27,46,False
2015-10-04,22,False
2015-10-11,22,False
2015-10-18,28,False
2015-10-25,15,False
2015-11-01,26,False
2015-11-08,39,False
