date,USDCZK,isPartial
2013-01-06,19,False
2013-01-13,0,False
2013-01-20,22,False
2013-01-27,19,False
2013-02-03,0,False
2013-02-10,0,False
2013-02-17,100,False
2013-02-24,19,False
2013-03-03,0,False
2013-03-10,21,False
2013-03-17,18,False
2013-03-24,22,False
2013-03-31,50,False
2013-04-07,0,False
2013-04-14,55,False
2013-04-21,19,False
2013-04-28,19,False
2013-05-05,43,False
2013-05-12,18,False
2013-05-19,27,False
2013-05-26,27,False
2013-06-02,37,False
2013-06-09,27,False
2013-06-16,19,False
2013-06-23,19,False
2013-06-30,19,False
2013-07-07,0,False
2013-07-14,29,False
2013-07-21,51,False
2013-07-28,0,False
2013-08-04,26,False
2013-08-11,22,False
2013-08-18,18,False
2013-08-25,24,False
2013-09-01,0,False
2013-09-08,17,False
2013-09-15,20,False
2013-09-22,18,False
2013-09-29,0,False
2013-10-06,40,False
2013-10-13,24,False
2013-10-20,20,False
2013-10-27,30,False
2013-11-03,17,False
2013-11-10,26,False
2013-11-17,17,False
2013-11-24,19,False
2013-12-01,0,False
2013-12-08,0,False
2013-12-15,0,False
2013-12-22,0,False
2013-12-29,0,False
2014-01-05,0,False
2014-01-12,33,False
2014-01-19,16,False
2014-01-26,28,False
2014-02-02,19,False
2014-02-09,0,False
2014-02-16,56,False
2014-02-23,18,False
2014-03-02,16,False
2014-03-09,19,False
2014-03-16,0,False
2014-03-23,16,False
2014-03-30,22,False
2014-04-06,0,False
2014-04-13,45,False
2014-04-20,0,False
2014-04-27,33,False
2014-05-04,0,False
2014-05-11,16,False
2014-05-18,26,False
2014-05-25,18,False
2014-06-01,18,False
2014-06-08,21,False
2014-06-15,21,False
2014-06-22,54,False
2014-06-29,21,False
2014-07-06,18,False
2014-07-13,18,False
2014-07-20,25,False
2014-07-27,19,False
2014-08-03,29,False
2014-08-10,20,False
2014-08-17,33,False
2014-08-24,17,False
2014-08-31,20,False
2014-09-07,0,False
2014-09-14,34,False
2014-09-21,0,False
2014-09-28,23,False
2014-10-05,19,False
2014-10-12,17,False
2014-10-19,19,False
2014-10-26,18,False
2014-11-02,65,False
2014-11-09,16,False
2014-11-16,16,False
2014-11-23,16,False
2014-11-30,28,False
2014-12-07,28,False
2014-12-14,25,False
2014-12-21,18,False
2014-12-28,0,False
2015-01-04,47,False
2015-01-11,40,False
2015-01-18,35,False
2015-01-25,33,False
2015-02-01,28,False
2015-02-08,21,False
2015-02-15,27,False
2015-02-22,23,False
2015-03-01,17,False
2015-03-08,50,False
2015-03-15,35,False
2015-03-22,30,False
2015-03-29,32,False
2015-04-05,36,False
2015-04-12,15,False
2015-04-19,46,False
2015-04-26,21,False
2015-05-03,15,False
2015-05-10,38,False
2015-05-17,28,False
2015-05-24,31,False
2015-05-31,18,False
2015-06-07,31,False
2015-06-14,39,False
2015-06-21,46,False
2015-06-28,62,False
2015-07-05,28,False
2015-07-12,16,False
2015-07-19,27,False
2015-07-26,15,False
2015-08-02,39,False
2015-08-09,0,False
2015-08-16,30,False
2015-08-23,37,False
2015-08-30,22,False
2015-09-06,22,False
2015-09-13,29,False
2015-09-20,39,False
2015-09-27,14,False
2015-10-04,33,False
2015-10-11,26,False
2015-10-18,16,False
2015-10-25,36,False
2015-11-01,31,False
2015-11-08,21,False
2015-11-15,40,False
2015-11-22,21,False
2015-11-29,35,False
2015-12-06,36,False
2015-12-13,0,False
2015-12-20,16,False
2015-12-27,16,False
2016-01-03,26,False
2016-01-10,15,False
2016-01-17,27,False
2016-01-24,0,False
2016-01-31,17,False
2016-02-07,22,False
2016-02-14,21,False
2016-02-21,0,False
2016-02-28,14,False
