date,USDCOP,isPartial
2013-01-06,35,False
2013-01-13,23,False
2013-01-20,17,False
2013-01-27,19,False
2013-02-03,25,False
2013-02-10,0,False
2013-02-17,34,False
2013-02-24,22,False
2013-03-03,17,False
2013-03-10,37,False
2013-03-17,22,False
2013-03-24,0,False
2013-03-31,17,False
2013-04-07,25,False
2013-04-14,22,False
2013-04-21,17,False
2013-04-28,17,False
2013-05-05,0,False
2013-05-12,16,False
2013-05-19,16,False
2013-05-26,22,False
2013-06-02,47,False
2013-06-09,16,False
2013-06-16,22,False
2013-06-23,18,False
2013-06-30,23,False
2013-07-07,19,False
2013-07-14,34,False
2013-07-21,29,False
2013-07-28,34,False
2013-08-04,20,False
2013-08-11,17,False
2013-08-18,30,False
2013-08-25,22,False
2013-09-01,30,False
2013-09-08,27,False
2013-09-15,0,False
2013-09-22,55,False
2013-09-29,23,False
2013-10-06,27,False
2013-10-13,16,False
2013-10-20,18,False
2013-10-27,36,False
2013-11-03,25,False
2013-11-10,23,False
2013-11-17,25,False
2013-11-24,15,False
2013-12-01,17,False
2013-12-08,30,False
2013-12-15,16,False
2013-12-22,0,False
2013-12-29,22,False
2014-01-05,20,False
2014-01-12,15,False
2014-01-19,25,False
2014-01-26,36,False
2014-02-02,36,False
2014-02-09,19,False
2014-02-16,29,False
2014-02-23,16,False
2014-03-02,23,False
2014-03-09,14,False
2014-03-16,14,False
2014-03-23,42,False
2014-03-30,14,False
2014-04-06,33,False
2014-04-13,30,False
2014-04-20,24,False
2014-04-27,29,False
2014-05-04,35,False
2014-05-11,14,False
2014-05-18,25,False
2014-05-25,18,False
2014-06-01,16,False
2014-06-08,19,False
2014-06-15,19,False
2014-06-22,16,False
2014-06-29,16,False
2014-07-06,28,False
2014-07-13,28,False
2014-07-20,49,False
2014-07-27,22,False
2014-08-03,19,False
2014-08-10,30,False
2014-08-17,24,False
2014-08-24,27,False
2014-08-31,26,False
2014-09-07,20,False
2014-09-14,28,False
2014-09-21,91,False
2014-09-28,31,False
2014-10-05,23,False
2014-10-12,20,False
2014-10-19,33,False
2014-10-26,15,False
2014-11-02,21,False
2014-11-09,35,False
2014-11-16,16,False
2014-11-23,39,False
2014-11-30,38,False
2014-12-07,51,False
2014-12-14,88,False
2014-12-21,66,False
2014-12-28,23,False
2015-01-04,46,False
2015-01-11,41,False
2015-01-18,29,False
2015-01-25,44,False
2015-02-01,51,False
2015-02-08,40,False
2015-02-15,46,False
2015-02-22,58,False
2015-03-01,22,False
2015-03-08,65,False
2015-03-15,54,False
2015-03-22,24,False
2015-03-29,21,False
2015-04-05,52,False
2015-04-12,40,False
2015-04-19,20,False
2015-04-26,21,False
2015-05-03,28,False
2015-05-10,26,False
2015-05-17,29,False
2015-05-24,34,False
2015-05-31,39,False
2015-06-07,28,False
2015-06-14,48,False
2015-06-21,21,False
2015-06-28,30,False
2015-07-05,40,False
2015-07-12,30,False
2015-07-19,61,False
2015-07-26,55,False
2015-08-02,37,False
2015-08-09,51,False
2015-08-16,74,False
2015-08-23,96,False
2015-08-30,89,False
2015-09-06,63,False
2015-09-13,69,False
2015-09-20,78,False
2015-09-27,38,False
2015-10-04,44,False
2015-10-11,78,False
2015-10-18,89,False
2015-10-25,37,False
2015-11-01,37,False
2015-11-08,51,False
2015-11-15,24,False
2015-11-22,40,False
2015-11-29,43,False
2015-12-06,88,False
2015-12-13,100,False
2015-12-20,50,False
2015-12-27,53,False
2016-01-03,47,False
2016-01-10,74,False
2016-01-17,57,False
2016-01-24,56,False
2016-01-31,25,False
2016-02-07,60,False
2016-02-14,57,False
2016-02-21,55,False
2016-02-28,52,False
2016-03-06,56,False
2016-03-13,52,False
2016-03-20,61,False
2016-03-27,32,False
2016-04-03,32,False
2016-04-10,46,False
2016-04-17,35,False
2016-04-24,49,False
2016-05-01,57,False
2016-05-08,39,False
2016-05-15,24,False
2016-05-22,39,False
2016-05-29,29,False
2016-06-05,32,False
2016-06-12,44,False
2016-06-19,58,False
2016-06-26,58,False
2016-07-03,26,False
2016-07-10,61,False
2016-07-17,42,False
2016-07-24,45,False
2016-07-31,42,False
2016-08-07,32,False
2016-08-14,56,False
2016-08-21,54,False
2016-08-28,66,False
2016-09-04,52,False
2016-09-11,66,False
