date,USDNZD,isPartial
2013-01-06,27,False
2013-01-13,0,False
2013-01-20,26,False
2013-01-27,25,False
2013-02-03,69,False
2013-02-10,26,False
2013-02-17,34,False
2013-02-24,0,False
2013-03-03,29,False
2013-03-10,28,False
2013-03-17,33,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,25,False
2013-04-14,34,False
2013-04-21,38,False
2013-04-28,0,False
2013-05-05,28,False
2013-05-12,36,False
2013-05-19,25,False
2013-05-26,38,False
2013-06-02,27,False
2013-06-09,42,False
2013-06-16,25,False
2013-06-23,29,False
2013-06-30,52,False
2013-07-07,59,False
2013-07-14,26,False
2013-07-21,26,False
2013-07-28,51,False
2013-08-04,34,False
2013-08-11,34,False
2013-08-18,58,False
2013-08-25,0,False
2013-09-01,0,False
2013-09-08,36,False
2013-09-15,24,False
2013-09-22,0,False
2013-09-29,34,False
2013-10-06,41,False
2013-10-13,41,False
2013-10-20,92,False
2013-10-27,0,False
2013-11-03,47,False
2013-11-10,23,False
2013-11-17,26,False
2013-11-24,62,False
2013-12-01,23,False
2013-12-08,0,False
2013-12-15,0,False
2013-12-22,26,False
2013-12-29,38,False
2014-01-05,52,False
2014-01-12,30,False
2014-01-19,32,False
2014-01-26,48,False
2014-02-02,23,False
2014-02-09,24,False
2014-02-16,33,False
2014-02-23,43,False
2014-03-02,0,False
2014-03-09,55,False
2014-03-16,62,False
2014-03-23,58,False
2014-03-30,25,False
2014-04-06,22,False
2014-04-13,31,False
2014-04-20,0,False
2014-04-27,22,False
2014-05-04,0,False
2014-05-11,37,False
2014-05-18,35,False
2014-05-25,33,False
2014-06-01,24,False
2014-06-08,25,False
2014-06-15,25,False
2014-06-22,49,False
2014-06-29,25,False
2014-07-06,0,False
2014-07-13,57,False
2014-07-20,25,False
2014-07-27,28,False
2014-08-03,52,False
2014-08-10,36,False
2014-08-17,24,False
2014-08-24,27,False
2014-08-31,51,False
2014-09-07,0,False
2014-09-14,53,False
2014-09-21,23,False
2014-09-28,94,False
2014-10-05,26,False
2014-10-12,23,False
2014-10-19,34,False
2014-10-26,39,False
2014-11-02,26,False
2014-11-09,22,False
2014-11-16,22,False
2014-11-23,0,False
2014-11-30,24,False
2014-12-07,25,False
2014-12-14,26,False
2014-12-21,37,False
2014-12-28,32,False
2015-01-04,25,False
2015-01-11,21,False
2015-01-18,36,False
2015-01-25,45,False
2015-02-01,21,False
2015-02-08,36,False
2015-02-15,0,False
2015-02-22,41,False
2015-03-01,38,False
2015-03-08,23,False
2015-03-15,71,False
2015-03-22,38,False
2015-03-29,65,False
2015-04-05,21,False
2015-04-12,31,False
2015-04-19,31,False
2015-04-26,24,False
2015-05-03,24,False
2015-05-10,63,False
2015-05-17,38,False
2015-05-24,31,False
2015-05-31,0,False
2015-06-07,0,False
2015-06-14,84,False
2015-06-21,36,False
2015-06-28,48,False
2015-07-05,23,False
2015-07-12,53,False
2015-07-19,21,False
2015-07-26,0,False
2015-08-02,24,False
2015-08-09,46,False
2015-08-16,21,False
2015-08-23,41,False
2015-08-30,51,False
2015-09-06,58,False
2015-09-13,50,False
2015-09-20,29,False
2015-09-27,40,False
2015-10-04,21,False
2015-10-11,0,False
2015-10-18,77,False
2015-10-25,35,False
2015-11-01,77,False
2015-11-08,19,False
2015-11-15,35,False
2015-11-22,19,False
2015-11-29,57,False
2015-12-06,28,False
2015-12-13,56,False
2015-12-20,43,False
2015-12-27,54,False
2016-01-03,35,False
2016-01-10,36,False
2016-01-17,51,False
2016-01-24,57,False
2016-01-31,100,False
2016-02-07,23,False
2016-02-14,34,False
2016-02-21,56,False
2016-02-28,39,False
2016-03-06,20,False
2016-03-13,57,False
2016-03-20,20,False
2016-03-27,29,False
2016-04-03,20,False
2016-04-10,29,False
2016-04-17,20,False
2016-04-24,29,False
2016-05-01,20,False
2016-05-08,30,False
2016-05-15,30,False
2016-05-22,30,False
2016-05-29,22,False
2016-06-05,44,False
2016-06-12,66,False
2016-06-19,35,False
2016-06-26,45,False
2016-07-03,48,False
2016-07-10,21,False
2016-07-17,76,False
2016-07-24,21,False
2016-07-31,39,False
2016-08-07,22,False
2016-08-14,23,False
2016-08-21,77,False
2016-08-28,72,False
2016-09-04,42,False
2016-09-11,24,False
2016-09-18,0,False
2016-09-25,31,False
2016-10-02,20,False
2016-10-09,35,False
2016-10-16,30,False
2016-10-23,20,False
2016-10-30,62,False
2016-11-06,20,False
2016-11-13,46,False
2016-11-20,36,False
2016-11-27,26,False
2016-12-04,33,False
2016-12-11,20,False
2016-12-18,45,False
2016-12-25,24,False
2017-01-01,44,False
2017-01-08,25,False
2017-01-15,66,False
2017-01-22,34,False
2017-01-29,38,False
2017-02-05,21,False
2017-02-12,21,False
2017-02-19,54,False
2017-02-26,33,False
2017-03-05,46,False
2017-03-12,18,False
2017-03-19,32,False
2017-03-26,49,False
2017-04-02,19,False
2017-04-09,29,False
2017-04-16,25,False
2017-04-23,40,False
2017-04-30,41,False
2017-05-07,37,False
2017-05-14,23,False
2017-05-21,30,False
2017-05-28,53,False
2017-06-04,43,False
2017-06-11,20,False
2017-06-18,0,False
2017-06-25,46,False
2017-07-02,27,False
2017-07-09,40,False
2017-07-16,29,False
2017-07-23,30,False
2017-07-30,19,False
2017-08-06,28,False
2017-08-13,88,False
2017-08-20,19,False
2017-08-27,26,False
2017-09-03,38,False
2017-09-10,19,False
2017-09-17,22,False
2017-09-24,19,False
2017-10-01,54,False
2017-10-08,20,False
2017-10-15,27,False
2017-10-22,27,False
2017-10-29,47,False
2017-11-05,72,False
2017-11-12,26,False
2017-11-19,20,False
2017-11-26,41,False
2017-12-03,47,False
2017-12-10,25,False
2017-12-17,48,False
2017-12-24,0,False
2017-12-31,0,True
