date,BRLCAD,isPartial
2013-01-06,28,False
2013-01-13,50,False
2013-01-20,71,False
2013-01-27,25,False
2013-02-03,57,False
2013-02-10,37,False
2013-02-17,25,False
2013-02-24,61,False
2013-03-03,80,False
2013-03-10,32,False
2013-03-17,24,False
2013-03-24,75,False
2013-03-31,69,False
2013-04-07,35,False
2013-04-14,35,False
2013-04-21,79,False
2013-04-28,25,False
2013-05-05,61,False
2013-05-12,60,False
2013-05-19,95,False
2013-05-26,48,False
2013-06-02,24,False
2013-06-09,41,False
2013-06-16,61,False
2013-06-23,24,False
2013-06-30,45,False
2013-07-07,42,False
2013-07-14,63,False
2013-07-21,36,False
2013-07-28,49,False
2013-08-04,24,False
2013-08-11,25,False
2013-08-18,55,False
2013-08-25,63,False
2013-09-01,23,False
2013-09-08,23,False
2013-09-15,39,False
2013-09-22,42,False
2013-09-29,39,False
2013-10-06,46,False
2013-10-13,26,False
2013-10-20,29,False
2013-10-27,52,False
2013-11-03,51,False
2013-11-10,24,False
2013-11-17,56,False
2013-11-24,32,False
2013-12-01,47,False
2013-12-08,72,False
2013-12-15,34,False
2013-12-22,75,False
2013-12-29,24,False
2014-01-05,55,False
2014-01-12,21,False
2014-01-19,42,False
2014-01-26,46,False
2014-02-02,100,False
2014-02-09,41,False
2014-02-16,38,False
2014-02-23,38,False
2014-03-02,48,False
2014-03-09,38,False
2014-03-16,69,False
2014-03-23,60,False
2014-03-30,48,False
2014-04-06,32,False
2014-04-13,66,False
2014-04-20,37,False
2014-04-27,31,False
2014-05-04,53,False
2014-05-11,30,False
2014-05-18,24,False
2014-05-25,35,False
2014-06-01,51,False
2014-06-08,27,False
2014-06-15,26,False
2014-06-22,48,False
2014-06-29,41,False
2014-07-06,81,False
2014-07-13,24,False
2014-07-20,41,False
2014-07-27,53,False
2014-08-03,25,False
2014-08-10,52,False
2014-08-17,43,False
2014-08-24,39,False
2014-08-31,0,False
2014-09-07,29,False
2014-09-14,25,False
2014-09-21,55,False
2014-09-28,22,False
2014-10-05,22,False
2014-10-12,40,False
2014-10-19,32,False
2014-10-26,48,False
2014-11-02,39,False
2014-11-09,53,False
2014-11-16,43,False
2014-11-23,43,False
2014-11-30,31,False
2014-12-07,24,False
2014-12-14,0,False
2014-12-21,48,False
2014-12-28,25,False
2015-01-04,0,False
2015-01-11,35,False
2015-01-18,27,False
2015-01-25,36,False
2015-02-01,50,False
2015-02-08,46,False
2015-02-15,47,False
2015-02-22,30,False
2015-03-01,34,False
2015-03-08,51,False
2015-03-15,58,False
2015-03-22,55,False
2015-03-29,41,False
2015-04-05,27,False
2015-04-12,20,False
2015-04-19,29,False
2015-04-26,35,False
2015-05-03,0,False
2015-05-10,34,False
2015-05-17,40,False
2015-05-24,23,False
2015-05-31,29,False
2015-06-07,29,False
2015-06-14,29,False
2015-06-21,0,False
2015-06-28,46,False
2015-07-05,29,False
2015-07-12,22,False
2015-07-19,20,False
2015-07-26,0,False
2015-08-02,40,False
2015-08-09,40,False
2015-08-16,59,False
2015-08-23,39,False
2015-08-30,19,False
2015-09-06,19,False
2015-09-13,22,False
2015-09-20,38,False
2015-09-27,19,False
2015-10-04,98,False
2015-10-11,53,False
2015-10-18,20,False
2015-10-25,0,False
2015-11-01,0,False
2015-11-08,56,False
2015-11-15,40,False
2015-11-22,18,False
2015-11-29,21,False
2015-12-06,56,False
2015-12-13,19,False
2015-12-20,21,False
2015-12-27,0,False
2016-01-03,23,False
2016-01-10,57,False
2016-01-17,19,False
2016-01-24,28,False
2016-01-31,19,False
2016-02-07,26,False
2016-02-14,38,False
2016-02-21,75,False
2016-02-28,19,False
2016-03-06,19,False
2016-03-13,21,False
2016-03-20,20,False
2016-03-27,33,False
2016-04-03,29,False
2016-04-10,39,False
2016-04-17,25,False
2016-04-24,0,False
2016-05-01,22,False
2016-05-08,44,False
2016-05-15,33,False
2016-05-22,36,False
2016-05-29,20,False
2016-06-05,0,False
2016-06-12,51,False
2016-06-19,23,False
2016-06-26,20,False
2016-07-03,24,False
2016-07-10,20,False
2016-07-17,21,False
2016-07-24,23,False
2016-07-31,0,False
2016-08-07,0,False
2016-08-14,0,False
2016-08-21,42,False
2016-08-28,27,False
2016-09-04,29,False
2016-09-11,0,False
2016-09-18,0,False
2016-09-25,59,False
2016-10-02,28,False
2016-10-09,45,False
2016-10-16,39,False
2016-10-23,20,False
2016-10-30,22,False
2016-11-06,19,False
2016-11-13,33,False
2016-11-20,33,False
2016-11-27,0,False
2016-12-04,20,False
2016-12-11,21,False
2016-12-18,20,False
2016-12-25,20,False
2017-01-01,28,False
2017-01-08,18,False
2017-01-15,21,False
2017-01-22,26,False
2017-01-29,20,False
2017-02-05,45,False
2017-02-12,32,False
2017-02-19,18,False
2017-02-26,44,False
2017-03-05,26,False
2017-03-12,23,False
2017-03-19,26,False
2017-03-26,18,False
2017-04-02,62,False
2017-04-09,19,False
2017-04-16,31,False
2017-04-23,17,False
2017-04-30,18,False
2017-05-07,71,False
2017-05-14,33,False
2017-05-21,38,False
2017-05-28,19,False
2017-06-04,32,False
2017-06-11,0,False
2017-06-18,19,False
2017-06-25,0,False
2017-07-02,20,False
2017-07-09,19,False
2017-07-16,0,False
2017-07-23,33,False
