date,USDCLP,isPartial
2013-01-06,19,False
2013-01-13,29,False
2013-01-20,0,False
2013-01-27,0,False
2013-02-03,28,False
2013-02-10,19,False
2013-02-17,19,False
2013-02-24,43,False
2013-03-03,21,False
2013-03-10,18,False
2013-03-17,0,False
2013-03-24,0,False
2013-03-31,19,False
2013-04-07,0,False
2013-04-14,18,False
2013-04-21,19,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,0,False
2013-05-19,31,False
2013-05-26,18,False
2013-06-02,21,False
2013-06-09,18,False
2013-06-16,19,False
2013-06-23,19,False
2013-06-30,57,False
2013-07-07,32,False
2013-07-14,22,False
2013-07-21,19,False
2013-07-28,32,False
2013-08-04,22,False
2013-08-11,19,False
2013-08-18,32,False
2013-08-25,33,False
2013-09-01,24,False
2013-09-08,35,False
2013-09-15,25,False
2013-09-22,17,False
2013-09-29,35,False
2013-10-06,30,False
2013-10-13,17,False
2013-10-20,39,False
2013-10-27,23,False
2013-11-03,25,False
2013-11-10,0,False
2013-11-17,19,False
2013-11-24,17,False
2013-12-01,22,False
2013-12-08,17,False
2013-12-15,50,False
2013-12-22,0,False
2013-12-29,36,False
2014-01-05,16,False
2014-01-12,28,False
2014-01-19,18,False
2014-01-26,28,False
2014-02-02,17,False
2014-02-09,21,False
2014-02-16,24,False
2014-02-23,16,False
2014-03-02,32,False
2014-03-09,28,False
2014-03-16,35,False
2014-03-23,46,False
2014-03-30,27,False
2014-04-06,18,False
2014-04-13,19,False
2014-04-20,24,False
2014-04-27,24,False
2014-05-04,18,False
2014-05-11,18,False
2014-05-18,17,False
2014-05-25,0,False
2014-06-01,18,False
2014-06-08,18,False
2014-06-15,36,False
2014-06-22,18,False
2014-06-29,18,False
2014-07-06,18,False
2014-07-13,21,False
2014-07-20,0,False
2014-07-27,27,False
2014-08-03,19,False
2014-08-10,36,False
2014-08-17,18,False
2014-08-24,52,False
2014-08-31,17,False
2014-09-07,37,False
2014-09-14,51,False
2014-09-21,25,False
2014-09-28,31,False
2014-10-05,31,False
2014-10-12,19,False
2014-10-19,25,False
2014-10-26,16,False
2014-11-02,32,False
2014-11-09,37,False
2014-11-16,19,False
2014-11-23,24,False
2014-11-30,16,False
2014-12-07,16,False
2014-12-14,28,False
2014-12-21,20,False
2014-12-28,18,False
2015-01-04,46,False
2015-01-11,16,False
2015-01-18,45,False
2015-01-25,17,False
2015-02-01,40,False
2015-02-08,0,False
2015-02-15,23,False
2015-02-22,17,False
2015-03-01,30,False
2015-03-08,23,False
2015-03-15,27,False
2015-03-22,42,False
2015-03-29,17,False
2015-04-05,23,False
2015-04-12,23,False
2015-04-19,15,False
2015-04-26,28,False
2015-05-03,44,False
2015-05-10,44,False
2015-05-17,35,False
2015-05-24,26,False
2015-05-31,38,False
2015-06-07,52,False
2015-06-14,15,False
2015-06-21,17,False
2015-06-28,31,False
2015-07-05,33,False
2015-07-12,31,False
2015-07-19,34,False
2015-07-26,33,False
2015-08-02,39,False
2015-08-09,45,False
2015-08-16,33,False
2015-08-23,81,False
2015-08-30,52,False
2015-09-06,42,False
2015-09-13,42,False
2015-09-20,53,False
2015-09-27,33,False
2015-10-04,57,False
2015-10-11,31,False
2015-10-18,24,False
2015-10-25,28,False
2015-11-01,56,False
2015-11-08,41,False
2015-11-15,31,False
2015-11-22,57,False
2015-11-29,30,False
2015-12-06,26,False
2015-12-13,68,False
2015-12-20,24,False
2015-12-27,27,False
2016-01-03,44,False
2016-01-10,37,False
2016-01-17,30,False
2016-01-24,59,False
2016-01-31,29,False
2016-02-07,51,False
2016-02-14,32,False
2016-02-21,26,False
2016-02-28,21,False
2016-03-06,32,False
2016-03-13,37,False
2016-03-20,26,False
2016-03-27,51,False
2016-04-03,25,False
2016-04-10,25,False
2016-04-17,30,False
2016-04-24,32,False
2016-05-01,30,False
2016-05-08,25,False
2016-05-15,16,False
2016-05-22,34,False
2016-05-29,20,False
2016-06-05,22,False
2016-06-12,34,False
2016-06-19,27,False
2016-06-26,38,False
2016-07-03,35,False
2016-07-10,34,False
2016-07-17,35,False
2016-07-24,27,False
