date,EURILS,isPartial
2013-01-06,32,False
2013-01-13,27,False
2013-01-20,31,False
2013-01-27,27,False
2013-02-03,27,False
2013-02-10,27,False
2013-02-17,27,False
2013-02-24,29,False
2013-03-03,27,False
2013-03-10,0,False
2013-03-17,40,False
2013-03-24,0,False
2013-03-31,27,False
2013-04-07,29,False
2013-04-14,0,False
2013-04-21,35,False
2013-04-28,27,False
2013-05-05,27,False
2013-05-12,44,False
2013-05-19,53,False
2013-05-26,0,False
2013-06-02,26,False
2013-06-09,26,False
2013-06-16,27,False
2013-06-23,67,False
2013-06-30,27,False
2013-07-07,35,False
2013-07-14,27,False
2013-07-21,27,False
2013-07-28,27,False
2013-08-04,0,False
2013-08-11,54,False
2013-08-18,52,False
2013-08-25,55,False
2013-09-01,28,False
2013-09-08,33,False
2013-09-15,0,False
2013-09-22,25,False
2013-09-29,33,False
2013-10-06,25,False
2013-10-13,28,False
2013-10-20,24,False
2013-10-27,25,False
2013-11-03,41,False
2013-11-10,0,False
2013-11-17,32,False
2013-11-24,24,False
2013-12-01,41,False
2013-12-08,0,False
2013-12-15,57,False
2013-12-22,31,False
2013-12-29,45,False
2014-01-05,34,False
2014-01-12,0,False
2014-01-19,23,False
2014-01-26,0,False
2014-02-02,0,False
2014-02-09,29,False
2014-02-16,31,False
2014-02-23,23,False
2014-03-02,25,False
2014-03-09,23,False
2014-03-16,26,False
2014-03-23,23,False
2014-03-30,0,False
2014-04-06,26,False
2014-04-13,26,False
2014-04-20,23,False
2014-04-27,0,False
2014-05-04,30,False
2014-05-11,0,False
2014-05-18,25,False
2014-05-25,51,False
2014-06-01,0,False
2014-06-08,34,False
2014-06-15,26,False
2014-06-22,26,False
2014-06-29,30,False
2014-07-06,0,False
2014-07-13,28,False
2014-07-20,52,False
2014-07-27,30,False
2014-08-03,0,False
2014-08-10,0,False
2014-08-17,26,False
2014-08-24,50,False
2014-08-31,39,False
2014-09-07,24,False
2014-09-14,41,False
2014-09-21,0,False
2014-09-28,25,False
2014-10-05,48,False
2014-10-12,24,False
2014-10-19,26,False
2014-10-26,36,False
2014-11-02,23,False
2014-11-09,0,False
2014-11-16,48,False
2014-11-23,35,False
2014-11-30,61,False
2014-12-07,67,False
2014-12-14,48,False
2014-12-21,30,False
2014-12-28,26,False
2015-01-04,23,False
2015-01-11,45,False
2015-01-18,32,False
2015-01-25,35,False
2015-02-01,22,False
2015-02-08,25,False
2015-02-15,22,False
2015-02-22,47,False
2015-03-01,37,False
2015-03-08,55,False
2015-03-15,40,False
2015-03-22,47,False
2015-03-29,64,False
2015-04-05,25,False
2015-04-12,64,False
2015-04-19,44,False
2015-04-26,52,False
2015-05-03,41,False
2015-05-10,22,False
2015-05-17,25,False
2015-05-24,43,False
2015-05-31,51,False
2015-06-07,25,False
2015-06-14,25,False
2015-06-21,66,False
2015-06-28,38,False
2015-07-05,41,False
2015-07-12,78,False
2015-07-19,67,False
2015-07-26,22,False
2015-08-02,51,False
2015-08-09,48,False
2015-08-16,58,False
2015-08-23,62,False
2015-08-30,28,False
2015-09-06,60,False
2015-09-13,47,False
2015-09-20,21,False
2015-09-27,0,False
2015-10-04,35,False
2015-10-11,35,False
2015-10-18,29,False
2015-10-25,61,False
2015-11-01,34,False
2015-11-08,34,False
2015-11-15,53,False
2015-11-22,40,False
2015-11-29,51,False
2015-12-06,36,False
2015-12-13,44,False
2015-12-20,41,False
2015-12-27,34,False
2016-01-03,37,False
2016-01-10,0,False
2016-01-17,21,False
2016-01-24,39,False
2016-01-31,36,False
2016-02-07,32,False
2016-02-14,55,False
2016-02-21,41,False
2016-02-28,30,False
2016-03-06,22,False
2016-03-13,48,False
2016-03-20,37,False
2016-03-27,32,False
2016-04-03,24,False
2016-04-10,48,False
2016-04-17,53,False
2016-04-24,31,False
2016-05-01,21,False
2016-05-08,21,False
2016-05-15,48,False
2016-05-22,23,False
2016-05-29,23,False
2016-06-05,28,False
2016-06-12,48,False
2016-06-19,39,False
2016-06-26,22,False
2016-07-03,41,False
2016-07-10,34,False
2016-07-17,46,False
2016-07-24,32,False
2016-07-31,45,False
2016-08-07,23,False
2016-08-14,24,False
2016-08-21,23,False
2016-08-28,24,False
2016-09-04,33,False
2016-09-11,48,False
2016-09-18,33,False
2016-09-25,28,False
2016-10-02,36,False
2016-10-09,24,False
2016-10-16,61,False
2016-10-23,21,False
2016-10-30,28,False
2016-11-06,38,False
2016-11-13,21,False
2016-11-20,30,False
2016-11-27,20,False
2016-12-04,32,False
2016-12-11,41,False
2016-12-18,58,False
2016-12-25,67,False
2017-01-01,30,False
2017-01-08,29,False
2017-01-15,33,False
2017-01-22,20,False
2017-01-29,20,False
2017-02-05,33,False
2017-02-12,19,False
2017-02-19,39,False
2017-02-26,38,False
2017-03-05,25,False
2017-03-12,38,False
2017-03-19,35,False
2017-03-26,31,False
2017-04-02,20,False
2017-04-09,23,False
2017-04-16,26,False
2017-04-23,41,False
2017-04-30,32,False
2017-05-07,35,False
2017-05-14,75,False
2017-05-21,56,False
2017-05-28,32,False
2017-06-04,49,False
2017-06-11,22,False
2017-06-18,51,False
2017-06-25,62,False
2017-07-02,43,False
2017-07-09,22,False
2017-07-16,28,False
2017-07-23,27,False
2017-07-30,30,False
2017-08-06,38,False
2017-08-13,51,False
2017-08-20,20,False
2017-08-27,34,False
2017-09-03,60,False
2017-09-10,78,False
2017-09-17,23,False
2017-09-24,21,False
2017-10-01,20,False
2017-10-08,0,False
2017-10-15,36,False
2017-10-22,58,False
2017-10-29,20,False
2017-11-05,28,False
2017-11-12,25,False
2017-11-19,19,False
2017-11-26,55,False
2017-12-03,41,False
2017-12-10,22,False
2017-12-17,37,False
2017-12-24,54,False
2017-12-31,100,True
