date,GBPSGD,isPartial
2013-01-06,8,False
2013-01-13,4,False
2013-01-20,8,False
2013-01-27,13,False
2013-02-03,11,False
2013-02-10,16,False
2013-02-17,16,False
2013-02-24,11,False
2013-03-03,11,False
2013-03-10,13,False
2013-03-17,16,False
2013-03-24,5,False
2013-03-31,10,False
2013-04-07,14,False
2013-04-14,7,False
2013-04-21,6,False
2013-04-28,6,False
2013-05-05,10,False
2013-05-12,10,False
2013-05-19,8,False
2013-05-26,15,False
2013-06-02,6,False
2013-06-09,8,False
2013-06-16,11,False
2013-06-23,10,False
2013-06-30,10,False
2013-07-07,8,False
2013-07-14,18,False
2013-07-21,9,False
2013-07-28,8,False
2013-08-04,5,False
2013-08-11,14,False
2013-08-18,10,False
2013-08-25,17,False
2013-09-01,8,False
2013-09-08,13,False
2013-09-15,12,False
2013-09-22,7,False
2013-09-29,12,False
2013-10-06,12,False
2013-10-13,6,False
2013-10-20,4,False
2013-10-27,6,False
2013-11-03,7,False
2013-11-10,8,False
2013-11-17,12,False
2013-11-24,12,False
2013-12-01,8,False
2013-12-08,8,False
2013-12-15,16,False
2013-12-22,5,False
2013-12-29,7,False
2014-01-05,9,False
2014-01-12,6,False
2014-01-19,11,False
2014-01-26,7,False
2014-02-02,6,False
2014-02-09,7,False
2014-02-16,7,False
2014-02-23,10,False
2014-03-02,9,False
2014-03-09,13,False
2014-03-16,13,False
2014-03-23,6,False
2014-03-30,9,False
2014-04-06,10,False
2014-04-13,6,False
2014-04-20,10,False
2014-04-27,9,False
2014-05-04,6,False
2014-05-11,9,False
2014-05-18,4,False
2014-05-25,9,False
2014-06-01,11,False
2014-06-08,8,False
2014-06-15,9,False
2014-06-22,6,False
2014-06-29,9,False
2014-07-06,6,False
2014-07-13,9,False
2014-07-20,9,False
2014-07-27,10,False
2014-08-03,9,False
2014-08-10,9,False
2014-08-17,6,False
2014-08-24,13,False
2014-08-31,14,False
2014-09-07,21,False
2014-09-14,19,False
2014-09-21,10,False
2014-09-28,14,False
2014-10-05,13,False
2014-10-12,12,False
2014-10-19,9,False
2014-10-26,4,False
2014-11-02,9,False
2014-11-09,15,False
2014-11-16,6,False
2014-11-23,12,False
2014-11-30,12,False
2014-12-07,10,False
2014-12-14,11,False
2014-12-21,12,False
2014-12-28,11,False
2015-01-04,11,False
2015-01-11,11,False
2015-01-18,13,False
2015-01-25,9,False
2015-02-01,9,False
2015-02-08,9,False
2015-02-15,10,False
2015-02-22,8,False
2015-03-01,5,False
2015-03-08,8,False
2015-03-15,14,False
2015-03-22,6,False
2015-03-29,8,False
2015-04-05,17,False
2015-04-12,11,False
2015-04-19,10,False
2015-04-26,8,False
2015-05-03,7,False
2015-05-10,10,False
2015-05-17,9,False
2015-05-24,13,False
2015-05-31,8,False
2015-06-07,16,False
2015-06-14,16,False
2015-06-21,8,False
2015-06-28,7,False
2015-07-05,13,False
2015-07-12,12,False
2015-07-19,12,False
2015-07-26,9,False
2015-08-02,15,False
2015-08-09,20,False
2015-08-16,23,False
2015-08-23,22,False
2015-08-30,12,False
2015-09-06,13,False
2015-09-13,13,False
2015-09-20,9,False
2015-09-27,12,False
2015-10-04,9,False
2015-10-11,13,False
2015-10-18,10,False
2015-10-25,9,False
2015-11-01,12,False
2015-11-08,9,False
2015-11-15,5,False
2015-11-22,13,False
2015-11-29,8,False
2015-12-06,9,False
2015-12-13,10,False
2015-12-20,6,False
2015-12-27,17,False
2016-01-03,13,False
2016-01-10,9,False
2016-01-17,11,False
2016-01-24,12,False
2016-01-31,12,False
2016-02-07,13,False
2016-02-14,9,False
2016-02-21,32,False
2016-02-28,16,False
2016-03-06,9,False
2016-03-13,10,False
2016-03-20,13,False
2016-03-27,5,False
2016-04-03,9,False
2016-04-10,17,False
2016-04-17,18,False
2016-04-24,16,False
2016-05-01,9,False
2016-05-08,14,False
2016-05-15,7,False
2016-05-22,8,False
2016-05-29,23,False
2016-06-05,15,False
2016-06-12,28,False
2016-06-19,100,False
2016-06-26,59,False
2016-07-03,59,False
2016-07-10,31,False
2016-07-17,15,False
2016-07-24,11,False
2016-07-31,12,False
2016-08-07,11,False
2016-08-14,16,False
2016-08-21,9,False
2016-08-28,9,False
2016-09-04,7,False
2016-09-11,7,False
2016-09-18,8,False
2016-09-25,5,False
2016-10-02,30,False
2016-10-09,22,False
2016-10-16,8,False
2016-10-23,8,False
2016-10-30,8,False
2016-11-06,17,False
2016-11-13,16,False
2016-11-20,11,False
2016-11-27,10,False
2016-12-04,11,False
2016-12-11,11,False
2016-12-18,12,False
2016-12-25,3,False
2017-01-01,12,False
2017-01-08,14,False
2017-01-15,16,False
2017-01-22,13,False
2017-01-29,3,False
2017-02-05,7,False
2017-02-12,11,False
2017-02-19,14,False
2017-02-26,10,False
2017-03-05,10,False
2017-03-12,13,False
2017-03-19,18,False
2017-03-26,21,False
2017-04-02,9,False
2017-04-09,13,False
2017-04-16,15,False
2017-04-23,9,False
2017-04-30,14,False
2017-05-07,11,False
2017-05-14,11,False
2017-05-21,4,False
2017-05-28,9,False
2017-06-04,13,False
2017-06-11,13,False
2017-06-18,10,False
2017-06-25,14,False
2017-07-02,9,False
2017-07-09,8,False
2017-07-16,12,False
2017-07-23,8,False
2017-07-30,3,False
2017-08-06,9,False
2017-08-13,10,False
