date,GBPHUF,isPartial
2013-01-06,19,False
2013-01-13,24,False
2013-01-20,18,False
2013-01-27,31,False
2013-02-03,41,False
2013-02-10,55,False
2013-02-17,27,False
2013-02-24,39,False
2013-03-03,0,False
2013-03-10,17,False
2013-03-17,32,False
2013-03-24,18,False
2013-03-31,35,False
2013-04-07,20,False
2013-04-14,53,False
2013-04-21,30,False
2013-04-28,36,False
2013-05-05,24,False
2013-05-12,20,False
2013-05-19,26,False
2013-05-26,40,False
2013-06-02,31,False
2013-06-09,23,False
2013-06-16,35,False
2013-06-23,26,False
2013-06-30,18,False
2013-07-07,0,False
2013-07-14,21,False
2013-07-21,36,False
2013-07-28,24,False
2013-08-04,18,False
2013-08-11,18,False
2013-08-18,30,False
2013-08-25,50,False
2013-09-01,19,False
2013-09-08,0,False
2013-09-15,33,False
2013-09-22,0,False
2013-09-29,22,False
2013-10-06,19,False
2013-10-13,0,False
2013-10-20,21,False
2013-10-27,25,False
2013-11-03,28,False
2013-11-10,0,False
2013-11-17,24,False
2013-11-24,16,False
2013-12-01,31,False
2013-12-08,48,False
2013-12-15,44,False
2013-12-22,0,False
2013-12-29,30,False
2014-01-05,17,False
2014-01-12,28,False
2014-01-19,44,False
2014-01-26,33,False
2014-02-02,32,False
2014-02-09,26,False
2014-02-16,17,False
2014-02-23,17,False
2014-03-02,15,False
2014-03-09,33,False
2014-03-16,0,False
2014-03-23,43,False
2014-03-30,40,False
2014-04-06,17,False
2014-04-13,45,False
2014-04-20,17,False
2014-04-27,23,False
2014-05-04,17,False
2014-05-11,30,False
2014-05-18,18,False
2014-05-25,29,False
2014-06-01,34,False
2014-06-08,43,False
2014-06-15,29,False
2014-06-22,20,False
2014-06-29,44,False
2014-07-06,37,False
2014-07-13,17,False
2014-07-20,19,False
2014-07-27,32,False
2014-08-03,24,False
2014-08-10,30,False
2014-08-17,17,False
2014-08-24,29,False
2014-08-31,47,False
2014-09-07,23,False
2014-09-14,35,False
2014-09-21,16,False
2014-09-28,16,False
2014-10-05,32,False
2014-10-12,16,False
2014-10-19,0,False
2014-10-26,16,False
2014-11-02,23,False
2014-11-09,20,False
2014-11-16,24,False
2014-11-23,22,False
2014-11-30,17,False
2014-12-07,27,False
2014-12-14,29,False
2014-12-21,17,False
2014-12-28,51,False
2015-01-04,38,False
2015-01-11,42,False
2015-01-18,50,False
2015-01-25,25,False
2015-02-01,26,False
2015-02-08,21,False
2015-02-15,42,False
2015-02-22,31,False
2015-03-01,29,False
2015-03-08,26,False
2015-03-15,26,False
2015-03-22,27,False
2015-03-29,26,False
2015-04-05,27,False
2015-04-12,15,False
2015-04-19,33,False
2015-04-26,25,False
2015-05-03,37,False
2015-05-10,41,False
2015-05-17,16,False
2015-05-24,42,False
2015-05-31,33,False
2015-06-07,29,False
2015-06-14,39,False
2015-06-21,41,False
2015-06-28,67,False
2015-07-05,37,False
2015-07-12,51,False
2015-07-19,25,False
2015-07-26,37,False
2015-08-02,15,False
2015-08-09,21,False
2015-08-16,14,False
2015-08-23,41,False
2015-08-30,42,False
2015-09-06,25,False
2015-09-13,40,False
2015-09-20,20,False
2015-09-27,25,False
2015-10-04,27,False
2015-10-11,25,False
2015-10-18,53,False
2015-10-25,13,False
2015-11-01,46,False
2015-11-08,15,False
2015-11-15,15,False
2015-11-22,40,False
2015-11-29,30,False
2015-12-06,27,False
2015-12-13,14,False
2015-12-20,15,False
2015-12-27,38,False
2016-01-03,42,False
2016-01-10,25,False
2016-01-17,31,False
2016-01-24,24,False
2016-01-31,40,False
2016-02-07,41,False
2016-02-14,35,False
2016-02-21,34,False
2016-02-28,35,False
2016-03-06,28,False
2016-03-13,28,False
2016-03-20,29,False
2016-03-27,14,False
2016-04-03,18,False
2016-04-10,0,False
2016-04-17,40,False
2016-04-24,14,False
2016-05-01,24,False
2016-05-08,28,False
2016-05-15,36,False
2016-05-22,47,False
2016-05-29,65,False
2016-06-05,31,False
2016-06-12,31,False
2016-06-19,99,False
2016-06-26,100,False
2016-07-03,50,False
2016-07-10,27,False
2016-07-17,44,False
2016-07-24,27,False
2016-07-31,43,False
2016-08-07,23,False
2016-08-14,75,False
2016-08-21,33,False
2016-08-28,37,False
