date,GBPRUB,isPartial
2013-01-06,0,False
2013-01-13,0,False
2013-01-20,0,False
2013-01-27,9,False
2013-02-03,0,False
2013-02-10,11,False
2013-02-17,0,False
2013-02-24,9,False
2013-03-03,0,False
2013-03-10,9,False
2013-03-17,0,False
2013-03-24,9,False
2013-03-31,0,False
2013-04-07,0,False
2013-04-14,9,False
2013-04-21,18,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,9,False
2013-05-19,12,False
2013-05-26,0,False
2013-06-02,0,False
2013-06-09,9,False
2013-06-16,21,False
2013-06-23,9,False
2013-06-30,9,False
2013-07-07,0,False
2013-07-14,9,False
2013-07-21,9,False
2013-07-28,9,False
2013-08-04,0,False
2013-08-11,9,False
2013-08-18,0,False
2013-08-25,0,False
2013-09-01,0,False
2013-09-08,10,False
2013-09-15,0,False
2013-09-22,0,False
2013-09-29,9,False
2013-10-06,17,False
2013-10-13,9,False
2013-10-20,0,False
2013-10-27,0,False
2013-11-03,8,False
2013-11-10,8,False
2013-11-17,0,False
2013-11-24,8,False
2013-12-01,0,False
2013-12-08,0,False
2013-12-15,0,False
2013-12-22,0,False
2013-12-29,9,False
2014-01-05,12,False
2014-01-12,16,False
2014-01-19,13,False
2014-01-26,9,False
2014-02-02,16,False
2014-02-09,0,False
2014-02-16,10,False
2014-02-23,8,False
2014-03-02,17,False
2014-03-09,8,False
2014-03-16,8,False
2014-03-23,19,False
2014-03-30,8,False
2014-04-06,13,False
2014-04-13,8,False
2014-04-20,8,False
2014-04-27,14,False
2014-05-04,8,False
2014-05-11,0,False
2014-05-18,11,False
2014-05-25,0,False
2014-06-01,0,False
2014-06-08,0,False
2014-06-15,35,False
2014-06-22,0,False
2014-06-29,9,False
2014-07-06,9,False
2014-07-13,9,False
2014-07-20,9,False
2014-07-27,9,False
2014-08-03,14,False
2014-08-10,0,False
2014-08-17,10,False
2014-08-24,10,False
2014-08-31,8,False
2014-09-07,18,False
2014-09-14,23,False
2014-09-21,0,False
2014-09-28,19,False
2014-10-05,14,False
2014-10-12,0,False
2014-10-19,0,False
2014-10-26,0,False
2014-11-02,51,False
2014-11-09,18,False
2014-11-16,23,False
2014-11-23,27,False
2014-11-30,22,False
2014-12-07,29,False
2014-12-14,100,False
2014-12-21,26,False
2014-12-28,19,False
2015-01-04,23,False
2015-01-11,22,False
2015-01-18,14,False
2015-01-25,24,False
2015-02-01,8,False
2015-02-08,19,False
2015-02-15,14,False
2015-02-22,16,False
2015-03-01,7,False
2015-03-08,13,False
2015-03-15,19,False
2015-03-22,17,False
2015-03-29,20,False
2015-04-05,19,False
2015-04-12,19,False
2015-04-19,13,False
2015-04-26,9,False
2015-05-03,17,False
2015-05-10,7,False
2015-05-17,11,False
2015-05-24,0,False
2015-05-31,10,False
2015-06-07,8,False
2015-06-14,14,False
2015-06-21,7,False
2015-06-28,11,False
2015-07-05,11,False
2015-07-12,11,False
2015-07-19,9,False
2015-07-26,19,False
2015-08-02,14,False
2015-08-09,24,False
2015-08-16,11,False
2015-08-23,32,False
2015-08-30,18,False
2015-09-06,21,False
2015-09-13,14,False
2015-09-20,10,False
2015-09-27,11,False
2015-10-04,15,False
2015-10-11,17,False
2015-10-18,21,False
2015-10-25,20,False
2015-11-01,12,False
2015-11-08,7,False
2015-11-15,9,False
2015-11-22,12,False
2015-11-29,7,False
2015-12-06,24,False
2015-12-13,13,False
2015-12-20,8,False
2015-12-27,8,False
2016-01-03,15,False
2016-01-10,16,False
2016-01-17,36,False
2016-01-24,37,False
2016-01-31,10,False
2016-02-07,16,False
2016-02-14,7,False
2016-02-21,7,False
2016-02-28,8,False
2016-03-06,8,False
2016-03-13,8,False
2016-03-20,7,False
2016-03-27,12,False
2016-04-03,0,False
2016-04-10,7,False
2016-04-17,13,False
2016-04-24,20,False
2016-05-01,7,False
2016-05-08,8,False
2016-05-15,9,False
2016-05-22,7,False
2016-05-29,7,False
2016-06-05,7,False
2016-06-12,0,False
2016-06-19,24,False
2016-06-26,11,False
2016-07-03,31,False
2016-07-10,17,False
2016-07-17,9,False
2016-07-24,19,False
2016-07-31,11,False
2016-08-07,12,False
2016-08-14,9,False
2016-08-21,11,False
2016-08-28,8,False
2016-09-04,15,False
2016-09-11,0,False
2016-09-18,0,False
2016-09-25,7,False
2016-10-02,21,False
2016-10-09,15,False
2016-10-16,7,False
2016-10-23,15,False
2016-10-30,11,False
2016-11-06,12,False
2016-11-13,18,False
2016-11-20,8,False
2016-11-27,8,False
2016-12-04,7,False
2016-12-11,11,False
2016-12-18,16,False
2016-12-25,19,False
2017-01-01,8,False
2017-01-08,7,False
2017-01-15,11,False
2017-01-22,8,False
2017-01-29,9,False
2017-02-05,18,False
2017-02-12,7,False
2017-02-19,11,False
2017-02-26,7,False
2017-03-05,11,False
2017-03-12,6,False
2017-03-19,7,False
2017-03-26,0,False
2017-04-02,18,False
2017-04-09,14,False
2017-04-16,13,False
2017-04-23,7,False
2017-04-30,9,False
2017-05-07,9,False
2017-05-14,11,False
2017-05-21,14,False
2017-05-28,0,False
2017-06-04,0,False
2017-06-11,7,False
2017-06-18,8,False
2017-06-25,0,False
2017-07-02,8,False
2017-07-09,8,False
