date,HKDUSD,isPartial
2013-01-06,34,False
2013-01-13,29,False
2013-01-20,33,False
2013-01-27,28,False
2013-02-03,0,False
2013-02-10,15,False
2013-02-17,0,False
2013-02-24,16,False
2013-03-03,19,False
2013-03-10,20,False
2013-03-17,24,False
2013-03-24,14,False
2013-03-31,38,False
2013-04-07,28,False
2013-04-14,14,False
2013-04-21,43,False
2013-04-28,14,False
2013-05-05,16,False
2013-05-12,14,False
2013-05-19,20,False
2013-05-26,31,False
2013-06-02,14,False
2013-06-09,14,False
2013-06-16,14,False
2013-06-23,21,False
2013-06-30,0,False
2013-07-07,0,False
2013-07-14,17,False
2013-07-21,14,False
2013-07-28,19,False
2013-08-04,14,False
2013-08-11,0,False
2013-08-18,14,False
2013-08-25,23,False
2013-09-01,16,False
2013-09-08,13,False
2013-09-15,0,False
2013-09-22,13,False
2013-09-29,26,False
2013-10-06,27,False
2013-10-13,0,False
2013-10-20,39,False
2013-10-27,13,False
2013-11-03,15,False
2013-11-10,15,False
2013-11-17,13,False
2013-11-24,0,False
2013-12-01,38,False
2013-12-08,13,False
2013-12-15,30,False
2013-12-22,29,False
2013-12-29,14,False
2014-01-05,12,False
2014-01-12,17,False
2014-01-19,35,False
2014-01-26,35,False
2014-02-02,19,False
2014-02-09,0,False
2014-02-16,27,False
2014-02-23,12,False
2014-03-02,0,False
2014-03-09,0,False
2014-03-16,49,False
2014-03-23,18,False
2014-03-30,18,False
2014-04-06,18,False
2014-04-13,29,False
2014-04-20,12,False
2014-04-27,42,False
2014-05-04,14,False
2014-05-11,33,False
2014-05-18,23,False
2014-05-25,41,False
2014-06-01,0,False
2014-06-08,14,False
2014-06-15,18,False
2014-06-22,18,False
2014-06-29,24,False
2014-07-06,25,False
2014-07-13,16,False
2014-07-20,32,False
2014-07-27,16,False
2014-08-03,14,False
2014-08-10,27,False
2014-08-17,0,False
2014-08-24,13,False
2014-08-31,30,False
2014-09-07,15,False
2014-09-14,22,False
2014-09-21,34,False
2014-09-28,28,False
2014-10-05,32,False
2014-10-12,25,False
2014-10-19,22,False
2014-10-26,22,False
2014-11-02,31,False
2014-11-09,25,False
2014-11-16,23,False
2014-11-23,14,False
2014-11-30,18,False
2014-12-07,18,False
2014-12-14,25,False
2014-12-21,15,False
2014-12-28,20,False
2015-01-04,14,False
2015-01-11,22,False
2015-01-18,12,False
2015-01-25,20,False
2015-02-01,29,False
2015-02-08,17,False
2015-02-15,0,False
2015-02-22,17,False
2015-03-01,0,False
2015-03-08,23,False
2015-03-15,25,False
2015-03-22,21,False
2015-03-29,21,False
2015-04-05,35,False
2015-04-12,29,False
2015-04-19,29,False
2015-04-26,18,False
2015-05-03,26,False
2015-05-10,29,False
2015-05-17,0,False
2015-05-24,0,False
2015-05-31,12,False
2015-06-07,18,False
2015-06-14,15,False
2015-06-21,23,False
2015-06-28,24,False
2015-07-05,40,False
2015-07-12,13,False
2015-07-19,14,False
2015-07-26,35,False
2015-08-02,17,False
2015-08-09,20,False
2015-08-16,11,False
2015-08-23,37,False
2015-08-30,19,False
2015-09-06,16,False
2015-09-13,38,False
2015-09-20,24,False
2015-09-27,20,False
2015-10-04,18,False
2015-10-11,16,False
2015-10-18,12,False
2015-10-25,23,False
2015-11-01,19,False
2015-11-08,11,False
2015-11-15,23,False
2015-11-22,12,False
2015-11-29,12,False
2015-12-06,24,False
2015-12-13,20,False
2015-12-20,24,False
2015-12-27,12,False
2016-01-03,34,False
2016-01-10,48,False
2016-01-17,33,False
2016-01-24,28,False
2016-01-31,45,False
2016-02-07,28,False
2016-02-14,0,False
2016-02-21,12,False
2016-02-28,12,False
2016-03-06,16,False
2016-03-13,11,False
2016-03-20,23,False
2016-03-27,16,False
2016-04-03,22,False
2016-04-10,16,False
2016-04-17,28,False
2016-04-24,11,False
2016-05-01,19,False
2016-05-08,16,False
2016-05-15,25,False
2016-05-22,25,False
2016-05-29,12,False
2016-06-05,23,False
2016-06-12,22,False
2016-06-19,32,False
2016-06-26,26,False
2016-07-03,12,False
2016-07-10,12,False
2016-07-17,36,False
2016-07-24,24,False
2016-07-31,21,False
2016-08-07,28,False
2016-08-14,15,False
2016-08-21,0,False
2016-08-28,0,False
2016-09-04,12,False
2016-09-11,27,False
2016-09-18,17,False
2016-09-25,29,False
2016-10-02,11,False
2016-10-09,23,False
2016-10-16,17,False
2016-10-23,28,False
2016-10-30,11,False
2016-11-06,12,False
2016-11-13,11,False
2016-11-20,16,False
2016-11-27,19,False
2016-12-04,19,False
2016-12-11,16,False
2016-12-18,13,False
2016-12-25,23,False
2017-01-01,30,False
2017-01-08,10,False
2017-01-15,12,False
2017-01-22,21,False
2017-01-29,15,False
2017-02-05,18,False
2017-02-12,20,False
2017-02-19,15,False
2017-02-26,31,False
2017-03-05,29,False
2017-03-12,25,False
2017-03-19,17,False
2017-03-26,12,False
2017-04-02,14,False
2017-04-09,21,False
2017-04-16,11,False
2017-04-23,19,False
2017-04-30,15,False
2017-05-07,18,False
2017-05-14,20,False
2017-05-21,19,False
2017-05-28,17,False
2017-06-04,22,False
2017-06-11,22,False
2017-06-18,11,False
2017-06-25,28,False
2017-07-02,28,False
2017-07-09,13,False
2017-07-16,20,False
2017-07-23,20,False
2017-07-30,12,False
2017-08-06,21,False
2017-08-13,11,False
2017-08-20,25,False
2017-08-27,11,False
2017-09-03,24,False
2017-09-10,21,False
2017-09-17,26,False
2017-09-24,30,False
2017-10-01,31,False
2017-10-08,19,False
2017-10-15,19,False
2017-10-22,26,False
2017-10-29,10,False
2017-11-05,15,False
2017-11-12,11,False
2017-11-19,10,False
2017-11-26,25,False
2017-12-03,100,False
2017-12-10,33,False
2017-12-17,18,False
2017-12-24,11,False
2017-12-31,26,True
