,row_count,id,title,link,make,model,series,transmission,price,milage,age,age_rating,milage_rating,price_rating,sum_rating,market_price,price_difference
54,1,SSE-AD-6165539,2013 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2013/SSE-AD-6165539/?Cr=83,Mercedes-Benz,C200,,Auto,22500.0,45000.0,6,-0.4321086832174015,0.08224770408875426,0.9604691860315551,2.613794283054772,40272,17772
68,2,SSE-AD-6072189,2013 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2013/SSE-AD-6072189/?Cr=96,Mercedes-Benz,C200,,Auto,29000.0,30200.0,6,-0.4321086832174015,0.4408947542245984,0.6322493839517365,2.3464289770870046,44868,15868
0,3,OAG-AD-16866805,2013 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2013/OAG-AD-16866805/?gts=OAG-AD-16866805&gtssaleid=OAG-AD-16866805&rankingType=TopSpot,Mercedes-Benz,C200,,Auto,23800.0,49066.0,6,-0.4321086832174015,-0.016283303063431044,0.8948252256155913,2.2198003875025107,39009,15209
21,4,OAG-AD-16866805,2013 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2013/OAG-AD-16866805/?Cr=3,Mercedes-Benz,C200,,Auto,23800.0,49066.0,6,-0.4321086832174015,-0.016283303063431044,0.8948252256155913,2.2198003875025107,39009,15209
109,5,OAG-AD-17346592,2014 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2014/OAG-AD-17346592/?Cr=133,Mercedes-Benz,C200,,Auto,33888.0,24451.0,5,-0.16344007189051973,0.5802097468753395,0.3854280927877129,2.153263700223298,48084,14196
28,6,SSE-AD-5978704,2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/SSE-AD-5978704/?Cr=26,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,21999.0,52056.0,7,-0.7007772945442833,-0.08873970035438875,0.9857673584687842,2.0790453801532918,36650,14651
61,7,SSE-AD-5306476,2013 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2013/SSE-AD-5306476/?Cr=89,Mercedes-Benz,C200,,Auto,25500.0,48000.0,6,-0.4321086832174015,0.00954897770986692,0.8089831235331773,2.013938642801864,39340,13840
7,8,OAG-AD-17365527,2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/OAG-AD-17365527/?Cr=1,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,16990.0,73200.0,7,-0.7007772945442833,-0.6011203238727867,1.238698587486909,1.8130778201708702,30084,13094
19,9,OAG-AD-17365527,2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/OAG-AD-17365527/?Cr=1,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,16990.0,73200.0,7,-0.7007772945442833,-0.6011203238727867,1.238698587486909,1.8130778201708702,30084,13094
74,10,OAG-AD-17274985,2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/OAG-AD-17274985/?Cr=101,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,14950.0,77486.0,8,-0.969445905871165,-0.7049825709594237,1.3417091099858058,1.6457162821674047,27322,12372
