This file was downloaded on February 16 2018 5:43:35 PM UTC-08:00
Keywords,coffee
Date Range,2017-02-14 - 2018-02-14
Buyer Country: ,AU
Category: ,Other Vitamins & Supplements
Product Condition: ,New
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2017-02-14,4,17.93 USD,71.73 USD
2017-02-15,5,33.36 USD,166.80 USD
2017-02-16,3,32.75 USD,98.26 USD
2017-02-17,4,27.65 USD,110.60 USD
2017-02-18,1,23.29 USD,23.29 USD
2017-02-19,0,0.00 USD,0.00 USD
2017-02-20,1,20.69 USD,20.69 USD
2017-02-21,1,67.60 USD,67.60 USD
2017-02-22,1,23.68 USD,23.68 USD
2017-02-23,1,19.94 USD,19.94 USD
2017-02-24,3,22.12 USD,66.35 USD
2017-02-25,2,10.85 USD,21.69 USD
2017-02-26,2,31.07 USD,62.14 USD
2017-02-27,2,40.31 USD,80.61 USD
2017-02-28,2,16.49 USD,32.98 USD
2017-03-01,3,51.73 USD,155.20 USD
2017-03-02,2,27.14 USD,54.28 USD
2017-03-03,1,20.13 USD,20.13 USD
2017-03-04,1,20.08 USD,20.08 USD
2017-03-05,1,19.63 USD,19.63 USD
2017-03-06,1,15.09 USD,15.09 USD
2017-03-07,2,31.81 USD,63.61 USD
2017-03-08,0,0.00 USD,0.00 USD
2017-03-09,0,0.00 USD,0.00 USD
2017-03-10,0,0.00 USD,0.00 USD
2017-03-11,2,33.14 USD,66.28 USD
2017-03-12,1,40.71 USD,40.71 USD
2017-03-13,6,15.63 USD,93.75 USD
2017-03-14,2,8.72 USD,17.44 USD
2017-03-15,1,33.30 USD,33.30 USD
2017-03-16,1,41.38 USD,41.38 USD
2017-03-17,1,34.53 USD,34.53 USD
2017-03-18,2,11.80 USD,23.60 USD
2017-03-19,0,0.00 USD,0.00 USD
2017-03-20,2,30.93 USD,61.86 USD
2017-03-21,3,27.24 USD,81.73 USD
2017-03-22,0,0.00 USD,0.00 USD
2017-03-23,4,37.29 USD,149.15 USD
2017-03-24,2,26.92 USD,53.84 USD
2017-03-25,1,68.53 USD,68.53 USD
2017-03-26,0,0.00 USD,0.00 USD
2017-03-27,1,19.00 USD,19.00 USD
2017-03-28,0,0.00 USD,0.00 USD
2017-03-29,1,41.62 USD,41.62 USD
2017-03-30,1,19.88 USD,19.88 USD
2017-03-31,2,30.27 USD,60.54 USD
2017-04-01,2,15.72 USD,31.44 USD
2017-04-02,0,0.00 USD,0.00 USD
2017-04-03,1,45.73 USD,45.73 USD
2017-04-04,3,24.53 USD,73.60 USD
2017-04-05,2,50.62 USD,101.24 USD
2017-04-06,2,33.31 USD,66.62 USD
2017-04-07,1,19.60 USD,19.60 USD
2017-04-08,1,18.77 USD,18.77 USD
2017-04-09,2,33.00 USD,66.00 USD
2017-04-10,1,33.00 USD,33.00 USD
2017-04-11,0,0.00 USD,0.00 USD
2017-04-12,0,0.00 USD,0.00 USD
2017-04-13,1,32.17 USD,32.17 USD
2017-04-14,2,21.81 USD,43.62 USD
2017-04-15,0,0.00 USD,0.00 USD
2017-04-16,1,30.32 USD,30.32 USD
2017-04-17,1,39.44 USD,39.44 USD
2017-04-18,1,19.74 USD,19.74 USD
2017-04-19,1,40.95 USD,40.95 USD
2017-04-20,2,63.04 USD,126.07 USD
2017-04-21,0,0.00 USD,0.00 USD
2017-04-22,1,39.83 USD,39.83 USD
2017-04-23,1,39.83 USD,39.83 USD
2017-04-24,2,38.73 USD,77.45 USD
2017-04-25,1,24.96 USD,24.96 USD
2017-04-26,3,25.86 USD,77.59 USD
2017-04-27,1,11.20 USD,11.20 USD
2017-04-28,1,11.17 USD,11.17 USD
2017-04-29,1,39.60 USD,39.60 USD
2017-04-30,1,40.61 USD,40.61 USD
2017-05-01,0,0.00 USD,0.00 USD
2017-05-02,3,25.34 USD,76.03 USD
2017-05-03,1,18.03 USD,18.03 USD
2017-05-04,1,19.35 USD,19.35 USD
2017-05-05,1,21.42 USD,21.42 USD
2017-05-06,3,25.05 USD,75.14 USD
2017-05-07,2,19.22 USD,38.44 USD
2017-05-08,1,11.84 USD,11.84 USD
2017-05-09,0,0.00 USD,0.00 USD
2017-05-10,2,19.31 USD,38.62 USD
2017-05-11,0,0.00 USD,0.00 USD
2017-05-12,1,19.12 USD,19.12 USD
2017-05-13,0,0.00 USD,0.00 USD
2017-05-14,4,28.67 USD,114.66 USD
2017-05-15,0,0.00 USD,0.00 USD
2017-05-16,1,11.12 USD,11.12 USD
2017-05-17,1,19.29 USD,19.29 USD
2017-05-18,2,15.20 USD,30.40 USD
2017-05-19,1,20.76 USD,20.76 USD
2017-05-20,0,0.00 USD,0.00 USD
2017-05-21,1,23.03 USD,23.03 USD
2017-05-22,0,0.00 USD,0.00 USD
2017-05-23,1,11.22 USD,11.22 USD
2017-05-24,0,0.00 USD,0.00 USD
2017-05-25,0,0.00 USD,0.00 USD
2017-05-26,1,20.86 USD,20.86 USD
2017-05-27,1,22.34 USD,22.34 USD
2017-05-28,0,0.00 USD,0.00 USD
2017-05-29,0,0.00 USD,0.00 USD
2017-05-30,1,10.41 USD,10.41 USD
2017-05-31,0,0.00 USD,0.00 USD
2017-06-01,3,63.27 USD,189.81 USD
2017-06-02,0,0.00 USD,0.00 USD
2017-06-03,1,17.84 USD,17.84 USD
2017-06-04,2,26.01 USD,52.02 USD
2017-06-05,2,27.85 USD,55.70 USD
2017-06-06,1,17.33 USD,17.33 USD
2017-06-07,1,17.29 USD,17.29 USD
2017-06-08,0,0.00 USD,0.00 USD
2017-06-09,0,0.00 USD,0.00 USD
2017-06-10,0,0.00 USD,0.00 USD
2017-06-11,0,0.00 USD,0.00 USD
2017-06-12,0,0.00 USD,0.00 USD
2017-06-13,1,10.56 USD,10.56 USD
2017-06-14,3,16.07 USD,48.20 USD
2017-06-15,0,0.00 USD,0.00 USD
2017-06-16,4,25.57 USD,102.29 USD
2017-06-17,1,39.64 USD,39.64 USD
2017-06-18,2,18.28 USD,36.55 USD
2017-06-19,0,0.00 USD,0.00 USD
2017-06-20,1,66.89 USD,66.89 USD
2017-06-21,0,0.00 USD,0.00 USD
2017-06-22,1,9.05 USD,9.05 USD
2017-06-23,2,21.07 USD,42.14 USD
2017-06-24,1,15.89 USD,15.89 USD
2017-06-25,2,30.08 USD,60.15 USD
2017-06-26,3,14.47 USD,43.41 USD
2017-06-27,3,17.19 USD,51.56 USD
2017-06-28,4,18.20 USD,72.79 USD
2017-06-29,0,0.00 USD,0.00 USD
2017-06-30,0,0.00 USD,0.00 USD
2017-07-01,1,15.30 USD,15.30 USD
2017-07-02,3,28.11 USD,84.32 USD
2017-07-03,0,0.00 USD,0.00 USD
2017-07-04,0,0.00 USD,0.00 USD
2017-07-05,4,28.32 USD,113.28 USD
2017-07-06,2,27.75 USD,55.50 USD
2017-07-07,3,23.21 USD,69.63 USD
2017-07-08,0,0.00 USD,0.00 USD
2017-07-09,1,37.98 USD,37.98 USD
2017-07-10,3,11.25 USD,33.74 USD
2017-07-11,0,0.00 USD,0.00 USD
2017-07-12,1,40.30 USD,40.30 USD
2017-07-13,0,0.00 USD,0.00 USD
2017-07-14,2,45.95 USD,91.90 USD
2017-07-15,1,117.12 USD,117.12 USD
2017-07-16,6,19.24 USD,115.46 USD
2017-07-17,6,14.31 USD,85.84 USD
2017-07-18,0,0.00 USD,0.00 USD
2017-07-19,1,15.81 USD,15.81 USD
2017-07-20,1,69.87 USD,69.87 USD
2017-07-21,0,0.00 USD,0.00 USD
2017-07-22,2,20.54 USD,41.08 USD
2017-07-23,1,15.79 USD,15.79 USD
2017-07-24,2,23.33 USD,46.66 USD
2017-07-25,0,0.00 USD,0.00 USD
2017-07-26,1,110.32 USD,110.32 USD
2017-07-27,0,0.00 USD,0.00 USD
2017-07-28,2,27.06 USD,54.12 USD
2017-07-29,3,17.86 USD,53.57 USD
2017-07-30,0,0.00 USD,0.00 USD
2017-07-31,0,0.00 USD,0.00 USD
2017-08-01,1,22.31 USD,22.31 USD
2017-08-02,1,42.29 USD,42.29 USD
2017-08-03,2,9.56 USD,19.12 USD
2017-08-04,0,0.00 USD,0.00 USD
2017-08-05,0,0.00 USD,0.00 USD
2017-08-06,4,40.53 USD,162.11 USD
2017-08-07,2,55.76 USD,111.52 USD
2017-08-08,3,33.97 USD,101.92 USD
2017-08-09,1,41.80 USD,41.80 USD
2017-08-10,0,0.00 USD,0.00 USD
2017-08-11,2,58.18 USD,116.36 USD
2017-08-12,1,25.59 USD,25.59 USD
2017-08-13,0,0.00 USD,0.00 USD
2017-08-14,0,0.00 USD,0.00 USD
2017-08-15,0,0.00 USD,0.00 USD
2017-08-16,0,0.00 USD,0.00 USD
2017-08-17,0,0.00 USD,0.00 USD
2017-08-18,0,0.00 USD,0.00 USD
2017-08-19,0,0.00 USD,0.00 USD
2017-08-20,1,35.61 USD,35.61 USD
2017-08-21,2,26.87 USD,53.73 USD
2017-08-22,1,71.45 USD,71.45 USD
2017-08-23,3,43.53 USD,130.59 USD
2017-08-24,3,38.39 USD,115.17 USD
2017-08-25,1,20.51 USD,20.51 USD
2017-08-26,4,25.17 USD,100.67 USD
2017-08-27,2,20.60 USD,41.20 USD
2017-08-28,5,19.33 USD,96.66 USD
2017-08-29,1,22.22 USD,22.22 USD
2017-08-30,1,42.25 USD,42.25 USD
2017-08-31,1,34.74 USD,34.74 USD
2017-09-01,1,19.03 USD,19.03 USD
2017-09-02,4,24.89 USD,99.57 USD
2017-09-03,1,20.70 USD,20.70 USD
2017-09-04,2,27.65 USD,55.29 USD
2017-09-05,0,0.00 USD,0.00 USD
2017-09-06,7,22.77 USD,159.42 USD
2017-09-07,2,13.78 USD,27.56 USD
2017-09-08,12,2.81 USD,33.72 USD
2017-09-09,0,0.00 USD,0.00 USD
2017-09-10,3,25.49 USD,76.47 USD
2017-09-11,0,0.00 USD,0.00 USD
2017-09-12,2,28.08 USD,56.16 USD
2017-09-13,4,41.76 USD,167.04 USD
2017-09-14,0,0.00 USD,0.00 USD
2017-09-15,3,24.72 USD,74.16 USD
2017-09-16,5,19.20 USD,96.00 USD
2017-09-17,4,27.77 USD,111.09 USD
2017-09-18,5,24.93 USD,124.66 USD
2017-09-19,1,35.88 USD,35.88 USD
2017-09-20,3,20.50 USD,61.51 USD
2017-09-21,5,22.40 USD,112.02 USD
2017-09-22,2,40.65 USD,81.30 USD
2017-09-23,4,44.62 USD,178.46 USD
2017-09-24,3,27.88 USD,83.65 USD
2017-09-25,5,14.42 USD,72.10 USD
2017-09-26,3,37.56 USD,112.69 USD
2017-09-27,0,0.00 USD,0.00 USD
2017-09-28,4,37.90 USD,151.60 USD
2017-09-29,3,20.85 USD,62.56 USD
2017-09-30,1,41.55 USD,41.55 USD
2017-10-01,2,20.36 USD,40.72 USD
2017-10-02,5,20.05 USD,100.26 USD
2017-10-03,4,24.43 USD,97.70 USD
2017-10-04,3,36.22 USD,108.66 USD
2017-10-05,4,28.65 USD,114.58 USD
2017-10-06,0,0.00 USD,0.00 USD
2017-10-07,1,46.53 USD,46.53 USD
2017-10-08,2,15.89 USD,31.77 USD
2017-10-09,1,46.53 USD,46.53 USD
2017-10-10,4,35.24 USD,140.94 USD
2017-10-11,1,20.22 USD,20.22 USD
2017-10-12,4,38.28 USD,153.12 USD
2017-10-13,3,20.23 USD,60.68 USD
2017-10-14,1,19.68 USD,19.68 USD
2017-10-15,1,29.15 USD,29.15 USD
2017-10-16,5,20.35 USD,101.75 USD
2017-10-17,6,22.46 USD,134.73 USD
2017-10-18,3,20.32 USD,60.96 USD
2017-10-19,2,40.71 USD,81.42 USD
2017-10-20,3,26.77 USD,80.32 USD
2017-10-21,5,25.28 USD,126.41 USD
2017-10-22,4,14.49 USD,57.94 USD
2017-10-23,2,33.13 USD,66.26 USD
2017-10-24,2,33.08 USD,66.15 USD
2017-10-25,0,0.00 USD,0.00 USD
2017-10-26,1,18.48 USD,18.48 USD
2017-10-27,2,19.80 USD,39.60 USD
2017-10-28,3,27.69 USD,83.06 USD
2017-10-29,2,30.19 USD,60.38 USD
2017-10-30,3,36.18 USD,108.55 USD
2017-10-31,2,19.87 USD,39.73 USD
2017-11-01,1,34.50 USD,34.50 USD
2017-11-02,1,21.45 USD,21.45 USD
2017-11-03,2,27.32 USD,54.64 USD
2017-11-04,1,45.86 USD,45.86 USD
2017-11-05,0,0.00 USD,0.00 USD
2017-11-06,2,15.60 USD,31.20 USD
2017-11-07,5,33.30 USD,166.51 USD
2017-11-08,5,18.96 USD,94.80 USD
2017-11-09,2,19.85 USD,39.69 USD
2017-11-10,2,11.00 USD,22.00 USD
2017-11-11,1,19.92 USD,19.92 USD
2017-11-12,3,19.84 USD,59.52 USD
2017-11-13,2,55.99 USD,111.97 USD
2017-11-14,3,26.34 USD,79.03 USD
2017-11-15,5,20.84 USD,104.22 USD
2017-11-16,4,24.05 USD,96.19 USD
2017-11-17,1,19.71 USD,19.71 USD
2017-11-18,1,19.59 USD,19.59 USD
2017-11-19,1,19.59 USD,19.59 USD
