This file was downloaded on February 16 2018 10:01:20 PM UTC-08:00
Keywords,toothpaste
Date Range,2017-02-14 - 2018-02-14
Site: ,ebay.com.au
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Buyer Country: ,AU
Seller Country: ,AU
Category: ,Toothpaste

Date,Items Sold,Average Selling Price,Total Sales
2017-02-14,76,7.97 USD,605.81 USD
2017-02-15,59,8.25 USD,486.53 USD
2017-02-16,41,9.95 USD,407.76 USD
2017-02-17,33,12.00 USD,395.85 USD
2017-02-18,46,8.46 USD,388.99 USD
2017-02-19,54,9.81 USD,529.95 USD
2017-02-20,58,10.48 USD,607.93 USD
2017-02-21,43,10.10 USD,434.33 USD
2017-02-22,48,9.63 USD,462.40 USD
2017-02-23,57,8.77 USD,499.94 USD
2017-02-24,58,8.34 USD,483.81 USD
2017-02-25,59,9.96 USD,587.47 USD
2017-02-26,53,8.72 USD,462.42 USD
2017-02-27,72,7.88 USD,567.27 USD
2017-02-28,48,9.16 USD,439.78 USD
2017-03-01,45,11.93 USD,537.00 USD
2017-03-02,48,14.14 USD,678.70 USD
2017-03-03,56,10.74 USD,601.39 USD
2017-03-04,48,8.82 USD,423.22 USD
2017-03-05,52,11.20 USD,582.30 USD
2017-03-06,72,8.34 USD,600.72 USD
2017-03-07,49,8.98 USD,440.16 USD
2017-03-08,61,9.18 USD,560.25 USD
2017-03-09,59,8.81 USD,519.67 USD
2017-03-10,47,6.68 USD,313.74 USD
2017-03-11,45,7.70 USD,346.36 USD
2017-03-12,32,9.03 USD,288.98 USD
2017-03-13,61,7.15 USD,436.18 USD
2017-03-14,54,7.93 USD,428.18 USD
2017-03-15,61,10.41 USD,635.22 USD
2017-03-16,58,10.01 USD,580.49 USD
2017-03-17,41,10.64 USD,436.07 USD
2017-03-18,64,9.06 USD,579.82 USD
2017-03-19,18,6.16 USD,110.91 USD
2017-03-20,51,8.38 USD,427.35 USD
2017-03-21,56,10.31 USD,577.11 USD
2017-03-22,69,9.40 USD,648.34 USD
2017-03-23,70,6.94 USD,485.77 USD
2017-03-24,71,9.35 USD,664.08 USD
2017-03-25,81,8.43 USD,682.99 USD
2017-03-26,34,8.10 USD,275.50 USD
2017-03-27,63,7.34 USD,462.73 USD
2017-03-28,57,7.55 USD,430.14 USD
2017-03-29,65,8.99 USD,584.19 USD
2017-03-30,58,7.30 USD,423.41 USD
2017-03-31,47,8.31 USD,390.53 USD
2017-04-01,63,6.15 USD,387.73 USD
2017-04-02,61,8.15 USD,497.23 USD
2017-04-03,55,9.48 USD,521.18 USD
2017-04-04,66,8.56 USD,564.87 USD
2017-04-05,53,9.57 USD,507.30 USD
2017-04-06,42,6.54 USD,274.51 USD
2017-04-07,59,8.54 USD,503.67 USD
2017-04-08,54,7.22 USD,389.93 USD
2017-04-09,41,7.51 USD,307.92 USD
2017-04-10,58,8.62 USD,499.72 USD
2017-04-11,51,10.66 USD,543.81 USD
2017-04-12,55,8.56 USD,471.03 USD
2017-04-13,60,6.96 USD,417.37 USD
2017-04-14,74,7.26 USD,537.13 USD
2017-04-15,66,7.33 USD,483.88 USD
2017-04-16,108,7.53 USD,813.54 USD
2017-04-17,126,7.26 USD,914.48 USD
2017-04-18,102,7.39 USD,753.46 USD
2017-04-19,90,7.55 USD,679.52 USD
2017-04-20,89,7.99 USD,711.39 USD
2017-04-21,77,8.45 USD,650.86 USD
2017-04-22,127,6.53 USD,829.28 USD
2017-04-23,108,7.65 USD,826.55 USD
2017-04-24,97,7.87 USD,763.72 USD
2017-04-25,85,9.44 USD,802.51 USD
2017-04-26,98,7.79 USD,762.97 USD
2017-04-27,70,7.80 USD,546.21 USD
2017-04-28,75,7.58 USD,568.21 USD
2017-04-29,68,10.21 USD,694.27 USD
2017-04-30,75,10.90 USD,817.46 USD
2017-05-01,66,9.99 USD,659.03 USD
2017-05-02,87,9.71 USD,844.71 USD
2017-05-03,83,7.84 USD,650.39 USD
2017-05-04,47,8.11 USD,380.95 USD
2017-05-05,43,6.70 USD,288.27 USD
2017-05-06,72,9.06 USD,652.61 USD
2017-05-07,61,7.47 USD,455.89 USD
2017-05-08,72,7.44 USD,535.81 USD
2017-05-09,81,8.35 USD,676.71 USD
2017-05-10,70,8.25 USD,577.47 USD
2017-05-11,80,9.74 USD,779.14 USD
2017-05-12,79,6.86 USD,542.05 USD
2017-05-13,52,8.37 USD,435.33 USD
2017-05-14,83,9.21 USD,764.27 USD
2017-05-15,72,9.89 USD,712.23 USD
2017-05-16,74,7.53 USD,557.06 USD
2017-05-17,63,9.96 USD,627.60 USD
2017-05-18,68,10.06 USD,684.12 USD
2017-05-19,64,8.71 USD,557.12 USD
2017-05-20,52,8.77 USD,455.94 USD
2017-05-21,51,9.28 USD,473.03 USD
2017-05-22,60,7.93 USD,475.87 USD
2017-05-23,70,10.29 USD,720.53 USD
2017-05-24,64,8.87 USD,567.67 USD
2017-05-25,80,8.72 USD,697.73 USD
2017-05-26,61,8.25 USD,502.96 USD
2017-05-27,72,9.30 USD,669.92 USD
2017-05-28,75,8.59 USD,644.34 USD
2017-05-29,90,8.10 USD,728.73 USD
2017-05-30,68,8.64 USD,587.19 USD
2017-05-31,77,8.09 USD,622.77 USD
2017-06-01,73,8.97 USD,654.86 USD
2017-06-02,55,8.77 USD,482.44 USD
2017-06-03,54,8.33 USD,449.75 USD
2017-06-04,52,10.90 USD,566.91 USD
2017-06-05,70,9.41 USD,658.75 USD
2017-06-06,63,8.22 USD,518.10 USD
2017-06-07,50,10.60 USD,530.11 USD
2017-06-08,43,10.90 USD,468.76 USD
2017-06-09,46,8.72 USD,400.96 USD
2017-06-10,50,8.20 USD,410.24 USD
2017-06-11,52,9.67 USD,502.86 USD
2017-06-12,56,9.28 USD,519.42 USD
