This file was downloaded on March 15 2018 2:53:45 PM UTC-07:00
Keywords,wine
Date Range,2015-03-14 - 2018-03-11
Buyer Country: ,AU
Category: ,Wines (Red)
Product Condition: ,New,Used
Listing Format: ,Auction
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-14,1,133.52 USD,133.52 USD
2015-03-15,1,28.99 USD,28.99 USD
2015-03-16,14,21.40 USD,299.55 USD
2015-03-17,3,24.88 USD,74.65 USD
2015-03-18,17,25.68 USD,436.54 USD
2015-03-19,17,24.33 USD,413.67 USD
2015-03-20,1,30.05 USD,30.05 USD
2015-03-21,3,27.16 USD,81.49 USD
2015-03-22,14,50.36 USD,705.03 USD
2015-03-23,3,31.30 USD,93.91 USD
2015-03-24,0,0.00 USD,0.00 USD
2015-03-25,14,55.22 USD,773.03 USD
2015-03-26,14,27.48 USD,384.70 USD
2015-03-27,1,39.17 USD,39.17 USD
2015-03-28,2,29.85 USD,59.69 USD
2015-03-29,2,31.98 USD,63.96 USD
2015-03-30,3,138.63 USD,415.90 USD
2015-03-31,54,41.99 USD,2267.44 USD
2015-04-01,11,59.90 USD,658.86 USD
2015-04-02,6,35.65 USD,213.90 USD
2015-04-03,2,1344.92 USD,2689.84 USD
2015-04-04,1,40.54 USD,40.54 USD
2015-04-05,8,33.32 USD,266.52 USD
2015-04-06,10,24.80 USD,247.95 USD
2015-04-07,13,19.46 USD,253.02 USD
2015-04-08,8,20.78 USD,166.20 USD
2015-04-09,15,44.38 USD,665.75 USD
2015-04-10,3,29.67 USD,89.00 USD
2015-04-11,2,67.49 USD,134.97 USD
2015-04-12,23,26.02 USD,598.41 USD
2015-04-13,14,54.23 USD,759.17 USD
2015-04-14,1,31.02 USD,31.02 USD
2015-04-15,3,32.35 USD,97.04 USD
2015-04-16,6,27.55 USD,165.27 USD
2015-04-17,4,77.48 USD,309.93 USD
2015-04-18,0,0.00 USD,0.00 USD
2015-04-19,11,48.03 USD,528.36 USD
2015-04-20,18,56.25 USD,1012.44 USD
2015-04-21,4,116.41 USD,465.62 USD
2015-04-22,4,42.71 USD,170.82 USD
2015-04-23,3,31.82 USD,95.46 USD
2015-04-24,1,33.72 USD,33.72 USD
2015-04-25,3,41.77 USD,125.32 USD
2015-04-26,3,54.83 USD,164.50 USD
2015-04-27,6,220.21 USD,1321.27 USD
2015-04-28,9,25.96 USD,233.62 USD
2015-04-29,2,43.02 USD,86.04 USD
2015-04-30,21,61.93 USD,1300.49 USD
2015-05-01,2,39.31 USD,78.62 USD
2015-05-02,3,43.62 USD,130.85 USD
2015-05-03,5,132.70 USD,663.51 USD
2015-05-04,12,21.87 USD,262.39 USD
2015-05-05,10,83.88 USD,838.84 USD
2015-05-06,9,25.06 USD,225.52 USD
2015-05-07,15,29.54 USD,443.04 USD
2015-05-08,2,179.09 USD,358.18 USD
2015-05-09,3,42.14 USD,126.43 USD
2015-05-10,2,36.35 USD,72.70 USD
2015-05-11,22,81.49 USD,1792.69 USD
2015-05-12,3,126.11 USD,378.34 USD
2015-05-13,7,24.45 USD,171.12 USD
2015-05-14,3,42.93 USD,128.80 USD
2015-05-15,3,35.89 USD,107.66 USD
2015-05-16,5,20.62 USD,103.08 USD
2015-05-17,3,35.40 USD,106.21 USD
2015-05-18,3,37.98 USD,113.95 USD
2015-05-19,2,41.25 USD,82.49 USD
2015-05-20,2,49.83 USD,99.65 USD
2015-05-21,11,39.89 USD,438.81 USD
2015-05-22,4,65.90 USD,263.59 USD
2015-05-23,0,0.00 USD,0.00 USD
2015-05-24,7,105.07 USD,735.46 USD
2015-05-25,5,60.56 USD,302.81 USD
2015-05-26,14,32.15 USD,450.16 USD
2015-05-27,3,62.70 USD,188.11 USD
2015-05-28,3,49.24 USD,147.73 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,3,42.87 USD,128.60 USD
2015-05-31,6,42.02 USD,252.14 USD
2015-06-01,16,63.82 USD,1021.11 USD
2015-06-02,7,23.67 USD,165.71 USD
2015-06-03,7,29.99 USD,209.95 USD
2015-06-04,7,32.20 USD,225.40 USD
2015-06-05,3,34.29 USD,102.87 USD
2015-06-06,4,41.13 USD,164.50 USD
2015-06-07,4,45.57 USD,182.27 USD
2015-06-08,3,49.83 USD,149.48 USD
2015-06-09,8,27.94 USD,223.53 USD
2015-06-10,2,35.02 USD,70.03 USD
2015-06-11,7,33.20 USD,232.38 USD
2015-06-12,2,34.36 USD,68.71 USD
2015-06-13,2,45.28 USD,90.55 USD
2015-06-14,19,64.00 USD,1215.95 USD
2015-06-15,1,34.83 USD,34.83 USD
2015-06-16,1,49.71 USD,49.71 USD
2015-06-17,2,26.35 USD,52.70 USD
2015-06-18,5,24.61 USD,123.04 USD
2015-06-19,4,49.50 USD,197.98 USD
2015-06-20,3,114.39 USD,343.18 USD
2015-06-21,3,54.80 USD,164.41 USD
2015-06-22,5,27.83 USD,139.13 USD
2015-06-23,9,53.30 USD,479.73 USD
2015-06-24,8,28.25 USD,226.03 USD
2015-06-25,13,131.72 USD,1712.33 USD
2015-06-26,3,39.48 USD,118.44 USD
2015-06-27,2,30.57 USD,61.14 USD
2015-06-28,8,33.34 USD,266.75 USD
2015-06-29,15,52.81 USD,792.10 USD
2015-06-30,9,21.99 USD,197.93 USD
2015-07-01,3,28.76 USD,86.29 USD
2015-07-02,12,21.79 USD,261.48 USD
2015-07-03,8,24.10 USD,192.81 USD
2015-07-04,2,11.23 USD,22.45 USD
2015-07-05,9,35.38 USD,318.45 USD
2015-07-06,4,30.75 USD,123.00 USD
2015-07-07,11,16.32 USD,179.49 USD
2015-07-08,7,31.69 USD,221.84 USD
2015-07-09,10,82.07 USD,820.73 USD
2015-07-10,4,59.91 USD,239.62 USD
2015-07-11,3,23.55 USD,70.64 USD
2015-07-12,8,30.35 USD,242.80 USD
2015-07-13,4,32.83 USD,131.32 USD
2015-07-14,3,15.88 USD,47.64 USD
2015-07-15,2,18.90 USD,37.80 USD
2015-07-16,3,32.12 USD,96.36 USD
2015-07-17,3,31.41 USD,94.22 USD
2015-07-18,7,31.06 USD,217.39 USD
2015-07-19,4,246.95 USD,987.81 USD
2015-07-20,9,28.22 USD,253.97 USD
2015-07-21,11,91.78 USD,1009.53 USD
2015-07-22,9,22.83 USD,205.45 USD
2015-07-23,11,27.85 USD,306.34 USD
2015-07-24,2,88.83 USD,177.65 USD
2015-07-25,3,127.86 USD,383.57 USD
2015-07-26,2,14.76 USD,29.52 USD
2015-07-27,4,25.06 USD,100.22 USD
2015-07-28,15,101.37 USD,1520.60 USD
2015-07-29,13,46.54 USD,605.07 USD
2015-07-30,18,29.42 USD,529.60 USD
2015-07-31,0,0.00 USD,0.00 USD
2015-08-01,9,21.52 USD,193.67 USD
2015-08-02,8,29.93 USD,239.43 USD
2015-08-03,21,39.70 USD,833.70 USD
2015-08-04,2,18.92 USD,37.84 USD
2015-08-05,18,38.46 USD,692.34 USD
2015-08-06,32,58.51 USD,1872.42 USD
2015-08-07,1,58.78 USD,58.78 USD
2015-08-08,0,0.00 USD,0.00 USD
2015-08-09,7,25.20 USD,176.38 USD
2015-08-10,18,74.55 USD,1341.87 USD
2015-08-11,10,34.96 USD,349.64 USD
2015-08-12,2,16.04 USD,32.07 USD
2015-08-13,12,68.70 USD,824.40 USD
2015-08-14,0,0.00 USD,0.00 USD
2015-08-15,1,36.87 USD,36.87 USD
2015-08-16,2,24.34 USD,48.68 USD
2015-08-17,31,80.05 USD,2481.70 USD
2015-08-18,8,26.44 USD,211.54 USD
2015-08-19,20,22.56 USD,451.22 USD
2015-08-20,12,24.49 USD,293.85 USD
2015-08-21,0,0.00 USD,0.00 USD
2015-08-22,3,21.99 USD,65.97 USD
2015-08-23,5,26.74 USD,133.69 USD
2015-08-24,15,29.68 USD,445.14 USD
2015-08-25,11,28.51 USD,313.56 USD
2015-08-26,4,30.44 USD,121.75 USD
2015-08-27,14,39.56 USD,553.83 USD
2015-08-28,1,23.58 USD,23.58 USD
2015-08-29,1,23.99 USD,23.99 USD
2015-08-30,6,18.36 USD,110.14 USD
2015-08-31,15,64.46 USD,966.84 USD
2015-09-01,8,17.85 USD,142.80 USD
2015-09-02,19,35.27 USD,670.18 USD
2015-09-03,7,20.82 USD,145.71 USD
2015-09-04,2,5.62 USD,11.24 USD
2015-09-05,2,20.29 USD,40.58 USD
2015-09-06,4,9.05 USD,36.18 USD
2015-09-07,22,53.61 USD,1179.45 USD
2015-09-08,22,35.58 USD,782.82 USD
2015-09-09,8,30.06 USD,240.50 USD
2015-09-10,2,15.12 USD,30.23 USD
2015-09-11,1,4.59 USD,4.59 USD
2015-09-12,2,11.95 USD,23.90 USD
2015-09-13,9,22.02 USD,198.20 USD
