This file was downloaded on February 17 2018 6:21:41 PM UTC-08:00
Keywords,scotch
Date Range,2015-04-15 - 2018-02-14
Buyer Country: ,AU
Category: ,Alcohol & Food
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-04-15,3,62.45 USD,187.34 USD
2015-04-16,3,173.41 USD,520.24 USD
2015-04-17,2,176.39 USD,352.77 USD
2015-04-18,3,79.11 USD,237.34 USD
2015-04-19,4,56.32 USD,225.28 USD
2015-04-20,3,184.07 USD,552.22 USD
2015-04-21,1,305.18 USD,305.18 USD
2015-04-22,5,188.81 USD,944.06 USD
2015-04-23,8,171.12 USD,1368.99 USD
2015-04-24,1,77.64 USD,77.64 USD
2015-04-25,1,312.95 USD,312.95 USD
2015-04-26,1,148.65 USD,148.65 USD
2015-04-27,7,193.81 USD,1356.68 USD
2015-04-28,6,122.57 USD,735.42 USD
2015-04-29,4,121.75 USD,487.01 USD
2015-04-30,1,92.63 USD,92.63 USD
2015-05-01,6,109.50 USD,657.02 USD
2015-05-02,6,80.10 USD,480.61 USD
2015-05-03,1,92.84 USD,92.84 USD
2015-05-04,3,162.44 USD,487.33 USD
2015-05-05,5,256.30 USD,1281.52 USD
2015-05-06,1,142.07 USD,142.07 USD
2015-05-07,5,9541.41 USD,47707.04 USD
2015-05-08,6,127.30 USD,763.82 USD
2015-05-09,1,39.12 USD,39.12 USD
2015-05-10,3,138.03 USD,414.09 USD
2015-05-11,4,85.84 USD,343.36 USD
2015-05-12,3,96.29 USD,288.87 USD
2015-05-13,3,108.74 USD,326.23 USD
2015-05-14,3,77.34 USD,232.01 USD
2015-05-15,2,80.62 USD,161.24 USD
2015-05-16,2,142.95 USD,285.90 USD
2015-05-17,2,80.13 USD,160.26 USD
2015-05-18,6,122.10 USD,732.61 USD
2015-05-19,1,95.30 USD,95.30 USD
2015-05-20,3,163.44 USD,490.33 USD
2015-05-21,2,246.15 USD,492.30 USD
2015-05-22,1,85.86 USD,85.86 USD
2015-05-23,2,109.16 USD,218.32 USD
2015-05-24,0,0.00 USD,0.00 USD
2015-05-25,0,0.00 USD,0.00 USD
2015-05-26,1,195.62 USD,195.62 USD
2015-05-27,3,144.22 USD,432.66 USD
2015-05-28,3,39.79 USD,119.38 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,2,108.69 USD,217.37 USD
2015-05-31,1,60.47 USD,60.47 USD
