This file was downloaded on February 27 2018 5:50:49 AM UTC-08:00
Keywords,Wine
Date Range,2015-02-25 - 2018-02-24
Site: ,ebay.com.au
Listing Format: ,FixedPrice,StoresFixedPrice
Buyer Country: ,AU
Seller Country: ,AU
Category: ,Wine

Date,Items Sold,Average Selling Price,Total Sales
2015-02-25,0,0.00 USD,0.00 USD
2015-02-26,6,54.62 USD,327.69 USD
2015-02-27,5,76.66 USD,383.31 USD
2015-02-28,1,47.61 USD,47.61 USD
2015-03-01,5,65.99 USD,329.96 USD
2015-03-02,5,74.02 USD,370.11 USD
2015-03-03,5,34.35 USD,171.74 USD
2015-03-04,6,58.66 USD,351.98 USD
2015-03-05,9,107.22 USD,964.94 USD
2015-03-06,8,55.68 USD,445.46 USD
2015-03-07,7,63.93 USD,447.48 USD
2015-03-08,7,59.77 USD,418.42 USD
2015-03-09,9,558.93 USD,5030.41 USD
2015-03-10,6,69.69 USD,418.14 USD
2015-03-11,11,101.50 USD,1116.50 USD
2015-03-12,10,53.66 USD,536.56 USD
2015-03-13,5,69.03 USD,345.13 USD
2015-03-14,7,94.10 USD,658.73 USD
2015-03-15,10,63.08 USD,630.80 USD
2015-03-16,11,60.47 USD,665.15 USD
2015-03-17,12,60.23 USD,722.71 USD
2015-03-18,8,84.60 USD,676.80 USD
2015-03-19,10,77.67 USD,776.67 USD
2015-03-20,2,77.48 USD,154.95 USD
2015-03-21,9,89.14 USD,802.25 USD
2015-03-22,4,64.40 USD,257.60 USD
2015-03-23,7,83.03 USD,581.22 USD
2015-03-24,12,44.21 USD,530.48 USD
2015-03-25,6,70.68 USD,424.08 USD
2015-03-26,7,50.04 USD,350.30 USD
2015-03-27,5,42.65 USD,213.24 USD
2015-03-28,4,183.61 USD,734.42 USD
2015-03-29,7,28.70 USD,200.87 USD
2015-03-30,5,68.63 USD,343.16 USD
2015-03-31,10,52.17 USD,521.73 USD
2015-04-01,12,55.14 USD,661.69 USD
2015-04-02,7,43.54 USD,304.81 USD
2015-04-03,14,66.28 USD,927.86 USD
2015-04-04,5,44.26 USD,221.31 USD
2015-04-05,12,63.54 USD,762.45 USD
2015-04-06,7,70.18 USD,491.28 USD
2015-04-07,3,87.92 USD,263.77 USD
2015-04-08,3,73.06 USD,219.18 USD
2015-04-09,10,46.18 USD,461.81 USD
2015-04-10,5,72.74 USD,363.69 USD
2015-04-11,4,42.30 USD,169.19 USD
2015-04-12,13,42.16 USD,548.08 USD
2015-04-13,18,73.75 USD,1327.41 USD
2015-04-14,6,44.32 USD,265.90 USD
2015-04-15,14,78.69 USD,1101.70 USD
2015-04-16,6,51.62 USD,309.69 USD
2015-04-17,12,77.48 USD,929.79 USD
2015-04-18,14,21.03 USD,294.42 USD
2015-04-19,10,55.49 USD,554.85 USD
2015-04-20,12,53.77 USD,645.28 USD
2015-04-21,12,53.91 USD,646.87 USD
2015-04-22,7,55.12 USD,385.85 USD
2015-04-23,15,53.79 USD,806.82 USD
2015-04-24,7,60.22 USD,421.51 USD
2015-04-25,3,107.97 USD,323.90 USD
2015-04-26,208,81.16 USD,16881.01 USD
2015-04-27,6,50.41 USD,302.45 USD
2015-04-28,6,42.41 USD,254.44 USD
2015-04-29,19,47.69 USD,906.13 USD
2015-04-30,9,37.97 USD,341.75 USD
2015-05-01,8,44.45 USD,355.56 USD
2015-05-02,3,38.68 USD,116.04 USD
2015-05-03,7,51.17 USD,358.22 USD
2015-05-04,6,62.38 USD,374.25 USD
2015-05-05,6,80.77 USD,484.63 USD
2015-05-06,7,177.46 USD,1242.23 USD
2015-05-07,12,87.83 USD,1053.91 USD
2015-05-08,60,31.34 USD,1880.68 USD
2015-05-09,6,73.08 USD,438.47 USD
2015-05-10,4,175.82 USD,703.28 USD
2015-05-11,2,331.89 USD,663.77 USD
2015-05-12,4,61.33 USD,245.32 USD
2015-05-13,8,170.88 USD,1367.07 USD
2015-05-14,7,56.65 USD,396.58 USD
2015-05-15,5,81.93 USD,409.67 USD
2015-05-16,2,72.48 USD,144.96 USD
2015-05-17,1,65.19 USD,65.19 USD
2015-05-18,2,71.28 USD,142.55 USD
2015-05-19,4,37.05 USD,148.18 USD
2015-05-20,10,88.27 USD,882.72 USD
2015-05-21,11,47.39 USD,521.27 USD
2015-05-22,10,50.28 USD,502.84 USD
2015-05-23,7,90.10 USD,630.68 USD
2015-05-24,5,62.21 USD,311.07 USD
2015-05-25,7,62.02 USD,434.13 USD
2015-05-26,4,97.80 USD,391.20 USD
2015-05-27,6,48.09 USD,288.52 USD
2015-05-28,7,114.75 USD,803.27 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,2,61.24 USD,122.47 USD
2015-05-31,6,52.43 USD,314.59 USD
2015-06-01,8,153.16 USD,1225.30 USD
2015-06-02,18,54.01 USD,972.16 USD
2015-06-03,3,57.33 USD,171.98 USD
2015-06-04,29,49.68 USD,1440.80 USD
2015-06-05,4,45.42 USD,181.66 USD
2015-06-06,2,472.44 USD,944.88 USD
2015-06-07,3,65.28 USD,195.84 USD
2015-06-08,2,249.75 USD,499.50 USD
2015-06-09,0,0.00 USD,0.00 USD
2015-06-10,9,36.99 USD,332.88 USD
2015-06-11,9,87.95 USD,791.51 USD
2015-06-12,12,60.87 USD,730.46 USD
2015-06-13,2,107.96 USD,215.92 USD
2015-06-14,6,65.91 USD,395.43 USD
2015-06-15,11,43.68 USD,480.44 USD
2015-06-16,7,45.29 USD,317.02 USD
2015-06-17,6,98.07 USD,588.43 USD
2015-06-18,10,105.13 USD,1051.26 USD
2015-06-19,10,58.84 USD,588.36 USD
2015-06-20,6,110.50 USD,662.98 USD
2015-06-21,7,80.25 USD,561.76 USD
2015-06-22,5,55.96 USD,279.80 USD
2015-06-23,3,41.10 USD,123.31 USD
2015-06-24,7,75.09 USD,525.65 USD
2015-06-25,12,85.07 USD,1020.85 USD
2015-06-26,2,59.61 USD,119.21 USD
2015-06-27,2,75.67 USD,151.34 USD
2015-06-28,9,93.56 USD,842.06 USD
2015-06-29,9,220.78 USD,1986.99 USD
2015-06-30,9,39.18 USD,352.62 USD
2015-07-01,14,46.27 USD,647.80 USD
2015-07-02,7,186.39 USD,1304.75 USD
2015-07-03,16,30.65 USD,490.39 USD
2015-07-04,16,69.80 USD,1116.83 USD
2015-07-05,12,54.71 USD,656.55 USD
2015-07-06,10,147.30 USD,1473.02 USD
2015-07-07,5,93.94 USD,469.71 USD
2015-07-08,9,108.27 USD,974.45 USD
2015-07-09,9,66.47 USD,598.26 USD
2015-07-10,22,37.84 USD,832.49 USD
2015-07-11,8,33.85 USD,270.82 USD
2015-07-12,15,60.92 USD,913.82 USD
2015-07-13,12,66.59 USD,799.12 USD
2015-07-14,9,61.03 USD,549.25 USD
2015-07-15,21,43.43 USD,912.10 USD
2015-07-16,11,120.55 USD,1326.05 USD
2015-07-17,7,168.49 USD,1179.45 USD
2015-07-18,56,12.95 USD,725.12 USD
2015-07-19,10,406.89 USD,4068.85 USD
2015-07-20,22,28.46 USD,626.03 USD
2015-07-21,13,37.39 USD,486.03 USD
2015-07-22,12,61.72 USD,740.65 USD
2015-07-23,13,48.07 USD,624.90 USD
2015-07-24,20,37.58 USD,751.66 USD
2015-07-25,8,67.83 USD,542.63 USD
2015-07-26,7,56.18 USD,393.23 USD
2015-07-27,12,64.22 USD,770.66 USD
2015-07-28,7,125.18 USD,876.23 USD
2015-07-29,9,49.44 USD,444.98 USD
2015-07-30,5,145.87 USD,729.35 USD
2015-07-31,11,118.87 USD,1307.54 USD
2015-08-01,5,46.68 USD,233.41 USD
2015-08-02,8,65.60 USD,524.79 USD
2015-08-03,16,79.98 USD,1279.74 USD
2015-08-04,4,67.11 USD,268.44 USD
2015-08-05,8,58.87 USD,470.97 USD
2015-08-06,5,130.72 USD,653.58 USD
2015-08-07,4,39.03 USD,156.13 USD
2015-08-08,7,109.11 USD,763.74 USD
2015-08-09,32,25.95 USD,830.49 USD
2015-08-10,7,66.77 USD,467.40 USD
2015-08-11,10,36.89 USD,368.86 USD
2015-08-12,61,17.02 USD,1038.14 USD
2015-08-13,12,57.53 USD,690.38 USD
2015-08-14,3,84.56 USD,253.69 USD
2015-08-15,7,70.66 USD,494.64 USD
2015-08-16,6,154.57 USD,927.44 USD
2015-08-17,7,74.16 USD,519.13 USD
2015-08-18,7,56.49 USD,395.44 USD
2015-08-19,9,29.56 USD,266.03 USD
2015-08-20,9,93.88 USD,844.95 USD
2015-08-21,7,92.36 USD,646.51 USD
2015-08-22,8,97.89 USD,783.13 USD
2015-08-23,4,50.23 USD,200.93 USD
2015-08-24,8,89.84 USD,718.70 USD
2015-08-25,28,67.37 USD,1886.46 USD
2015-08-26,8,60.09 USD,480.70 USD
2015-08-27,10,71.32 USD,713.24 USD
2015-08-28,22,75.86 USD,1668.87 USD
2015-08-29,16,57.79 USD,924.67 USD
2015-08-30,10,59.73 USD,597.32 USD
2015-08-31,11,41.84 USD,460.29 USD
2015-09-01,7,49.20 USD,344.37 USD
2015-09-02,11,61.77 USD,679.48 USD
2015-09-03,7,37.32 USD,261.22 USD
2015-09-04,5,40.04 USD,200.19 USD
2015-09-05,12,50.67 USD,608.09 USD
2015-09-06,9,49.38 USD,444.42 USD
2015-09-07,7,56.76 USD,397.35 USD
2015-09-08,9,514.28 USD,4628.51 USD
2015-09-09,7,111.61 USD,781.27 USD
2015-09-10,10,56.29 USD,562.89 USD
2015-09-11,2,38.83 USD,77.66 USD
2015-09-12,9,92.70 USD,834.32 USD
2015-09-13,8,70.93 USD,567.41 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,5,91.16 USD,455.81 USD
2015-10-10,4,41.45 USD,165.80 USD
2015-10-11,6,71.39 USD,428.36 USD
2015-10-12,4,69.51 USD,278.03 USD
2015-10-13,5,81.96 USD,409.78 USD
2015-10-14,4,51.81 USD,207.22 USD
2015-10-15,14,59.33 USD,830.60 USD
2015-10-16,6,55.62 USD,333.69 USD
2015-10-17,9,33.72 USD,303.52 USD
2015-10-18,10,62.11 USD,621.10 USD
2015-10-19,17,82.19 USD,1397.18 USD
2015-10-20,21,120.15 USD,2523.17 USD
2015-10-21,25,51.53 USD,1288.16 USD
2015-10-22,15,93.70 USD,1405.45 USD
2015-10-23,10,63.76 USD,637.55 USD
2015-10-24,16,60.11 USD,961.80 USD
2015-10-25,19,58.94 USD,1119.88 USD
2015-10-26,12,108.99 USD,1307.87 USD
2015-10-27,7,133.46 USD,934.23 USD
2015-10-28,12,53.25 USD,639.05 USD
2015-10-29,7,188.54 USD,1319.76 USD
2015-10-30,8,62.74 USD,501.88 USD
2015-10-31,9,207.11 USD,1863.99 USD
2015-11-01,16,44.02 USD,704.31 USD
2015-11-02,11,87.65 USD,964.12 USD
2015-11-03,14,90.74 USD,1270.38 USD
2015-11-04,12,52.27 USD,627.29 USD
2015-11-05,24,44.89 USD,1077.33 USD
2015-11-06,13,58.61 USD,761.90 USD
2015-11-07,6,71.93 USD,431.58 USD
2015-11-08,16,74.55 USD,1192.79 USD
