This file was downloaded on February 25 2018 2:16:36 AM UTC-08:00
Keywords,shoes
Date Range,2015-02-23 - 2018-02-23
Site: ,ebay.com.au
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Buyer Country: ,AU
Seller Country: ,AU
Category: ,Men's Shoes

Date,Items Sold,Average Selling Price,Total Sales
2015-02-23,16,54.05 USD,864.78 USD
2015-02-24,226,69.33 USD,15667.54 USD
2015-02-25,244,58.18 USD,14195.68 USD
2015-02-26,269,65.12 USD,17516.53 USD
2015-02-27,252,59.01 USD,14871.72 USD
2015-02-28,245,61.46 USD,15057.14 USD
2015-03-01,218,60.65 USD,13221.05 USD
2015-03-02,228,65.71 USD,14982.79 USD
2015-03-03,288,64.99 USD,18717.48 USD
2015-03-04,236,66.10 USD,15599.61 USD
2015-03-05,230,64.79 USD,14900.90 USD
2015-03-06,219,64.74 USD,14178.85 USD
2015-03-07,246,59.17 USD,14556.40 USD
2015-03-08,183,60.26 USD,11027.73 USD
2015-03-09,189,66.09 USD,12490.53 USD
2015-03-10,297,60.26 USD,17898.04 USD
2015-03-11,240,59.76 USD,14341.87 USD
2015-03-12,221,62.37 USD,13783.82 USD
2015-03-13,211,62.32 USD,13149.68 USD
2015-03-14,267,61.73 USD,16481.83 USD
2015-03-15,226,61.34 USD,13862.27 USD
2015-03-16,195,69.63 USD,13578.27 USD
2015-03-17,233,64.89 USD,15118.47 USD
2015-03-18,226,66.74 USD,15083.54 USD
2015-03-19,233,70.69 USD,16470.86 USD
2015-03-20,215,62.05 USD,13340.89 USD
2015-03-21,284,68.56 USD,19471.25 USD
2015-03-22,160,60.67 USD,9706.47 USD
2015-03-23,281,62.28 USD,17499.60 USD
2015-03-24,207,59.71 USD,12358.96 USD
2015-03-25,252,60.89 USD,15343.83 USD
2015-03-26,182,61.22 USD,11142.22 USD
2015-03-27,220,64.49 USD,14187.18 USD
2015-03-28,214,63.23 USD,13531.93 USD
2015-03-29,234,65.86 USD,15411.93 USD
2015-03-30,223,64.47 USD,14376.76 USD
2015-03-31,218,57.81 USD,12602.95 USD
2015-04-01,208,67.53 USD,14046.37 USD
2015-04-02,193,60.36 USD,11648.82 USD
2015-04-03,199,62.58 USD,12452.85 USD
2015-04-04,182,65.18 USD,11862.22 USD
2015-04-05,234,58.96 USD,13795.93 USD
2015-04-06,227,61.37 USD,13930.51 USD
2015-04-07,236,67.65 USD,15964.71 USD
2015-04-08,222,63.85 USD,14175.11 USD
2015-04-09,203,63.53 USD,12897.52 USD
2015-04-10,237,62.62 USD,14841.28 USD
2015-04-11,227,61.49 USD,13957.84 USD
2015-04-12,249,67.33 USD,16766.34 USD
2015-04-13,229,67.61 USD,15482.95 USD
2015-04-14,341,56.46 USD,19253.64 USD
2015-04-15,113,58.19 USD,6575.67 USD
2015-04-16,203,62.21 USD,12628.43 USD
2015-04-17,267,66.18 USD,17670.97 USD
2015-04-18,205,63.08 USD,12931.44 USD
2015-04-19,189,65.63 USD,12404.02 USD
2015-04-20,259,62.59 USD,16210.80 USD
2015-04-21,255,67.33 USD,17168.87 USD
2015-04-22,203,64.38 USD,13068.61 USD
2015-04-23,252,66.81 USD,16836.63 USD
2015-04-24,216,63.39 USD,13691.66 USD
2015-04-25,248,65.08 USD,16140.40 USD
2015-04-26,239,69.16 USD,16530.17 USD
2015-04-27,219,66.66 USD,14598.87 USD
2015-04-28,217,69.70 USD,15125.47 USD
2015-04-29,240,68.43 USD,16422.43 USD
2015-04-30,207,69.45 USD,14376.60 USD
2015-05-01,226,64.13 USD,14493.36 USD
2015-05-02,227,63.48 USD,14410.57 USD
2015-05-03,234,67.26 USD,15739.92 USD
2015-05-04,215,65.13 USD,14003.68 USD
2015-05-05,205,65.47 USD,13422.33 USD
2015-05-06,242,60.97 USD,14754.00 USD
2015-05-07,257,71.56 USD,18390.25 USD
2015-05-08,217,69.22 USD,15020.68 USD
2015-05-09,226,68.88 USD,15566.32 USD
2015-05-10,241,66.43 USD,16010.52 USD
2015-05-11,215,62.53 USD,13443.47 USD
2015-05-12,265,59.05 USD,15647.28 USD
2015-05-13,206,57.97 USD,11941.39 USD
2015-05-14,249,64.22 USD,15991.21 USD
2015-05-15,258,63.31 USD,16333.46 USD
2015-05-16,221,66.54 USD,14705.92 USD
2015-05-17,212,65.40 USD,13864.38 USD
2015-05-18,255,64.51 USD,16449.34 USD
2015-05-19,229,64.84 USD,14849.17 USD
2015-05-20,218,61.89 USD,13492.66 USD
2015-05-21,236,68.97 USD,16276.36 USD
2015-05-22,221,62.11 USD,13726.84 USD
2015-05-23,255,60.85 USD,15516.45 USD
2015-05-24,244,61.57 USD,15022.45 USD
2015-05-25,211,62.78 USD,13246.98 USD
2015-05-26,208,61.75 USD,12843.66 USD
2015-05-27,220,64.62 USD,14216.75 USD
2015-05-28,307,42.89 USD,13167.25 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,255,62.74 USD,15999.46 USD
2015-05-31,137,63.88 USD,8752.02 USD
2015-06-01,312,59.63 USD,18606.10 USD
2015-06-02,219,61.01 USD,13360.56 USD
2015-06-03,226,64.82 USD,14648.99 USD
2015-06-04,236,57.19 USD,13495.68 USD
2015-06-05,215,57.89 USD,12445.37 USD
2015-06-06,195,62.67 USD,12220.17 USD
2015-06-07,200,58.80 USD,11760.66 USD
2015-06-08,251,61.63 USD,15468.72 USD
2015-06-09,229,57.10 USD,13075.24 USD
2015-06-10,239,59.31 USD,14174.96 USD
2015-06-11,212,68.44 USD,14508.40 USD
2015-06-12,236,63.62 USD,15013.65 USD
2015-06-13,256,65.53 USD,16775.46 USD
2015-06-14,216,65.12 USD,14066.13 USD
2015-06-15,202,62.92 USD,12710.75 USD
2015-06-16,272,62.78 USD,17075.29 USD
2015-06-17,220,64.53 USD,14196.20 USD
2015-06-18,257,62.78 USD,16135.33 USD
2015-06-19,228,63.09 USD,14384.35 USD
2015-06-20,239,60.25 USD,14398.61 USD
2015-06-21,226,62.24 USD,14065.24 USD
2015-06-22,253,69.58 USD,17603.86 USD
2015-06-23,192,59.68 USD,11459.04 USD
2015-06-24,246,62.39 USD,15347.14 USD
2015-06-25,203,61.66 USD,12517.98 USD
2015-06-26,210,67.70 USD,14216.45 USD
2015-06-27,242,63.95 USD,15475.87 USD
2015-06-28,209,62.19 USD,12997.16 USD
2015-06-29,255,64.11 USD,16347.35 USD
2015-06-30,239,62.82 USD,15014.07 USD
2015-07-01,191,61.69 USD,11782.44 USD
2015-07-02,244,60.83 USD,14843.37 USD
2015-07-03,239,62.78 USD,15004.45 USD
2015-07-04,227,50.15 USD,11382.95 USD
2015-07-05,235,57.18 USD,13438.47 USD
2015-07-06,233,61.62 USD,14357.88 USD
2015-07-07,225,62.08 USD,13968.57 USD
2015-07-08,247,58.99 USD,14571.09 USD
2015-07-09,218,62.78 USD,13686.56 USD
2015-07-10,227,61.34 USD,13924.82 USD
2015-07-11,256,54.01 USD,13826.74 USD
2015-07-12,249,61.59 USD,15335.01 USD
2015-07-13,230,59.86 USD,13767.16 USD
2015-07-14,214,58.75 USD,12573.14 USD
2015-07-15,209,62.19 USD,12998.16 USD
2015-07-16,266,57.23 USD,15222.97 USD
2015-07-17,215,62.45 USD,13426.46 USD
2015-07-18,273,61.56 USD,16805.53 USD
2015-07-19,210,62.60 USD,13145.78 USD
2015-07-20,227,59.76 USD,13564.55 USD
2015-07-21,197,58.85 USD,11594.23 USD
2015-07-22,264,61.52 USD,16241.07 USD
2015-07-23,220,61.93 USD,13624.95 USD
2015-07-24,221,59.66 USD,13183.84 USD
2015-07-25,256,58.75 USD,15038.98 USD
2015-07-26,211,62.31 USD,13147.12 USD
2015-07-27,237,59.50 USD,14101.75 USD
2015-07-28,238,64.93 USD,15454.37 USD
2015-07-29,224,61.17 USD,13703.13 USD
2015-07-30,243,67.32 USD,16358.23 USD
2015-07-31,207,59.43 USD,12301.91 USD
2015-08-01,222,63.38 USD,14070.24 USD
2015-08-02,236,60.22 USD,14211.48 USD
2015-08-03,224,61.08 USD,13682.46 USD
2015-08-04,218,60.03 USD,13086.66 USD
2015-08-05,235,61.72 USD,14503.60 USD
2015-08-06,230,60.63 USD,13945.30 USD
2015-08-07,255,57.64 USD,14698.39 USD
2015-08-08,214,63.61 USD,13611.69 USD
2015-08-09,235,57.01 USD,13396.40 USD
2015-08-10,198,64.44 USD,12759.55 USD
2015-08-11,249,60.83 USD,15146.94 USD
2015-08-12,223,59.34 USD,13233.30 USD
2015-08-13,220,56.64 USD,12460.98 USD
2015-08-14,240,57.93 USD,13904.28 USD
2015-08-15,251,67.10 USD,16842.60 USD
2015-08-16,224,61.37 USD,13747.28 USD
2015-08-17,225,64.25 USD,14456.15 USD
2015-08-18,229,63.48 USD,14536.34 USD
2015-08-19,245,66.08 USD,16190.40 USD
2015-08-20,211,58.33 USD,12308.47 USD
2015-08-21,217,64.68 USD,14036.53 USD
2015-08-22,227,60.85 USD,13813.89 USD
2015-08-23,233,61.58 USD,14348.11 USD
2015-08-24,238,63.81 USD,15185.89 USD
2015-08-25,164,55.68 USD,9131.31 USD
2015-08-26,261,63.02 USD,16449.36 USD
2015-08-27,248,59.48 USD,14752.23 USD
2015-08-28,227,58.07 USD,13182.01 USD
2015-08-29,253,55.34 USD,14000.17 USD
2015-08-30,216,56.37 USD,12175.29 USD
2015-08-31,164,58.87 USD,9655.37 USD
2015-09-01,275,55.25 USD,15192.38 USD
2015-09-02,256,64.33 USD,16468.78 USD
2015-09-03,233,57.19 USD,13326.24 USD
2015-09-04,225,63.80 USD,14355.73 USD
2015-09-05,213,62.18 USD,13244.43 USD
2015-09-06,246,65.05 USD,16002.16 USD
2015-09-07,203,57.77 USD,11726.55 USD
2015-09-08,235,60.20 USD,14146.86 USD
2015-09-09,243,58.15 USD,14130.97 USD
2015-09-10,203,58.06 USD,11785.96 USD
2015-09-11,210,55.47 USD,11649.61 USD
2015-09-12,212,57.76 USD,12244.58 USD
2015-09-13,249,51.65 USD,12859.96 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,217,59.82 USD,12980.87 USD
2015-10-10,258,63.00 USD,16253.00 USD
2015-10-11,203,60.48 USD,12277.11 USD
2015-10-12,228,65.88 USD,15020.55 USD
2015-10-13,237,61.45 USD,14564.76 USD
2015-10-14,229,61.03 USD,13976.92 USD
2015-10-15,209,65.20 USD,13626.95 USD
2015-10-16,201,52.78 USD,10609.27 USD
2015-10-17,268,57.50 USD,15409.11 USD
2015-10-18,227,63.46 USD,14405.15 USD
2015-10-19,236,63.07 USD,14884.80 USD
2015-10-20,231,64.62 USD,14926.78 USD
2015-10-21,217,62.99 USD,13667.85 USD
2015-10-22,226,62.93 USD,14221.66 USD
2015-10-23,245,66.28 USD,16238.19 USD
2015-10-24,264,61.65 USD,16276.23 USD
2015-10-25,223,63.07 USD,14065.33 USD
2015-10-26,194,64.75 USD,12561.90 USD
2015-10-27,192,53.79 USD,10327.08 USD
2015-10-28,286,59.25 USD,16945.96 USD
2015-10-29,201,57.35 USD,11526.81 USD
2015-10-30,228,59.99 USD,13677.69 USD
2015-10-31,249,64.31 USD,16012.96 USD
2015-11-01,259,64.18 USD,16622.77 USD
2015-11-02,160,67.87 USD,10858.58 USD
2015-11-03,248,66.61 USD,16518.58 USD
2015-11-04,263,59.85 USD,15739.58 USD
2015-11-05,218,62.84 USD,13699.17 USD
2015-11-06,252,65.57 USD,16523.83 USD
2015-11-07,231,59.75 USD,13802.16 USD
2015-11-08,286,62.21 USD,17791.50 USD
2015-11-09,195,61.49 USD,11990.65 USD
2015-11-10,239,62.56 USD,14951.18 USD
2015-11-11,217,59.28 USD,12864.03 USD
2015-11-12,222,58.89 USD,13073.65 USD
2015-11-13,272,62.25 USD,16930.93 USD
2015-11-14,89,58.60 USD,5215.66 USD
2015-11-15,249,55.58 USD,13839.44 USD
2015-11-16,332,62.26 USD,20669.98 USD
2015-11-17,230,52.76 USD,12134.91 USD
2015-11-18,228,55.39 USD,12628.71 USD
2015-11-19,196,55.92 USD,10959.47 USD
2015-11-20,252,55.55 USD,13998.00 USD
2015-11-21,266,57.77 USD,15367.69 USD
2015-11-22,232,61.27 USD,14215.39 USD
2015-11-23,217,55.10 USD,11956.64 USD
2015-11-24,234,61.14 USD,14306.70 USD
