This file was downloaded on February 22 2018 11:13:49 PM UTC-08:00
Keywords,socks
Date Range,2015-02-21 - 2018-02-20
Buyer Country: ,AU
Category: ,Socks
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-02-22,206,16.36 USD,3371.18 USD
2015-02-23,170,16.28 USD,2767.29 USD
2015-02-24,167,16.64 USD,2779.47 USD
2015-02-25,189,15.72 USD,2971.34 USD
2015-02-26,142,16.25 USD,2307.10 USD
2015-02-27,152,14.62 USD,2222.50 USD
2015-02-28,179,14.28 USD,2555.40 USD
2015-03-01,172,14.77 USD,2539.91 USD
2015-03-02,180,15.35 USD,2762.65 USD
2015-03-03,189,15.71 USD,2969.88 USD
2015-03-04,198,15.93 USD,3153.17 USD
2015-03-05,123,16.07 USD,1977.10 USD
2015-03-06,161,16.94 USD,2727.78 USD
2015-03-07,194,13.91 USD,2699.15 USD
2015-03-08,164,15.10 USD,2476.24 USD
2015-03-09,186,16.43 USD,3056.82 USD
2015-03-10,172,15.18 USD,2610.67 USD
2015-03-11,170,17.29 USD,2939.83 USD
2015-03-12,147,15.52 USD,2281.95 USD
2015-03-13,152,15.91 USD,2419.01 USD
2015-03-14,135,16.36 USD,2208.87 USD
2015-03-15,147,17.86 USD,2625.64 USD
2015-03-16,194,16.09 USD,3120.69 USD
2015-03-17,132,17.15 USD,2263.85 USD
2015-03-18,175,15.95 USD,2790.92 USD
2015-03-19,157,15.20 USD,2387.05 USD
2015-03-20,143,16.98 USD,2428.14 USD
2015-03-21,192,16.57 USD,3181.21 USD
2015-03-22,192,15.54 USD,2982.91 USD
2015-03-23,191,16.07 USD,3069.31 USD
2015-03-24,229,16.34 USD,3742.37 USD
2015-03-25,219,16.36 USD,3582.66 USD
2015-03-26,162,15.54 USD,2517.46 USD
2015-03-27,129,15.34 USD,1978.38 USD
2015-03-28,180,15.44 USD,2778.39 USD
2015-03-29,214,14.74 USD,3154.02 USD
2015-03-30,238,13.28 USD,3161.01 USD
2015-03-31,159,16.11 USD,2562.09 USD
2015-04-01,162,16.46 USD,2667.16 USD
2015-04-02,171,15.50 USD,2650.86 USD
2015-04-03,160,14.23 USD,2277.42 USD
2015-04-04,108,17.09 USD,1845.47 USD
2015-04-05,152,15.97 USD,2427.44 USD
2015-04-06,168,16.26 USD,2731.20 USD
2015-04-07,178,17.49 USD,3112.78 USD
2015-04-08,205,14.58 USD,2989.15 USD
2015-04-09,220,16.41 USD,3610.61 USD
2015-04-10,152,15.61 USD,2373.35 USD
2015-04-11,150,17.30 USD,2595.18 USD
2015-04-12,171,16.93 USD,2895.59 USD
2015-04-13,223,16.14 USD,3599.38 USD
2015-04-14,215,15.52 USD,3336.83 USD
2015-04-15,196,16.68 USD,3269.26 USD
2015-04-16,180,18.34 USD,3301.75 USD
2015-04-17,173,16.77 USD,2900.45 USD
2015-04-18,213,16.94 USD,3607.65 USD
2015-04-19,252,15.25 USD,3842.06 USD
2015-04-20,237,17.30 USD,4099.12 USD
2015-04-21,234,17.29 USD,4045.87 USD
2015-04-22,229,16.50 USD,3777.51 USD
2015-04-23,209,14.64 USD,3059.51 USD
2015-04-24,174,17.09 USD,2973.24 USD
2015-04-25,227,15.58 USD,3537.60 USD
2015-04-26,250,16.80 USD,4199.22 USD
2015-04-27,236,17.55 USD,4141.09 USD
2015-04-28,246,16.79 USD,4130.15 USD
2015-04-29,244,16.87 USD,4115.75 USD
2015-04-30,236,17.38 USD,4101.14 USD
2015-05-01,196,16.43 USD,3219.51 USD
2015-05-02,185,15.93 USD,2946.22 USD
2015-05-03,187,15.82 USD,2958.64 USD
2015-05-04,318,15.93 USD,5064.16 USD
2015-05-05,248,16.35 USD,4055.60 USD
2015-05-06,212,16.57 USD,3513.68 USD
2015-05-07,191,18.06 USD,3449.77 USD
2015-05-08,181,16.35 USD,2958.51 USD
2015-05-09,194,16.87 USD,3272.76 USD
2015-05-10,221,18.27 USD,4036.60 USD
2015-05-11,248,17.17 USD,4257.12 USD
2015-05-12,241,17.63 USD,4249.80 USD
2015-05-13,269,18.37 USD,4940.91 USD
2015-05-14,281,17.49 USD,4915.84 USD
2015-05-15,174,20.04 USD,3486.81 USD
2015-05-16,282,16.62 USD,4686.26 USD
2015-05-17,239,18.17 USD,4343.07 USD
2015-05-18,255,18.77 USD,4785.23 USD
2015-05-19,244,16.96 USD,4138.80 USD
2015-05-20,271,16.39 USD,4441.52 USD
2015-05-21,238,16.66 USD,3965.85 USD
2015-05-22,234,16.57 USD,3877.53 USD
2015-05-23,263,15.68 USD,4124.59 USD
2015-05-24,235,16.36 USD,3845.42 USD
2015-05-25,255,15.68 USD,3998.58 USD
2015-05-26,234,17.05 USD,3989.70 USD
2015-05-27,244,17.69 USD,4317.51 USD
2015-05-28,273,14.10 USD,3848.21 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,257,16.18 USD,4157.09 USD
2015-05-31,247,15.07 USD,3721.16 USD
2015-06-01,290,16.33 USD,4736.32 USD
2015-06-02,261,14.98 USD,3910.02 USD
2015-06-03,320,16.43 USD,5257.49 USD
2015-06-04,224,18.17 USD,4069.66 USD
2015-06-05,202,18.96 USD,3830.53 USD
2015-06-06,258,16.62 USD,4287.73 USD
2015-06-07,234,17.33 USD,4055.76 USD
2015-06-08,224,17.28 USD,3871.01 USD
2015-06-09,221,17.89 USD,3953.43 USD
2015-06-10,244,17.47 USD,4262.11 USD
2015-06-11,244,18.46 USD,4505.22 USD
2015-06-12,225,15.73 USD,3539.41 USD
2015-06-13,243,15.25 USD,3705.44 USD
2015-06-14,230,18.20 USD,4185.34 USD
2015-06-15,267,17.98 USD,4799.68 USD
2015-06-16,257,16.68 USD,4285.96 USD
2015-06-17,271,17.07 USD,4627.10 USD
2015-06-18,251,16.57 USD,4158.30 USD
2015-06-19,239,17.25 USD,4122.88 USD
2015-06-20,258,16.48 USD,4252.50 USD
2015-06-21,265,17.02 USD,4510.63 USD
2015-06-22,250,16.16 USD,4040.89 USD
2015-06-23,247,17.14 USD,4232.44 USD
2015-06-24,245,17.86 USD,4375.41 USD
2015-06-25,250,15.56 USD,3889.80 USD
2015-06-26,220,17.71 USD,3895.90 USD
2015-06-27,262,14.64 USD,3835.52 USD
2015-06-28,246,13.49 USD,3319.17 USD
2015-06-29,248,15.96 USD,3959.03 USD
2015-06-30,314,15.45 USD,4852.13 USD
2015-07-01,234,16.43 USD,3844.45 USD
2015-07-02,233,15.32 USD,3569.02 USD
2015-07-03,213,16.15 USD,3440.50 USD
2015-07-04,247,14.58 USD,3601.54 USD
2015-07-05,277,15.43 USD,4273.16 USD
2015-07-06,276,16.36 USD,4515.32 USD
2015-07-07,281,15.78 USD,4432.98 USD
2015-07-08,305,14.24 USD,4341.71 USD
2015-07-09,269,16.41 USD,4415.55 USD
2015-07-10,232,16.66 USD,3865.60 USD
2015-07-11,277,16.99 USD,4706.38 USD
2015-07-12,229,16.03 USD,3671.49 USD
2015-07-13,279,15.28 USD,4264.11 USD
2015-07-14,273,16.26 USD,4440.13 USD
2015-07-15,297,15.11 USD,4486.74 USD
2015-07-16,249,15.69 USD,3905.73 USD
2015-07-17,266,13.15 USD,3497.25 USD
2015-07-18,271,17.12 USD,4639.35 USD
2015-07-19,269,15.06 USD,4050.75 USD
2015-07-20,236,15.44 USD,3644.10 USD
2015-07-21,264,15.99 USD,4222.29 USD
2015-07-22,299,14.98 USD,4480.11 USD
2015-07-23,221,17.22 USD,3806.41 USD
2015-07-24,216,14.81 USD,3198.63 USD
2015-07-25,276,16.33 USD,4507.32 USD
2015-07-26,242,15.33 USD,3709.26 USD
2015-07-27,323,13.87 USD,4480.48 USD
2015-07-28,243,16.11 USD,3913.54 USD
2015-07-29,268,16.11 USD,4316.66 USD
2015-07-30,250,15.36 USD,3840.51 USD
2015-07-31,217,14.56 USD,3160.08 USD
2015-08-01,232,16.50 USD,3828.90 USD
2015-08-02,261,16.45 USD,4293.52 USD
2015-08-03,278,15.93 USD,4429.59 USD
2015-08-04,271,16.18 USD,4384.01 USD
2015-08-05,240,15.27 USD,3665.15 USD
2015-08-06,297,15.17 USD,4505.12 USD
2015-08-07,235,15.09 USD,3545.91 USD
2015-08-08,260,14.03 USD,3648.31 USD
2015-08-09,267,14.47 USD,3862.70 USD
2015-08-10,240,15.21 USD,3651.43 USD
2015-08-11,303,15.11 USD,4578.07 USD
2015-08-12,280,15.30 USD,4283.71 USD
2015-08-13,253,14.72 USD,3725.25 USD
2015-08-14,243,14.31 USD,3477.91 USD
2015-08-15,268,15.66 USD,4195.69 USD
2015-08-16,277,14.40 USD,3987.95 USD
2015-08-17,243,14.26 USD,3464.43 USD
2015-08-18,277,13.73 USD,3803.36 USD
2015-08-19,298,13.45 USD,4008.90 USD
2015-08-20,345,13.72 USD,4734.87 USD
2015-08-21,213,14.03 USD,2989.31 USD
2015-08-22,210,16.26 USD,3414.41 USD
2015-08-23,279,14.11 USD,3936.97 USD
2015-08-24,263,14.31 USD,3763.17 USD
2015-08-25,244,14.73 USD,3593.86 USD
2015-08-26,282,14.57 USD,4108.23 USD
2015-08-27,286,13.19 USD,3772.72 USD
2015-08-28,230,12.86 USD,2956.76 USD
2015-08-29,314,13.29 USD,4172.56 USD
2015-08-30,237,13.67 USD,3239.73 USD
2015-08-31,243,14.05 USD,3414.29 USD
2015-09-01,252,15.19 USD,3828.94 USD
2015-09-02,249,15.54 USD,3870.05 USD
2015-09-03,227,15.02 USD,3410.21 USD
2015-09-04,237,14.06 USD,3333.06 USD
2015-09-05,173,14.23 USD,2461.67 USD
2015-09-06,240,14.06 USD,3373.31 USD
