This file was downloaded on February 26 2018 3:26:19 AM UTC-08:00
Keywords,underwear
Date Range,2015-02-23 - 2018-02-23
Buyer Country: ,AU
Category: ,Underwear
Product Condition: ,New
Listing Format: ,StoresFixedPrice,FixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-02-23,0,0.00 USD,0.00 USD
2015-02-24,62,20.21 USD,1252.99 USD
2015-02-25,135,22.40 USD,3024.27 USD
2015-02-26,103,21.25 USD,2189.17 USD
2015-02-27,150,18.79 USD,2818.59 USD
2015-02-28,152,18.62 USD,2830.91 USD
2015-03-01,144,22.55 USD,3246.76 USD
2015-03-02,151,20.18 USD,3047.51 USD
2015-03-03,161,21.15 USD,3404.91 USD
2015-03-04,119,20.34 USD,2420.15 USD
2015-03-05,143,19.22 USD,2748.30 USD
2015-03-06,112,19.22 USD,2152.95 USD
2015-03-07,114,20.31 USD,2314.78 USD
2015-03-08,202,17.94 USD,3623.08 USD
2015-03-09,114,19.10 USD,2177.36 USD
2015-03-10,142,19.23 USD,2730.36 USD
2015-03-11,156,19.64 USD,3063.61 USD
2015-03-12,107,20.84 USD,2229.36 USD
2015-03-13,112,21.64 USD,2424.14 USD
2015-03-14,105,18.95 USD,1989.58 USD
2015-03-15,133,22.72 USD,3021.55 USD
2015-03-16,129,18.60 USD,2398.92 USD
2015-03-17,138,19.29 USD,2662.27 USD
2015-03-18,170,19.15 USD,3255.46 USD
2015-03-19,188,17.87 USD,3358.88 USD
2015-03-20,141,17.01 USD,2398.75 USD
2015-03-21,174,16.98 USD,2955.24 USD
2015-03-22,185,19.53 USD,3612.46 USD
2015-03-23,166,19.90 USD,3303.92 USD
2015-03-24,163,18.38 USD,2995.76 USD
2015-03-25,143,18.33 USD,2620.81 USD
2015-03-26,146,17.51 USD,2556.02 USD
2015-03-27,159,15.62 USD,2483.79 USD
2015-03-28,111,19.22 USD,2133.04 USD
2015-03-29,130,21.15 USD,2750.10 USD
2015-03-30,137,18.12 USD,2481.95 USD
2015-03-31,135,17.34 USD,2340.27 USD
2015-04-01,113,17.12 USD,1934.44 USD
2015-04-02,146,16.67 USD,2433.33 USD
2015-04-03,108,21.27 USD,2296.95 USD
2015-04-04,119,15.50 USD,1844.62 USD
2015-04-05,158,18.61 USD,2939.84 USD
2015-04-06,164,18.45 USD,3025.10 USD
2015-04-07,175,13.74 USD,2404.92 USD
2015-04-08,185,19.12 USD,3537.23 USD
2015-04-09,131,17.37 USD,2275.65 USD
2015-04-10,130,18.81 USD,2445.55 USD
2015-04-11,162,16.48 USD,2669.56 USD
2015-04-12,167,18.71 USD,3124.00 USD
2015-04-13,141,17.92 USD,2526.98 USD
2015-04-14,210,16.54 USD,3472.64 USD
2015-04-15,109,19.96 USD,2175.88 USD
2015-04-16,169,17.82 USD,3012.23 USD
2015-04-17,142,17.37 USD,2466.31 USD
2015-04-18,149,18.44 USD,2747.53 USD
2015-04-19,184,20.48 USD,3767.55 USD
2015-04-20,223,15.57 USD,3471.48 USD
2015-04-21,196,17.36 USD,3402.28 USD
2015-04-22,186,13.93 USD,2591.53 USD
2015-04-23,175,17.04 USD,2982.18 USD
2015-04-24,146,16.29 USD,2377.91 USD
2015-04-25,166,16.52 USD,2742.06 USD
2015-04-26,187,17.04 USD,3186.70 USD
2015-04-27,167,17.57 USD,2934.66 USD
2015-04-28,215,15.40 USD,3311.92 USD
2015-04-29,175,16.50 USD,2887.46 USD
2015-04-30,156,19.50 USD,3041.79 USD
2015-05-01,157,17.29 USD,2715.00 USD
2015-05-02,174,16.44 USD,2859.92 USD
2015-05-03,151,17.17 USD,2592.06 USD
2015-05-04,146,14.26 USD,2082.46 USD
2015-05-05,153,18.70 USD,2860.90 USD
2015-05-06,191,17.61 USD,3362.69 USD
2015-05-07,148,18.73 USD,2772.55 USD
2015-05-08,154,15.66 USD,2411.12 USD
2015-05-09,143,16.57 USD,2369.73 USD
2015-05-10,173,15.84 USD,2741.07 USD
2015-05-11,167,17.51 USD,2924.98 USD
2015-05-12,184,16.54 USD,3043.66 USD
2015-05-13,219,15.68 USD,3434.06 USD
2015-05-14,201,18.27 USD,3672.20 USD
2015-05-15,177,18.91 USD,3347.49 USD
2015-05-16,180,17.45 USD,3140.99 USD
2015-05-17,200,16.28 USD,3255.07 USD
2015-05-18,163,20.38 USD,3322.55 USD
2015-05-19,162,16.98 USD,2750.92 USD
2015-05-20,188,15.68 USD,2946.92 USD
2015-05-21,187,15.53 USD,2903.76 USD
2015-05-22,182,16.08 USD,2927.20 USD
2015-05-23,178,17.35 USD,3088.55 USD
2015-05-24,200,15.80 USD,3160.19 USD
2015-05-25,181,16.74 USD,3030.29 USD
2015-05-26,140,18.79 USD,2630.39 USD
2015-05-27,159,15.50 USD,2463.93 USD
2015-05-28,149,15.03 USD,2240.04 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,195,16.03 USD,3125.40 USD
2015-05-31,236,14.41 USD,3399.89 USD
2015-06-01,285,14.91 USD,4249.82 USD
2015-06-02,239,13.12 USD,3135.01 USD
2015-06-03,210,17.70 USD,3717.07 USD
2015-06-04,233,14.73 USD,3431.06 USD
2015-06-05,177,17.33 USD,3067.78 USD
2015-06-06,138,15.18 USD,2094.91 USD
2015-06-07,183,15.28 USD,2795.78 USD
2015-06-08,193,16.25 USD,3136.09 USD
2015-06-09,150,15.11 USD,2266.96 USD
2015-06-10,172,17.73 USD,3049.29 USD
2015-06-11,212,15.23 USD,3228.27 USD
2015-06-12,111,18.98 USD,2107.16 USD
2015-06-13,166,16.31 USD,2707.23 USD
2015-06-14,174,18.30 USD,3184.57 USD
2015-06-15,171,17.27 USD,2952.50 USD
2015-06-16,173,16.08 USD,2781.44 USD
2015-06-17,195,16.96 USD,3307.50 USD
2015-06-18,200,15.91 USD,3182.57 USD
2015-06-19,189,15.25 USD,2881.89 USD
2015-06-20,160,16.57 USD,2651.94 USD
2015-06-21,220,14.21 USD,3125.74 USD
2015-06-22,188,15.66 USD,2943.42 USD
2015-06-23,167,14.46 USD,2414.27 USD
2015-06-24,180,14.75 USD,2655.76 USD
2015-06-25,143,15.29 USD,2186.69 USD
2015-06-26,121,17.29 USD,2092.17 USD
2015-06-27,136,16.78 USD,2282.60 USD
2015-06-28,125,15.85 USD,1981.44 USD
2015-06-29,143,15.56 USD,2225.04 USD
2015-06-30,152,16.88 USD,2565.11 USD
2015-07-01,163,15.54 USD,2533.45 USD
2015-07-02,151,17.01 USD,2569.26 USD
2015-07-03,155,14.20 USD,2201.24 USD
2015-07-04,143,14.87 USD,2125.89 USD
2015-07-05,192,16.34 USD,3138.05 USD
2015-07-06,164,14.52 USD,2381.72 USD
2015-07-07,203,14.49 USD,2941.06 USD
2015-07-08,219,12.86 USD,2817.20 USD
2015-07-09,184,16.15 USD,2970.84 USD
2015-07-10,158,15.59 USD,2462.70 USD
2015-07-11,171,15.96 USD,2730.00 USD
2015-07-12,211,13.29 USD,2805.04 USD
2015-07-13,185,14.11 USD,2609.94 USD
2015-07-14,223,13.62 USD,3037.68 USD
2015-07-15,205,14.16 USD,2902.62 USD
2015-07-16,185,15.45 USD,2857.41 USD
2015-07-17,204,13.57 USD,2768.00 USD
2015-07-18,185,14.69 USD,2718.55 USD
2015-07-19,223,13.51 USD,3012.78 USD
2015-07-20,170,16.70 USD,2839.76 USD
2015-07-21,212,15.67 USD,3322.40 USD
2015-07-22,149,16.39 USD,2441.85 USD
2015-07-23,165,15.48 USD,2553.66 USD
2015-07-24,132,17.47 USD,2306.58 USD
2015-07-25,138,14.30 USD,1973.63 USD
2015-07-26,170,15.94 USD,2710.18 USD
2015-07-27,198,14.35 USD,2841.55 USD
2015-07-28,173,15.34 USD,2653.03 USD
2015-07-29,164,16.15 USD,2648.87 USD
2015-07-30,133,15.56 USD,2069.68 USD
2015-07-31,110,16.81 USD,1849.57 USD
2015-08-01,132,18.15 USD,2395.28 USD
2015-08-02,149,15.78 USD,2350.63 USD
2015-08-03,186,14.84 USD,2760.46 USD
2015-08-04,191,15.78 USD,3013.70 USD
2015-08-05,189,12.85 USD,2427.80 USD
2015-08-06,141,14.44 USD,2036.35 USD
2015-08-07,153,14.22 USD,2175.29 USD
2015-08-08,157,15.27 USD,2398.09 USD
2015-08-09,189,14.26 USD,2695.50 USD
2015-08-10,150,13.47 USD,2020.79 USD
2015-08-11,150,16.25 USD,2437.13 USD
2015-08-12,183,14.48 USD,2649.23 USD
2015-08-13,138,15.94 USD,2199.83 USD
2015-08-14,146,15.12 USD,2207.54 USD
2015-08-15,186,15.48 USD,2879.14 USD
2015-08-16,188,14.75 USD,2773.45 USD
