This file was downloaded on March 19 2018 8:38:30 PM UTC-07:00
Keywords,cocoa
Date Range,2015-03-19 - 2018-03-12
Buyer Country: ,AU
Category: ,Alcohol & Food
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-19,1,17.60 USD,17.60 USD
2015-03-20,3,14.91 USD,44.73 USD
2015-03-21,0,0.00 USD,0.00 USD
2015-03-22,4,38.03 USD,152.10 USD
2015-03-23,1,22.16 USD,22.16 USD
2015-03-24,0,0.00 USD,0.00 USD
2015-03-25,3,1.96 USD,5.88 USD
2015-03-26,2,15.11 USD,30.21 USD
2015-03-27,4,13.60 USD,54.40 USD
2015-03-28,12,1.93 USD,23.16 USD
2015-03-29,3,24.80 USD,74.40 USD
2015-03-30,5,34.02 USD,170.11 USD
2015-03-31,0,0.00 USD,0.00 USD
2015-04-01,0,0.00 USD,0.00 USD
2015-04-02,0,0.00 USD,0.00 USD
2015-04-03,2,28.68 USD,57.36 USD
2015-04-04,0,0.00 USD,0.00 USD
2015-04-05,2,10.65 USD,21.29 USD
2015-04-06,13,4.97 USD,64.66 USD
2015-04-07,2,14.87 USD,29.73 USD
2015-04-08,1,42.36 USD,42.36 USD
2015-04-09,7,26.60 USD,186.23 USD
2015-04-10,0,0.00 USD,0.00 USD
2015-04-11,0,0.00 USD,0.00 USD
2015-04-12,14,8.19 USD,114.60 USD
2015-04-13,3,19.68 USD,59.04 USD
2015-04-14,6,12.92 USD,77.49 USD
2015-04-15,4,15.68 USD,62.70 USD
2015-04-16,5,11.09 USD,55.43 USD
2015-04-17,6,29.41 USD,176.46 USD
2015-04-18,1,19.41 USD,19.41 USD
2015-04-19,5,25.80 USD,129.01 USD
2015-04-20,4,19.41 USD,77.64 USD
2015-04-21,2,24.75 USD,49.49 USD
2015-04-22,2,15.48 USD,30.95 USD
2015-04-23,0,0.00 USD,0.00 USD
2015-04-24,1,12.35 USD,12.35 USD
2015-04-25,3,16.94 USD,50.83 USD
2015-04-26,4,6.07 USD,24.26 USD
2015-04-27,9,14.94 USD,134.47 USD
2015-04-28,0,0.00 USD,0.00 USD
2015-04-29,2,13.23 USD,26.46 USD
2015-04-30,7,29.01 USD,203.07 USD
2015-05-01,5,14.27 USD,71.36 USD
2015-05-02,1,15.59 USD,15.59 USD
2015-05-03,3,24.80 USD,74.39 USD
2015-05-04,7,27.16 USD,190.10 USD
2015-05-05,1,11.76 USD,11.76 USD
2015-05-06,3,20.63 USD,61.89 USD
2015-05-07,4,16.07 USD,64.27 USD
2015-05-08,0,0.00 USD,0.00 USD
2015-05-09,2,17.38 USD,34.76 USD
2015-05-10,2,19.75 USD,39.50 USD
2015-05-11,5,15.99 USD,79.97 USD
2015-05-12,1,19.78 USD,19.78 USD
2015-05-13,2,43.87 USD,87.74 USD
2015-05-14,2,12.55 USD,25.10 USD
2015-05-15,0,0.00 USD,0.00 USD
2015-05-16,1,20.13 USD,20.13 USD
2015-05-17,1,19.33 USD,19.33 USD
2015-05-18,2,30.83 USD,61.65 USD
2015-05-19,4,16.91 USD,67.63 USD
2015-05-20,0,0.00 USD,0.00 USD
2015-05-21,1,18.90 USD,18.90 USD
2015-05-22,0,0.00 USD,0.00 USD
2015-05-23,2,47.34 USD,94.68 USD
2015-05-24,1,14.08 USD,14.08 USD
2015-05-25,0,0.00 USD,0.00 USD
2015-05-26,1,9.38 USD,9.38 USD
2015-05-27,4,10.25 USD,40.99 USD
2015-05-28,1,12.26 USD,12.26 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,3,10.25 USD,30.75 USD
2015-05-31,4,33.02 USD,132.06 USD
2015-06-01,3,23.01 USD,69.02 USD
2015-06-02,9,8.33 USD,74.95 USD
2015-06-03,5,7.62 USD,38.09 USD
2015-06-04,1,9.75 USD,9.75 USD
2015-06-05,2,19.18 USD,38.36 USD
2015-06-06,3,19.55 USD,58.65 USD
2015-06-07,5,23.75 USD,118.74 USD
2015-06-08,1,19.06 USD,19.06 USD
2015-06-09,2,17.17 USD,34.33 USD
2015-06-10,0,0.00 USD,0.00 USD
2015-06-11,2,21.92 USD,43.83 USD
2015-06-12,1,12.27 USD,12.27 USD
2015-06-13,2,21.88 USD,43.76 USD
2015-06-14,4,18.76 USD,75.04 USD
2015-06-15,3,19.74 USD,59.21 USD
2015-06-16,2,14.33 USD,28.66 USD
2015-06-17,0,0.00 USD,0.00 USD
2015-06-18,2,16.14 USD,32.27 USD
2015-06-19,6,7.87 USD,47.22 USD
2015-06-20,10,9.25 USD,92.48 USD
2015-06-21,6,18.02 USD,108.14 USD
2015-06-22,2,19.38 USD,38.76 USD
2015-06-23,6,29.27 USD,175.61 USD
2015-06-24,4,22.21 USD,88.85 USD
2015-06-25,11,6.36 USD,70.01 USD
2015-06-26,1,61.15 USD,61.15 USD
2015-06-27,4,29.81 USD,119.24 USD
2015-06-28,1,25.22 USD,25.22 USD
2015-06-29,3,30.44 USD,91.31 USD
2015-06-30,2,13.58 USD,27.16 USD
2015-07-01,2,18.83 USD,37.66 USD
2015-07-02,1,19.16 USD,19.16 USD
2015-07-03,4,19.73 USD,78.90 USD
2015-07-04,1,24.81 USD,24.81 USD
2015-07-05,2,42.47 USD,84.94 USD
2015-07-06,4,16.43 USD,65.73 USD
2015-07-07,2,16.90 USD,33.80 USD
2015-07-08,4,29.68 USD,118.73 USD
2015-07-09,1,10.41 USD,10.41 USD
2015-07-10,0,0.00 USD,0.00 USD
2015-07-11,5,23.72 USD,118.62 USD
2015-07-12,3,21.50 USD,64.50 USD
2015-07-13,2,11.68 USD,23.36 USD
2015-07-14,2,25.10 USD,50.20 USD
2015-07-15,9,17.66 USD,158.93 USD
2015-07-16,1,18.49 USD,18.49 USD
2015-07-17,2,42.28 USD,84.56 USD
2015-07-18,2,16.56 USD,33.11 USD
2015-07-19,3,27.58 USD,82.73 USD
2015-07-20,2,18.45 USD,36.90 USD
2015-07-21,2,43.88 USD,87.76 USD
2015-07-22,3,19.83 USD,59.50 USD
2015-07-23,2,18.72 USD,37.44 USD
2015-07-24,2,15.85 USD,31.69 USD
2015-07-25,2,28.93 USD,57.85 USD
2015-07-26,4,15.27 USD,61.07 USD
2015-07-27,6,30.32 USD,181.93 USD
2015-07-28,1,18.24 USD,18.24 USD
2015-07-29,3,17.39 USD,52.17 USD
2015-07-30,2,27.22 USD,54.44 USD
2015-07-31,4,19.47 USD,77.86 USD
2015-08-01,0,0.00 USD,0.00 USD
2015-08-02,6,24.79 USD,148.75 USD
2015-08-03,4,20.17 USD,80.68 USD
2015-08-04,8,16.31 USD,130.50 USD
2015-08-05,5,31.38 USD,156.90 USD
2015-08-06,0,0.00 USD,0.00 USD
2015-08-07,1,18.36 USD,18.36 USD
2015-08-08,2,39.61 USD,79.22 USD
2015-08-09,6,20.03 USD,120.16 USD
2015-08-10,6,24.76 USD,148.57 USD
2015-08-11,4,28.44 USD,113.77 USD
2015-08-12,7,18.24 USD,127.65 USD
2015-08-13,1,21.37 USD,21.37 USD
2015-08-14,1,27.58 USD,27.58 USD
2015-08-15,4,15.76 USD,63.02 USD
2015-08-16,2,14.73 USD,29.45 USD
2015-08-17,5,15.26 USD,76.32 USD
2015-08-18,0,0.00 USD,0.00 USD
2015-08-19,2,17.45 USD,34.90 USD
2015-08-20,3,20.73 USD,62.19 USD
2015-08-21,3,24.46 USD,73.38 USD
2015-08-22,3,18.70 USD,56.10 USD
2015-08-23,4,15.03 USD,60.12 USD
2015-08-24,3,21.51 USD,64.53 USD
2015-08-25,4,13.96 USD,55.85 USD
2015-08-26,2,15.06 USD,30.12 USD
2015-08-27,0,0.00 USD,0.00 USD
2015-08-28,2,19.28 USD,38.56 USD
2015-08-29,1,14.30 USD,14.30 USD
2015-08-30,2,11.25 USD,22.50 USD
2015-08-31,10,24.89 USD,248.88 USD
2015-09-01,4,15.18 USD,60.70 USD
2015-09-02,6,11.12 USD,66.69 USD
2015-09-03,1,31.52 USD,31.52 USD
2015-09-04,4,16.72 USD,66.88 USD
