This file was downloaded on February 24 2018 8:45:17 AM UTC-08:00
Keywords,coffee
Date Range,2015-02-22 - 2018-02-22
Site: ,ebay.com.au
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Buyer Country: ,AU
Seller Country: ,AU
Category: ,Coffee

Date,Items Sold,Average Selling Price,Total Sales
2015-02-22,10,44.61 USD,446.11 USD
2015-02-23,47,33.83 USD,1589.86 USD
2015-02-24,82,33.49 USD,2745.80 USD
2015-02-25,83,32.51 USD,2698.74 USD
2015-02-26,57,29.45 USD,1678.83 USD
2015-02-27,53,30.41 USD,1611.63 USD
2015-02-28,62,27.56 USD,1708.57 USD
2015-03-01,97,35.10 USD,3404.42 USD
2015-03-02,74,27.62 USD,2043.72 USD
2015-03-03,56,32.63 USD,1827.29 USD
2015-03-04,70,34.74 USD,2431.54 USD
2015-03-05,57,32.65 USD,1860.90 USD
2015-03-06,56,31.15 USD,1744.29 USD
2015-03-07,59,30.04 USD,1772.51 USD
2015-03-08,59,33.20 USD,1958.87 USD
2015-03-09,69,31.26 USD,2157.00 USD
2015-03-10,59,33.93 USD,2001.76 USD
2015-03-11,71,31.44 USD,2232.55 USD
2015-03-12,43,30.32 USD,1303.83 USD
2015-03-13,49,31.42 USD,1539.78 USD
2015-03-14,65,28.32 USD,1840.58 USD
2015-03-15,65,34.06 USD,2214.08 USD
2015-03-16,48,33.90 USD,1627.11 USD
2015-03-17,38,29.37 USD,1116.20 USD
2015-03-18,78,30.62 USD,2388.00 USD
2015-03-19,70,29.53 USD,2067.13 USD
2015-03-20,51,29.68 USD,1513.70 USD
2015-03-21,66,33.07 USD,2182.73 USD
2015-03-22,49,34.34 USD,1682.69 USD
2015-03-23,50,35.67 USD,1783.56 USD
2015-03-24,57,42.94 USD,2447.44 USD
2015-03-25,63,32.52 USD,2049.00 USD
2015-03-26,58,28.75 USD,1667.72 USD
2015-03-27,43,29.56 USD,1271.28 USD
2015-03-28,35,46.49 USD,1627.03 USD
2015-03-29,50,30.56 USD,1527.83 USD
2015-03-30,67,34.64 USD,2321.03 USD
2015-03-31,43,35.71 USD,1535.67 USD
2015-04-01,53,29.29 USD,1552.58 USD
2015-04-02,53,32.04 USD,1698.01 USD
2015-04-03,47,26.39 USD,1240.39 USD
2015-04-04,49,24.87 USD,1218.81 USD
2015-04-05,59,30.97 USD,1827.06 USD
2015-04-06,60,33.90 USD,2033.80 USD
2015-04-07,55,41.06 USD,2258.37 USD
2015-04-08,84,33.77 USD,2836.45 USD
2015-04-09,48,30.81 USD,1478.64 USD
2015-04-10,42,30.81 USD,1293.91 USD
2015-04-11,56,32.83 USD,1838.74 USD
2015-04-12,69,37.11 USD,2560.82 USD
2015-04-13,63,30.37 USD,1913.37 USD
2015-04-14,75,32.70 USD,2452.33 USD
2015-04-15,68,34.57 USD,2350.88 USD
2015-04-16,60,33.48 USD,2008.59 USD
2015-04-17,69,35.49 USD,2448.95 USD
2015-04-18,90,32.26 USD,2903.22 USD
2015-04-19,69,32.15 USD,2218.64 USD
2015-04-20,81,44.96 USD,3642.00 USD
2015-04-21,53,35.49 USD,1881.14 USD
2015-04-22,46,36.75 USD,1690.67 USD
2015-04-23,64,34.30 USD,2195.36 USD
2015-04-24,45,25.86 USD,1163.90 USD
2015-04-25,48,35.41 USD,1699.85 USD
2015-04-26,72,29.32 USD,2111.31 USD
2015-04-27,69,30.41 USD,2098.33 USD
2015-04-28,71,38.51 USD,2734.05 USD
2015-04-29,87,31.24 USD,2718.26 USD
2015-04-30,58,33.78 USD,1959.26 USD
2015-05-01,43,30.06 USD,1292.40 USD
2015-05-02,58,33.01 USD,1914.32 USD
2015-05-03,73,29.86 USD,2180.12 USD
2015-05-04,73,33.57 USD,2450.73 USD
2015-05-05,58,31.80 USD,1844.16 USD
2015-05-06,69,32.73 USD,2258.43 USD
2015-05-07,53,33.74 USD,1788.17 USD
2015-05-08,48,34.37 USD,1649.52 USD
2015-05-09,63,33.12 USD,2086.39 USD
2015-05-10,88,29.17 USD,2567.22 USD
2015-05-11,92,25.29 USD,2326.59 USD
2015-05-12,82,35.53 USD,2913.66 USD
2015-05-13,93,35.34 USD,3287.08 USD
2015-05-14,98,27.33 USD,2678.72 USD
2015-05-15,59,37.66 USD,2222.02 USD
2015-05-16,43,32.69 USD,1405.57 USD
2015-05-17,83,32.63 USD,2708.55 USD
2015-05-18,69,35.54 USD,2452.52 USD
2015-05-19,57,31.47 USD,1793.72 USD
2015-05-20,65,33.54 USD,2180.14 USD
2015-05-21,66,35.06 USD,2313.80 USD
2015-05-22,55,30.17 USD,1659.36 USD
2015-05-23,89,21.62 USD,1924.25 USD
2015-05-24,83,31.87 USD,2645.47 USD
2015-05-25,74,39.69 USD,2937.18 USD
2015-05-26,87,28.80 USD,2505.51 USD
2015-05-27,84,28.42 USD,2387.49 USD
2015-05-28,54,34.79 USD,1878.69 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,76,24.67 USD,1874.56 USD
2015-05-31,75,30.92 USD,2318.94 USD
2015-06-01,77,29.99 USD,2309.60 USD
2015-06-02,64,31.60 USD,2022.68 USD
2015-06-03,77,30.84 USD,2374.69 USD
2015-06-04,39,31.20 USD,1216.85 USD
2015-06-05,55,25.17 USD,1384.56 USD
2015-06-06,61,26.92 USD,1642.35 USD
2015-06-07,66,26.03 USD,1717.92 USD
2015-06-08,73,27.90 USD,2036.86 USD
2015-06-09,96,28.62 USD,2747.04 USD
2015-06-10,62,28.40 USD,1761.02 USD
2015-06-11,66,28.82 USD,1901.95 USD
2015-06-12,55,31.21 USD,1716.48 USD
2015-06-13,59,25.39 USD,1497.88 USD
2015-06-14,95,24.36 USD,2313.85 USD
2015-06-15,77,26.33 USD,2027.27 USD
2015-06-16,56,24.76 USD,1386.76 USD
2015-06-17,64,21.50 USD,1376.07 USD
2015-06-18,88,26.76 USD,2355.26 USD
2015-06-19,60,31.25 USD,1874.95 USD
2015-06-20,64,30.52 USD,1953.37 USD
2015-06-21,66,36.07 USD,2380.32 USD
2015-06-22,109,29.50 USD,3215.54 USD
2015-06-23,72,35.63 USD,2565.51 USD
2015-06-24,86,29.84 USD,2566.42 USD
2015-06-25,62,28.79 USD,1785.05 USD
2015-06-26,50,27.23 USD,1361.60 USD
2015-06-27,87,29.54 USD,2570.10 USD
2015-06-28,100,26.29 USD,2628.75 USD
2015-06-29,71,31.61 USD,2244.31 USD
2015-06-30,85,24.31 USD,2066.63 USD
2015-07-01,89,32.62 USD,2903.42 USD
2015-07-02,74,33.75 USD,2497.69 USD
2015-07-03,66,29.85 USD,1970.10 USD
2015-07-04,75,28.94 USD,2170.33 USD
2015-07-05,72,31.56 USD,2272.65 USD
2015-07-06,67,32.40 USD,2170.91 USD
2015-07-07,60,30.52 USD,1831.44 USD
2015-07-08,59,26.31 USD,1552.53 USD
2015-07-09,66,32.27 USD,2129.99 USD
2015-07-10,57,32.40 USD,1846.81 USD
2015-07-11,55,31.63 USD,1739.71 USD
2015-07-12,69,24.82 USD,1712.61 USD
2015-07-13,93,30.14 USD,2802.71 USD
2015-07-14,134,23.63 USD,3167.08 USD
2015-07-15,80,30.32 USD,2425.31 USD
2015-07-16,60,33.95 USD,2036.79 USD
2015-07-17,66,30.83 USD,2034.70 USD
2015-07-18,74,30.73 USD,2274.37 USD
2015-07-19,78,31.42 USD,2451.09 USD
2015-07-20,92,27.28 USD,2510.13 USD
2015-07-21,110,26.77 USD,2944.56 USD
2015-07-22,84,26.36 USD,2214.09 USD
2015-07-23,86,20.98 USD,1804.55 USD
2015-07-24,85,22.67 USD,1927.14 USD
2015-07-25,64,26.92 USD,1722.65 USD
2015-07-26,85,23.79 USD,2021.89 USD
2015-07-27,99,23.20 USD,2296.96 USD
2015-07-28,58,32.33 USD,1875.42 USD
2015-07-29,86,35.05 USD,3014.63 USD
2015-07-30,55,36.51 USD,2008.02 USD
2015-07-31,64,28.24 USD,1807.31 USD
2015-08-01,83,26.32 USD,2184.92 USD
2015-08-02,115,24.72 USD,2843.03 USD
2015-08-03,94,27.34 USD,2570.05 USD
2015-08-04,63,29.59 USD,1864.24 USD
2015-08-05,71,27.09 USD,1923.33 USD
2015-08-06,77,27.35 USD,2106.04 USD
2015-08-07,87,21.28 USD,1851.57 USD
2015-08-08,72,26.66 USD,1919.55 USD
2015-08-09,93,23.81 USD,2214.10 USD
2015-08-10,82,28.93 USD,2372.06 USD
2015-08-11,132,17.56 USD,2318.09 USD
2015-08-12,60,24.53 USD,1472.07 USD
2015-08-13,63,29.71 USD,1871.54 USD
2015-08-14,54,33.85 USD,1828.13 USD
2015-08-15,74,22.41 USD,1658.52 USD
2015-08-16,90,21.26 USD,1913.63 USD
2015-08-17,65,29.39 USD,1910.20 USD
2015-08-18,79,31.66 USD,2501.11 USD
2015-08-19,76,21.89 USD,1663.92 USD
2015-08-20,56,29.69 USD,1662.80 USD
2015-08-21,62,27.80 USD,1723.83 USD
2015-08-22,45,29.18 USD,1313.22 USD
2015-08-23,72,27.08 USD,1949.63 USD
2015-08-24,91,30.53 USD,2778.03 USD
2015-08-25,77,26.31 USD,2025.53 USD
2015-08-26,74,23.65 USD,1749.86 USD
2015-08-27,60,23.11 USD,1386.41 USD
2015-08-28,66,22.85 USD,1508.20 USD
2015-08-29,63,24.77 USD,1560.80 USD
2015-08-30,77,30.80 USD,2371.98 USD
2015-08-31,105,23.72 USD,2490.19 USD
2015-09-01,82,26.61 USD,2182.17 USD
2015-09-02,172,20.17 USD,3468.38 USD
2015-09-03,52,17.83 USD,927.38 USD
2015-09-04,64,23.40 USD,1497.78 USD
2015-09-05,66,23.69 USD,1563.85 USD
2015-09-06,79,23.11 USD,1825.35 USD
2015-09-07,59,30.76 USD,1814.55 USD
2015-09-08,55,37.63 USD,2069.46 USD
2015-09-09,60,25.63 USD,1537.95 USD
2015-09-10,56,23.74 USD,1329.20 USD
2015-09-11,58,30.28 USD,1756.40 USD
2015-09-12,62,26.55 USD,1646.20 USD
2015-09-13,72,27.50 USD,1980.20 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
