This file was downloaded on February 16 2018 11:41:26 PM UTC-08:00
Keywords,cadbury
Date Range,2016-02-16 - 2018-02-14
Buyer Country: ,AU
Category: ,Chocolate, Sweets
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2016-02-16,14,24.27 USD,339.73 USD
2016-02-17,18,11.69 USD,210.42 USD
2016-02-18,18,19.72 USD,354.93 USD
2016-02-19,2,10.55 USD,21.09 USD
2016-02-20,8,25.48 USD,203.82 USD
2016-02-21,19,20.71 USD,393.51 USD
2016-02-22,5,15.68 USD,78.42 USD
2016-02-23,18,13.72 USD,246.87 USD
2016-02-24,8,27.68 USD,221.44 USD
2016-02-25,13,21.27 USD,276.51 USD
2016-02-26,5,17.83 USD,89.17 USD
2016-02-27,17,11.62 USD,197.55 USD
2016-02-28,20,24.13 USD,482.56 USD
2016-02-29,10,27.16 USD,271.63 USD
2016-03-01,13,21.83 USD,283.75 USD
2016-03-02,14,29.32 USD,410.48 USD
2016-03-03,5,13.61 USD,68.06 USD
2016-03-04,10,21.27 USD,212.66 USD
2016-03-05,7,28.15 USD,197.08 USD
2016-03-06,13,31.31 USD,407.01 USD
2016-03-07,14,15.75 USD,220.56 USD
2016-03-08,10,23.87 USD,238.71 USD
2016-03-09,9,18.13 USD,163.19 USD
2016-03-10,4,12.24 USD,48.95 USD
2016-03-11,9,28.65 USD,257.86 USD
2016-03-12,9,13.87 USD,124.81 USD
2016-03-13,9,24.49 USD,220.44 USD
2016-03-14,18,15.11 USD,272.04 USD
2016-03-15,21,17.86 USD,375.14 USD
2016-03-16,26,10.03 USD,260.70 USD
2016-03-17,8,27.25 USD,218.01 USD
2016-03-18,17,23.32 USD,396.40 USD
2016-03-19,9,28.29 USD,254.64 USD
2016-03-20,9,23.39 USD,210.54 USD
2016-03-21,25,14.72 USD,367.94 USD
2016-03-22,24,12.80 USD,307.31 USD
2016-03-23,4,17.57 USD,70.27 USD
2016-03-24,9,21.87 USD,196.84 USD
2016-03-25,3,27.80 USD,83.39 USD
2016-03-26,5,11.29 USD,56.44 USD
2016-03-27,15,37.63 USD,564.52 USD
2016-03-28,23,25.24 USD,580.61 USD
2016-03-29,14,8.35 USD,116.83 USD
2016-03-30,5,42.22 USD,211.09 USD
2016-03-31,6,26.94 USD,161.62 USD
2016-04-01,11,15.43 USD,169.72 USD
2016-04-02,8,22.01 USD,176.08 USD
2016-04-03,15,17.99 USD,269.87 USD
2016-04-04,10,23.33 USD,233.29 USD
2016-04-05,21,22.02 USD,462.32 USD
2016-04-06,9,27.04 USD,243.37 USD
2016-04-07,9,20.40 USD,183.63 USD
2016-04-08,5,36.16 USD,180.79 USD
2016-04-09,8,24.70 USD,197.57 USD
2016-04-10,10,22.87 USD,228.70 USD
2016-04-11,19,24.87 USD,472.44 USD
2016-04-12,8,16.92 USD,135.37 USD
2016-04-13,10,33.99 USD,339.93 USD
2016-04-14,16,36.37 USD,581.97 USD
2016-04-15,7,20.16 USD,141.10 USD
2016-04-16,9,17.54 USD,157.86 USD
2016-04-17,6,33.50 USD,201.01 USD
2016-04-18,15,27.98 USD,419.71 USD
2016-04-19,10,24.91 USD,249.13 USD
2016-04-20,8,27.73 USD,221.84 USD
2016-04-21,11,26.75 USD,294.22 USD
2016-04-22,10,17.09 USD,170.91 USD
2016-04-23,7,24.61 USD,172.27 USD
2016-04-24,7,34.76 USD,243.31 USD
2016-04-25,19,23.12 USD,439.29 USD
2016-04-26,13,26.51 USD,344.58 USD
2016-04-27,8,20.26 USD,162.07 USD
2016-04-28,13,22.09 USD,287.21 USD
2016-04-29,8,23.08 USD,184.61 USD
2016-04-30,14,33.73 USD,472.24 USD
2016-05-01,8,20.74 USD,165.91 USD
2016-05-02,15,22.72 USD,340.80 USD
2016-05-03,5,39.34 USD,196.70 USD
2016-05-04,10,26.26 USD,262.63 USD
2016-05-05,6,15.99 USD,95.94 USD
2016-05-06,3,35.98 USD,107.93 USD
2016-05-07,1,7.35 USD,7.35 USD
2016-05-08,7,25.84 USD,180.86 USD
2016-05-09,12,13.83 USD,165.90 USD
2016-05-10,10,24.47 USD,244.73 USD
2016-05-11,9,23.09 USD,207.77 USD
2016-05-12,4,17.45 USD,69.79 USD
2016-05-13,1,25.67 USD,25.67 USD
2016-05-14,5,30.90 USD,154.48 USD
2016-05-15,6,28.24 USD,169.44 USD
2016-05-16,7,16.53 USD,115.70 USD
2016-05-17,8,24.67 USD,197.39 USD
2016-05-18,13,28.63 USD,372.16 USD
2016-05-19,15,26.33 USD,394.89 USD
2016-05-20,7,31.93 USD,223.50 USD
2016-05-21,12,29.10 USD,349.18 USD
2016-05-22,6,25.86 USD,155.15 USD
2016-05-23,12,24.77 USD,297.23 USD
2016-05-24,17,13.65 USD,232.08 USD
2016-05-25,8,10.64 USD,85.15 USD
2016-05-26,14,25.66 USD,359.18 USD
2016-05-27,7,26.40 USD,184.77 USD
2016-05-28,16,21.89 USD,350.24 USD
2016-05-29,7,22.59 USD,158.11 USD
2016-05-30,13,18.00 USD,234.04 USD
2016-05-31,5,29.64 USD,148.18 USD
2016-06-01,12,19.61 USD,235.36 USD
2016-06-02,3,25.72 USD,77.16 USD
2016-06-03,13,20.51 USD,266.57 USD
2016-06-04,15,25.48 USD,382.25 USD
2016-06-05,12,20.63 USD,247.52 USD
2016-06-06,9,15.83 USD,142.44 USD
2016-06-07,10,23.12 USD,231.15 USD
2016-06-08,13,26.04 USD,338.56 USD
2016-06-09,5,23.47 USD,117.35 USD
2016-06-10,9,51.72 USD,465.46 USD
2016-06-11,5,22.88 USD,114.38 USD
2016-06-12,5,25.34 USD,126.68 USD
2016-06-13,19,27.49 USD,522.33 USD
2016-06-14,4,23.97 USD,95.88 USD
2016-06-15,19,13.74 USD,261.02 USD
2016-06-16,8,26.45 USD,211.62 USD
2016-06-17,7,17.03 USD,119.18 USD
2016-06-18,2,39.66 USD,79.32 USD
2016-06-19,17,20.65 USD,350.99 USD
2016-06-20,9,32.15 USD,289.31 USD
2016-06-21,9,30.52 USD,274.65 USD
2016-06-22,18,31.72 USD,570.94 USD
2016-06-23,14,27.98 USD,391.65 USD
2016-06-24,12,28.43 USD,341.13 USD
2016-06-25,5,38.51 USD,192.56 USD
2016-06-26,13,19.37 USD,251.75 USD
2016-06-27,4,20.50 USD,81.99 USD
2016-06-28,27,22.14 USD,597.77 USD
2016-06-29,13,37.50 USD,487.47 USD
2016-06-30,13,27.07 USD,351.95 USD
2016-07-01,10,27.40 USD,273.98 USD
2016-07-02,10,24.04 USD,240.41 USD
2016-07-03,11,21.81 USD,239.96 USD
2016-07-04,21,26.02 USD,546.43 USD
2016-07-05,14,27.62 USD,386.70 USD
2016-07-06,21,29.07 USD,610.55 USD
2016-07-07,10,19.58 USD,195.75 USD
2016-07-08,4,28.20 USD,112.79 USD
2016-07-09,8,29.88 USD,239.07 USD
2016-07-10,8,30.12 USD,240.94 USD
2016-07-11,10,38.62 USD,386.17 USD
2016-07-12,5,40.41 USD,202.07 USD
2016-07-13,9,28.45 USD,256.01 USD
2016-07-14,17,38.65 USD,656.97 USD
2016-07-15,4,38.37 USD,153.46 USD
2016-07-16,11,33.00 USD,363.00 USD
2016-07-17,26,17.47 USD,454.12 USD
2016-07-18,15,32.17 USD,482.54 USD
2016-07-19,11,27.74 USD,305.15 USD
2016-07-20,14,34.47 USD,482.58 USD
2016-07-21,29,34.15 USD,990.30 USD
2016-07-22,4,27.07 USD,108.28 USD
2016-07-23,7,26.74 USD,187.21 USD
2016-07-24,13,34.83 USD,452.77 USD
