This file was downloaded on February 22 2018 5:44:46 AM UTC-08:00
Keywords,sofa bed
Date Range,2015-02-20 - 2018-02-20
Buyer Country: ,AU
Category: ,Sofas & Couches
Product Condition: ,New
Listing Format: ,StoresFixedPrice,FixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-02-20,1,177.72 USD,177.72 USD
2015-02-21,12,153.23 USD,1838.70 USD
2015-02-22,16,153.29 USD,2452.70 USD
2015-02-23,22,141.52 USD,3113.52 USD
2015-02-24,22,263.48 USD,5796.54 USD
2015-02-25,17,106.05 USD,1802.90 USD
2015-02-26,16,225.56 USD,3608.96 USD
2015-02-27,10,200.78 USD,2007.79 USD
2015-02-28,11,199.16 USD,2190.76 USD
2015-03-01,18,166.55 USD,2997.90 USD
2015-03-02,20,172.42 USD,3448.36 USD
2015-03-03,14,156.75 USD,2194.51 USD
2015-03-04,17,114.01 USD,1938.13 USD
2015-03-05,8,110.60 USD,884.82 USD
2015-03-06,14,176.42 USD,2469.81 USD
2015-03-07,10,119.79 USD,1197.93 USD
2015-03-08,16,205.59 USD,3289.40 USD
2015-03-09,17,142.21 USD,2417.51 USD
2015-03-10,14,290.55 USD,4067.64 USD
2015-03-11,21,152.55 USD,3203.57 USD
2015-03-12,18,160.44 USD,2887.84 USD
2015-03-13,6,239.23 USD,1435.37 USD
2015-03-14,5,261.86 USD,1309.28 USD
2015-03-15,32,193.22 USD,6183.00 USD
2015-03-16,15,159.74 USD,2396.16 USD
2015-03-17,20,194.27 USD,3885.47 USD
2015-03-18,17,258.31 USD,4391.28 USD
2015-03-19,25,214.45 USD,5361.30 USD
2015-03-20,20,210.64 USD,4212.70 USD
2015-03-21,16,131.26 USD,2100.18 USD
2015-03-22,25,173.75 USD,4343.69 USD
2015-03-23,16,116.48 USD,1863.63 USD
2015-03-24,10,207.37 USD,2073.65 USD
2015-03-25,18,194.60 USD,3502.79 USD
2015-03-26,24,161.19 USD,3868.49 USD
2015-03-27,16,283.97 USD,4543.56 USD
2015-03-28,11,175.82 USD,1934.05 USD
2015-03-29,16,177.89 USD,2846.25 USD
2015-03-30,19,224.38 USD,4263.30 USD
2015-03-31,15,214.88 USD,3223.13 USD
2015-04-01,16,224.49 USD,3591.85 USD
2015-04-02,16,116.84 USD,1869.40 USD
2015-04-03,21,185.73 USD,3900.37 USD
2015-04-04,15,242.73 USD,3640.96 USD
2015-04-05,25,166.61 USD,4165.28 USD
2015-04-06,28,187.71 USD,5256.00 USD
2015-04-07,17,229.07 USD,3894.24 USD
2015-04-08,17,199.89 USD,3398.16 USD
2015-04-09,15,196.76 USD,2951.41 USD
2015-04-10,14,192.23 USD,2691.17 USD
2015-04-11,10,162.40 USD,1623.95 USD
2015-04-12,30,167.23 USD,5016.77 USD
2015-04-13,29,205.26 USD,5952.61 USD
2015-04-14,14,177.41 USD,2483.80 USD
2015-04-15,6,215.24 USD,1291.43 USD
2015-04-16,19,193.84 USD,3682.92 USD
2015-04-17,14,193.15 USD,2704.05 USD
2015-04-18,12,227.49 USD,2729.89 USD
2015-04-19,19,198.22 USD,3766.25 USD
2015-04-20,16,155.91 USD,2494.56 USD
2015-04-21,12,147.74 USD,1772.86 USD
2015-04-22,15,213.28 USD,3199.25 USD
2015-04-23,14,145.56 USD,2037.86 USD
2015-04-24,14,177.04 USD,2478.54 USD
2015-04-25,9,132.45 USD,1192.02 USD
2015-04-26,14,134.92 USD,1888.92 USD
2015-04-27,16,225.39 USD,3606.17 USD
2015-04-28,13,240.98 USD,3132.73 USD
2015-04-29,12,196.85 USD,2362.15 USD
2015-04-30,8,188.98 USD,1511.85 USD
2015-05-01,7,356.84 USD,2497.86 USD
2015-05-02,10,124.39 USD,1243.94 USD
2015-05-03,13,201.91 USD,2624.86 USD
2015-05-04,24,209.25 USD,5022.03 USD
2015-05-05,12,215.50 USD,2586.02 USD
2015-05-06,9,134.56 USD,1211.02 USD
2015-05-07,11,249.27 USD,2741.99 USD
2015-05-08,15,213.40 USD,3200.95 USD
2015-05-09,11,160.77 USD,1768.50 USD
2015-05-10,16,191.59 USD,3065.44 USD
2015-05-11,25,205.01 USD,5125.33 USD
2015-05-12,19,131.99 USD,2507.83 USD
2015-05-13,16,180.44 USD,2887.05 USD
2015-05-14,13,320.39 USD,4165.10 USD
2015-05-15,9,249.19 USD,2242.70 USD
2015-05-16,19,152.12 USD,2890.37 USD
2015-05-17,23,177.23 USD,4076.31 USD
2015-05-18,12,263.75 USD,3165.00 USD
2015-05-19,17,227.28 USD,3863.73 USD
2015-05-20,23,200.47 USD,4610.80 USD
2015-05-21,9,140.36 USD,1263.27 USD
2015-05-22,12,204.92 USD,2459.06 USD
2015-05-23,14,158.08 USD,2213.08 USD
2015-05-24,20,141.49 USD,2829.84 USD
2015-05-25,10,152.96 USD,1529.59 USD
2015-05-26,13,180.61 USD,2347.88 USD
2015-05-27,11,154.26 USD,1696.83 USD
2015-05-28,26,135.71 USD,3528.49 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,10,230.49 USD,2304.86 USD
2015-05-31,17,164.02 USD,2788.29 USD
2015-06-01,12,185.66 USD,2227.97 USD
2015-06-02,16,154.15 USD,2466.45 USD
2015-06-03,20,203.73 USD,4074.50 USD
2015-06-04,20,163.09 USD,3261.89 USD
2015-06-05,10,101.39 USD,1013.88 USD
2015-06-06,9,217.86 USD,1960.73 USD
2015-06-07,13,133.95 USD,1741.31 USD
2015-06-08,16,240.69 USD,3850.96 USD
2015-06-09,13,166.02 USD,2158.24 USD
2015-06-10,27,160.21 USD,4325.68 USD
2015-06-11,14,316.14 USD,4426.00 USD
2015-06-12,8,134.07 USD,1072.58 USD
2015-06-13,27,179.89 USD,4857.09 USD
2015-06-14,19,205.70 USD,3908.25 USD
2015-06-15,15,156.12 USD,2341.78 USD
2015-06-16,14,176.88 USD,2476.28 USD
2015-06-17,14,178.05 USD,2492.69 USD
2015-06-18,12,114.27 USD,1371.29 USD
2015-06-19,16,141.70 USD,2267.12 USD
2015-06-20,19,160.04 USD,3040.82 USD
2015-06-21,24,148.60 USD,3566.50 USD
2015-06-22,31,150.94 USD,4679.23 USD
2015-06-23,20,139.12 USD,2782.43 USD
2015-06-24,21,153.26 USD,3218.55 USD
2015-06-25,30,110.10 USD,3302.88 USD
2015-06-26,24,162.10 USD,3890.32 USD
2015-06-27,15,251.54 USD,3773.11 USD
2015-06-28,17,167.99 USD,2855.88 USD
2015-06-29,13,159.67 USD,2075.74 USD
2015-06-30,25,169.19 USD,4229.80 USD
