This file was downloaded on February 25 2018 11:19:50 PM UTC-08:00
Keywords,table
Date Range,2015-02-24 - 2018-02-24
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-02-24,6,157.48 USD,944.87 USD
2015-02-25,119,114.98 USD,13682.65 USD
2015-02-26,136,126.08 USD,17146.71 USD
2015-02-27,126,111.93 USD,14103.16 USD
2015-02-28,135,127.30 USD,17184.96 USD
2015-03-01,133,158.74 USD,21111.85 USD
2015-03-02,132,106.20 USD,14018.98 USD
2015-03-03,119,109.27 USD,13002.81 USD
2015-03-04,124,133.05 USD,16498.27 USD
2015-03-05,117,151.59 USD,17736.05 USD
2015-03-06,104,112.79 USD,11729.80 USD
2015-03-07,119,108.48 USD,12909.23 USD
2015-03-08,128,119.85 USD,15341.30 USD
2015-03-09,148,117.58 USD,17401.57 USD
2015-03-10,135,125.09 USD,16886.72 USD
2015-03-11,149,115.72 USD,17242.94 USD
2015-03-12,118,108.53 USD,12806.46 USD
2015-03-13,119,125.39 USD,14920.94 USD
2015-03-14,159,130.20 USD,20701.49 USD
2015-03-15,146,122.52 USD,17888.22 USD
2015-03-16,155,129.31 USD,20042.70 USD
2015-03-17,113,141.24 USD,15960.10 USD
2015-03-18,122,119.54 USD,14583.75 USD
2015-03-19,125,133.80 USD,16724.59 USD
2015-03-20,104,111.49 USD,11595.16 USD
2015-03-21,118,120.26 USD,14191.07 USD
2015-03-22,124,104.48 USD,12955.05 USD
2015-03-23,129,137.47 USD,17734.13 USD
2015-03-24,139,146.86 USD,20412.96 USD
2015-03-25,125,116.58 USD,14572.11 USD
2015-03-26,116,134.17 USD,15564.05 USD
2015-03-27,90,119.60 USD,10763.65 USD
2015-03-28,98,144.02 USD,14113.96 USD
2015-03-29,135,141.78 USD,19140.13 USD
2015-03-30,130,113.82 USD,14796.74 USD
2015-03-31,104,106.63 USD,11089.59 USD
2015-04-01,97,111.77 USD,10841.89 USD
2015-04-02,101,104.55 USD,10559.18 USD
2015-04-03,102,116.49 USD,11881.54 USD
2015-04-04,111,105.84 USD,11748.77 USD
2015-04-05,101,119.67 USD,12087.14 USD
2015-04-06,171,124.36 USD,21266.17 USD
2015-04-07,136,113.63 USD,15453.43 USD
2015-04-08,156,116.99 USD,18251.15 USD
2015-04-09,131,150.57 USD,19724.72 USD
2015-04-10,99,163.03 USD,16140.01 USD
2015-04-11,105,126.01 USD,13230.77 USD
2015-04-12,166,127.77 USD,21209.54 USD
2015-04-13,131,144.44 USD,18922.06 USD
2015-04-14,113,153.99 USD,17400.68 USD
2015-04-15,140,119.68 USD,16755.02 USD
2015-04-16,122,116.23 USD,14180.50 USD
2015-04-17,116,132.75 USD,15399.45 USD
2015-04-18,124,125.73 USD,15590.75 USD
2015-04-19,164,110.18 USD,18070.12 USD
2015-04-20,140,96.72 USD,13541.48 USD
2015-04-21,142,120.69 USD,17137.87 USD
2015-04-22,152,133.83 USD,20341.53 USD
2015-04-23,123,121.39 USD,14930.42 USD
2015-04-24,102,134.56 USD,13725.50 USD
2015-04-25,116,124.97 USD,14496.61 USD
2015-04-26,133,130.52 USD,17359.78 USD
2015-04-27,131,165.88 USD,21729.63 USD
2015-04-28,114,107.90 USD,12301.09 USD
2015-04-29,116,115.15 USD,13356.85 USD
2015-04-30,122,132.72 USD,16192.33 USD
2015-05-01,102,145.47 USD,14837.95 USD
2015-05-02,117,128.76 USD,15064.52 USD
2015-05-03,174,115.82 USD,20152.54 USD
2015-05-04,141,140.69 USD,19837.31 USD
2015-05-05,145,111.30 USD,16138.42 USD
2015-05-06,122,120.13 USD,14656.20 USD
2015-05-07,133,95.54 USD,12707.26 USD
2015-05-08,115,132.55 USD,15243.33 USD
2015-05-09,119,136.34 USD,16224.63 USD
2015-05-10,115,137.05 USD,15761.18 USD
2015-05-11,119,130.28 USD,15503.60 USD
2015-05-12,139,132.64 USD,18436.51 USD
2015-05-13,136,105.35 USD,14327.24 USD
2015-05-14,125,88.06 USD,11007.70 USD
2015-05-15,125,130.33 USD,16291.07 USD
2015-05-16,131,135.83 USD,17793.10 USD
2015-05-17,182,122.68 USD,22328.65 USD
2015-05-18,143,116.86 USD,16711.34 USD
