This file was downloaded on March 13 2018 12:10:26 AM UTC-07:00
Keywords,sofa
Date Range,2016-01-25 - 2016-04-30
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2016-01-25,83,136.94 USD,11365.64 USD
2016-01-26,100,156.60 USD,15659.63 USD
2016-01-27,102,173.98 USD,17746.22 USD
2016-01-28,89,141.54 USD,12596.75 USD
2016-01-29,82,123.48 USD,10125.24 USD
2016-01-30,99,136.82 USD,13545.53 USD
2016-01-31,95,119.32 USD,11335.82 USD
2016-02-01,85,146.79 USD,12477.21 USD
2016-02-02,77,153.39 USD,11811.29 USD
2016-02-03,80,163.89 USD,13111.08 USD
2016-02-04,78,153.30 USD,11957.44 USD
2016-02-05,70,154.97 USD,10847.63 USD
2016-02-06,71,95.25 USD,6762.84 USD
2016-02-07,108,111.74 USD,12068.24 USD
2016-02-08,73,176.23 USD,12864.93 USD
2016-02-09,113,140.32 USD,15856.38 USD
2016-02-10,96,126.50 USD,12143.82 USD
2016-02-11,87,204.25 USD,17769.61 USD
2016-02-12,66,169.42 USD,11181.72 USD
2016-02-13,87,137.41 USD,11954.61 USD
2016-02-14,82,138.56 USD,11362.16 USD
2016-02-15,98,130.52 USD,12791.25 USD
2016-02-16,96,158.66 USD,15231.68 USD
2016-02-17,71,134.25 USD,9532.00 USD
2016-02-18,83,102.23 USD,8484.90 USD
2016-02-19,65,165.53 USD,10759.76 USD
2016-02-20,84,128.06 USD,10757.07 USD
2016-02-21,109,113.84 USD,12408.35 USD
2016-02-22,87,169.36 USD,14734.32 USD
2016-02-23,85,158.52 USD,13474.53 USD
2016-02-24,80,118.85 USD,9507.99 USD
2016-02-25,72,108.34 USD,7800.83 USD
2016-02-26,81,149.16 USD,12082.19 USD
2016-02-27,88,187.43 USD,16493.54 USD
2016-02-28,121,144.68 USD,17506.87 USD
2016-02-29,84,141.22 USD,11862.22 USD
2016-03-01,104,130.02 USD,13522.56 USD
2016-03-02,61,123.82 USD,7553.32 USD
2016-03-03,74,169.91 USD,12573.35 USD
2016-03-04,86,138.32 USD,11895.82 USD
2016-03-05,93,125.49 USD,11671.01 USD
2016-03-06,105,128.35 USD,13476.69 USD
2016-03-07,107,184.31 USD,19720.95 USD
2016-03-08,76,120.29 USD,9141.98 USD
2016-03-09,81,130.72 USD,10588.21 USD
2016-03-10,75,99.21 USD,7440.78 USD
2016-03-11,68,95.30 USD,6480.56 USD
2016-03-12,117,129.26 USD,15123.46 USD
2016-03-13,79,154.66 USD,12218.48 USD
2016-03-14,85,156.31 USD,13286.28 USD
2016-03-15,81,176.99 USD,14336.52 USD
2016-03-16,96,101.21 USD,9715.83 USD
2016-03-17,63,146.61 USD,9236.27 USD
2016-03-18,69,142.10 USD,9804.79 USD
2016-03-19,103,152.35 USD,15691.77 USD
2016-03-20,96,124.09 USD,11912.72 USD
2016-03-21,119,166.03 USD,19757.05 USD
2016-03-22,88,156.83 USD,13800.86 USD
2016-03-23,82,137.39 USD,11265.67 USD
2016-03-24,59,107.40 USD,6336.81 USD
2016-03-25,70,156.10 USD,10927.16 USD
2016-03-26,72,118.62 USD,8540.54 USD
2016-03-27,90,164.14 USD,14772.22 USD
2016-03-28,99,152.79 USD,15126.27 USD
2016-03-29,85,120.77 USD,10265.76 USD
2016-03-30,84,138.08 USD,11598.71 USD
2016-03-31,88,101.63 USD,8943.01 USD
2016-04-01,54,131.99 USD,7127.65 USD
2016-04-02,79,124.30 USD,9820.09 USD
2016-04-03,95,127.29 USD,12092.33 USD
2016-04-04,115,149.05 USD,17140.50 USD
2016-04-05,87,139.02 USD,12095.08 USD
2016-04-06,87,143.05 USD,12445.04 USD
2016-04-07,120,150.38 USD,18046.01 USD
2016-04-08,82,136.35 USD,11180.69 USD
2016-04-09,89,106.06 USD,9439.10 USD
2016-04-10,126,159.65 USD,20115.69 USD
2016-04-11,98,125.09 USD,12259.07 USD
2016-04-12,87,128.07 USD,11142.06 USD
2016-04-13,92,176.86 USD,16270.81 USD
2016-04-14,98,149.43 USD,14644.17 USD
2016-04-15,83,153.50 USD,12740.34 USD
2016-04-16,95,144.71 USD,13747.91 USD
2016-04-17,87,141.65 USD,12323.46 USD
2016-04-18,76,165.29 USD,12561.87 USD
2016-04-19,79,197.01 USD,15564.12 USD
2016-04-20,102,118.26 USD,12062.24 USD
2016-04-21,99,169.83 USD,16813.23 USD
2016-04-22,63,157.43 USD,9918.33 USD
2016-04-23,71,107.19 USD,7610.35 USD
2016-04-24,87,125.59 USD,10926.46 USD
2016-04-25,91,135.37 USD,12318.33 USD
2016-04-26,91,191.98 USD,17470.57 USD
2016-04-27,77,122.63 USD,9442.66 USD
2016-04-28,75,179.74 USD,13480.49 USD
2016-04-29,80,215.28 USD,17222.62 USD
2016-04-30,92,132.62 USD,12200.76 USD
