This file was downloaded on March 13 2018 3:26:28 PM UTC-07:00
Keywords,sofa 
Date Range,2017-08-01 - 2017-11-05
Buyer Country: ,AU
Category: ,Sofas & Couches
Product Condition: ,New
Listing Format: ,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2017-08-01,21,166.71 USD,3500.88 USD
2017-08-02,23,193.13 USD,4442.01 USD
2017-08-03,17,170.23 USD,2893.97 USD
2017-08-04,18,207.34 USD,3732.05 USD
2017-08-05,18,196.58 USD,3538.46 USD
2017-08-06,22,238.46 USD,5246.06 USD
2017-08-07,20,202.35 USD,4046.95 USD
2017-08-08,20,220.89 USD,4417.71 USD
2017-08-09,15,225.85 USD,3387.79 USD
2017-08-10,19,205.99 USD,3913.82 USD
2017-08-11,19,163.00 USD,3097.02 USD
2017-08-12,29,206.75 USD,5995.67 USD
2017-08-13,18,180.03 USD,3240.54 USD
2017-08-14,26,248.20 USD,6453.22 USD
2017-08-15,25,171.75 USD,4293.81 USD
2017-08-16,10,213.05 USD,2130.49 USD
2017-08-17,19,333.00 USD,6326.97 USD
2017-08-18,31,97.37 USD,3018.49 USD
2017-08-19,33,176.60 USD,5827.93 USD
2017-08-20,26,247.51 USD,6435.13 USD
2017-08-21,36,282.54 USD,10171.50 USD
2017-08-22,6,251.80 USD,1510.82 USD
2017-08-23,30,279.89 USD,8396.58 USD
2017-08-24,21,140.85 USD,2957.81 USD
2017-08-25,22,182.93 USD,4024.46 USD
2017-08-26,16,110.31 USD,1764.90 USD
2017-08-27,29,199.84 USD,5795.45 USD
2017-08-28,44,230.76 USD,10153.47 USD
2017-08-29,19,207.58 USD,3944.08 USD
2017-08-30,15,214.87 USD,3223.07 USD
2017-08-31,24,235.10 USD,5642.30 USD
2017-09-01,17,44.60 USD,758.27 USD
2017-09-02,21,230.22 USD,4834.59 USD
2017-09-03,35,126.46 USD,4426.15 USD
2017-09-04,40,167.95 USD,6718.06 USD
2017-09-05,18,70.02 USD,1260.36 USD
2017-09-06,22,211.21 USD,4646.70 USD
2017-09-07,25,250.08 USD,6252.00 USD
2017-09-08,22,192.91 USD,4244.02 USD
2017-09-09,45,172.19 USD,7748.54 USD
2017-09-10,40,248.49 USD,9939.55 USD
2017-09-11,35,227.55 USD,7964.39 USD
2017-09-12,23,208.17 USD,4788.02 USD
2017-09-13,29,152.96 USD,4435.80 USD
2017-09-14,22,223.48 USD,4916.66 USD
2017-09-15,24,213.46 USD,5123.14 USD
2017-09-16,32,104.17 USD,3333.40 USD
2017-09-17,20,126.52 USD,2530.35 USD
2017-09-18,36,151.10 USD,5439.68 USD
2017-09-19,41,152.32 USD,6245.05 USD
2017-09-20,18,76.05 USD,1368.95 USD
2017-09-21,38,177.04 USD,6727.50 USD
2017-09-22,33,131.54 USD,4340.85 USD
2017-09-23,32,112.54 USD,3601.41 USD
2017-09-24,38,188.27 USD,7154.29 USD
2017-09-25,35,130.34 USD,4561.82 USD
2017-09-26,30,119.76 USD,3592.94 USD
2017-09-27,25,207.55 USD,5188.66 USD
2017-09-28,42,92.69 USD,3892.83 USD
2017-09-29,25,96.86 USD,2421.40 USD
2017-09-30,14,67.69 USD,947.68 USD
2017-10-01,34,87.71 USD,2981.97 USD
2017-10-02,18,207.61 USD,3737.05 USD
2017-10-03,31,267.63 USD,8296.66 USD
2017-10-04,25,155.09 USD,3877.28 USD
2017-10-05,25,116.81 USD,2920.33 USD
2017-10-06,24,162.53 USD,3900.79 USD
2017-10-07,44,184.51 USD,8118.50 USD
2017-10-08,39,149.60 USD,5834.33 USD
2017-10-09,21,160.41 USD,3368.69 USD
2017-10-10,33,219.24 USD,7234.76 USD
2017-10-11,35,239.68 USD,8388.84 USD
2017-10-12,18,112.59 USD,2026.69 USD
2017-10-13,20,72.56 USD,1451.11 USD
2017-10-14,25,103.22 USD,2580.60 USD
2017-10-15,26,138.89 USD,3611.16 USD
2017-10-16,24,222.83 USD,5347.87 USD
2017-10-17,25,188.10 USD,4702.38 USD
2017-10-18,15,160.88 USD,2413.15 USD
2017-10-19,21,159.24 USD,3344.02 USD
2017-10-20,25,173.63 USD,4340.67 USD
2017-10-21,30,125.33 USD,3759.87 USD
2017-10-22,20,159.85 USD,3196.96 USD
2017-10-23,27,185.03 USD,4995.76 USD
2017-10-24,29,193.26 USD,5604.42 USD
2017-10-25,19,128.75 USD,2446.21 USD
2017-10-26,30,345.68 USD,10370.45 USD
2017-10-27,28,207.48 USD,5809.57 USD
2017-10-28,16,137.15 USD,2194.36 USD
2017-10-29,25,174.00 USD,4349.99 USD
2017-10-30,22,286.90 USD,6311.88 USD
2017-10-31,32,238.40 USD,7628.95 USD
2017-11-01,37,115.67 USD,4279.86 USD
2017-11-02,17,166.11 USD,2823.83 USD
2017-11-03,18,125.07 USD,2251.20 USD
2017-11-04,26,131.44 USD,3417.42 USD
2017-11-05,43,163.61 USD,7035.20 USD
