This file was downloaded on March 14 2018 12:34:24 AM UTC-07:00
Keywords,carpet
Date Range,2015-03-13 - 2018-03-11
Buyer Country: ,AU
Category: ,Floor Rugs
Product Condition: ,New
Listing Format: ,StoresFixedPrice,FixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-13,0,0.00 USD,0.00 USD
2015-03-14,0,0.00 USD,0.00 USD
2015-03-15,0,0.00 USD,0.00 USD
2015-03-16,0,0.00 USD,0.00 USD
2015-03-17,0,0.00 USD,0.00 USD
2015-03-18,0,0.00 USD,0.00 USD
2015-03-19,0,0.00 USD,0.00 USD
2015-03-20,0,0.00 USD,0.00 USD
2015-03-21,0,0.00 USD,0.00 USD
2015-03-22,0,0.00 USD,0.00 USD
2015-03-23,0,0.00 USD,0.00 USD
2015-03-24,0,0.00 USD,0.00 USD
2015-03-25,0,0.00 USD,0.00 USD
2015-03-26,0,0.00 USD,0.00 USD
2015-03-27,0,0.00 USD,0.00 USD
2015-03-28,0,0.00 USD,0.00 USD
2015-03-29,0,0.00 USD,0.00 USD
2015-03-30,0,0.00 USD,0.00 USD
2015-03-31,0,0.00 USD,0.00 USD
2015-04-01,0,0.00 USD,0.00 USD
2015-04-02,0,0.00 USD,0.00 USD
2015-04-03,0,0.00 USD,0.00 USD
2015-04-04,0,0.00 USD,0.00 USD
2015-04-05,0,0.00 USD,0.00 USD
2015-04-06,0,0.00 USD,0.00 USD
2015-04-07,0,0.00 USD,0.00 USD
2015-04-08,0,0.00 USD,0.00 USD
2015-04-09,0,0.00 USD,0.00 USD
2015-04-10,0,0.00 USD,0.00 USD
2015-04-11,0,0.00 USD,0.00 USD
2015-04-12,0,0.00 USD,0.00 USD
2015-04-13,0,0.00 USD,0.00 USD
2015-04-14,0,0.00 USD,0.00 USD
2015-04-15,0,0.00 USD,0.00 USD
2015-04-16,0,0.00 USD,0.00 USD
2015-04-17,0,0.00 USD,0.00 USD
2015-04-18,0,0.00 USD,0.00 USD
2015-04-19,0,0.00 USD,0.00 USD
2015-04-20,0,0.00 USD,0.00 USD
2015-04-21,0,0.00 USD,0.00 USD
2015-04-22,0,0.00 USD,0.00 USD
2015-04-23,0,0.00 USD,0.00 USD
2015-04-24,0,0.00 USD,0.00 USD
2015-04-25,0,0.00 USD,0.00 USD
2015-04-26,0,0.00 USD,0.00 USD
2015-04-27,0,0.00 USD,0.00 USD
2015-04-28,0,0.00 USD,0.00 USD
2015-04-29,0,0.00 USD,0.00 USD
2015-04-30,0,0.00 USD,0.00 USD
2015-05-01,0,0.00 USD,0.00 USD
2015-05-02,0,0.00 USD,0.00 USD
2015-05-03,0,0.00 USD,0.00 USD
2015-05-04,0,0.00 USD,0.00 USD
2015-05-05,0,0.00 USD,0.00 USD
2015-05-06,0,0.00 USD,0.00 USD
2015-05-07,0,0.00 USD,0.00 USD
2015-05-08,0,0.00 USD,0.00 USD
2015-05-09,0,0.00 USD,0.00 USD
2015-05-10,0,0.00 USD,0.00 USD
2015-05-11,0,0.00 USD,0.00 USD
2015-05-12,0,0.00 USD,0.00 USD
2015-05-13,0,0.00 USD,0.00 USD
2015-05-14,0,0.00 USD,0.00 USD
2015-05-15,0,0.00 USD,0.00 USD
2015-05-16,0,0.00 USD,0.00 USD
2015-05-17,0,0.00 USD,0.00 USD
2015-05-18,0,0.00 USD,0.00 USD
2015-05-19,0,0.00 USD,0.00 USD
2015-05-20,0,0.00 USD,0.00 USD
2015-05-21,0,0.00 USD,0.00 USD
2015-05-22,0,0.00 USD,0.00 USD
2015-05-23,0,0.00 USD,0.00 USD
2015-05-24,0,0.00 USD,0.00 USD
2015-05-25,0,0.00 USD,0.00 USD
2015-05-26,0,0.00 USD,0.00 USD
2015-05-27,0,0.00 USD,0.00 USD
