This file was downloaded on March 13 2018 9:08:57 PM UTC-07:00
Keywords,bed
Date Range,2015-03-13 - 2018-03-11
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,Auction
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-13,8,301.28 USD,2410.21 USD
2015-03-14,6,113.81 USD,682.86 USD
2015-03-15,20,143.83 USD,2876.63 USD
2015-03-16,17,179.02 USD,3043.29 USD
2015-03-17,10,151.43 USD,1514.33 USD
2015-03-18,19,138.58 USD,2632.97 USD
2015-03-19,16,123.10 USD,1969.63 USD
2015-03-20,16,113.53 USD,1816.40 USD
2015-03-21,20,137.88 USD,2757.58 USD
2015-03-22,22,127.50 USD,2804.92 USD
2015-03-23,25,190.86 USD,4771.56 USD
2015-03-24,14,163.20 USD,2284.80 USD
2015-03-25,17,149.68 USD,2544.49 USD
2015-03-26,19,169.62 USD,3222.71 USD
2015-03-27,9,160.67 USD,1446.06 USD
2015-03-28,9,176.01 USD,1584.11 USD
2015-03-29,23,186.54 USD,4290.34 USD
2015-03-30,18,168.02 USD,3024.41 USD
2015-03-31,4,228.61 USD,914.45 USD
2015-04-01,21,149.32 USD,3135.79 USD
2015-04-02,12,180.57 USD,2166.80 USD
2015-04-03,7,249.50 USD,1746.49 USD
2015-04-04,4,138.47 USD,553.88 USD
2015-04-05,8,175.32 USD,1402.55 USD
2015-04-06,12,203.22 USD,2438.62 USD
2015-04-07,15,278.52 USD,4177.73 USD
2015-04-08,15,268.40 USD,4025.96 USD
2015-04-09,16,142.53 USD,2280.52 USD
2015-04-10,13,171.44 USD,2228.69 USD
2015-04-11,10,171.97 USD,1719.67 USD
2015-04-12,19,174.60 USD,3317.40 USD
2015-04-13,18,197.25 USD,3550.42 USD
2015-04-14,10,114.07 USD,1140.69 USD
2015-04-15,17,174.92 USD,2973.56 USD
2015-04-16,15,158.53 USD,2377.96 USD
2015-04-17,9,100.58 USD,905.25 USD
2015-04-18,9,173.03 USD,1557.25 USD
2015-04-19,17,197.66 USD,3360.30 USD
2015-04-20,19,214.65 USD,4078.40 USD
2015-04-21,6,197.39 USD,1184.36 USD
2015-04-22,17,130.81 USD,2223.71 USD
2015-04-23,12,141.02 USD,1692.23 USD
2015-04-24,8,154.63 USD,1237.07 USD
2015-04-25,6,292.36 USD,1754.13 USD
2015-04-26,17,203.15 USD,3453.59 USD
2015-04-27,15,194.04 USD,2910.62 USD
2015-04-28,7,146.37 USD,1024.56 USD
2015-04-29,17,118.45 USD,2013.66 USD
2015-04-30,13,257.97 USD,3353.61 USD
2015-05-01,8,137.94 USD,1103.55 USD
2015-05-02,5,162.25 USD,811.24 USD
2015-05-03,14,120.52 USD,1687.23 USD
2015-05-04,15,127.31 USD,1909.69 USD
2015-05-05,9,220.73 USD,1986.61 USD
2015-05-06,20,207.32 USD,4146.36 USD
2015-05-07,19,193.90 USD,3684.03 USD
2015-05-08,6,257.65 USD,1545.88 USD
2015-05-09,7,154.52 USD,1081.63 USD
2015-05-10,20,140.41 USD,2808.29 USD
2015-05-11,17,153.89 USD,2616.17 USD
2015-05-12,11,178.80 USD,1966.83 USD
2015-05-13,14,226.06 USD,3164.79 USD
2015-05-14,23,214.86 USD,4941.72 USD
2015-05-15,8,174.23 USD,1393.84 USD
2015-05-16,10,168.95 USD,1689.52 USD
2015-05-17,18,171.18 USD,3081.27 USD
2015-05-18,15,172.33 USD,2584.92 USD
2015-05-19,12,194.59 USD,2335.05 USD
2015-05-20,20,160.77 USD,3215.38 USD
2015-05-21,20,161.61 USD,3232.29 USD
2015-05-22,9,140.78 USD,1267.00 USD
2015-05-23,4,135.66 USD,542.65 USD
2015-05-24,23,166.78 USD,3835.93 USD
2015-05-25,14,162.49 USD,2274.82 USD
2015-05-26,7,187.80 USD,1314.59 USD
2015-05-27,24,192.21 USD,4613.05 USD
2015-05-28,17,153.46 USD,2608.75 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,14,195.76 USD,2740.64 USD
2015-05-31,13,142.16 USD,1848.05 USD
2015-06-01,14,183.92 USD,2574.91 USD
2015-06-02,8,213.37 USD,1706.96 USD
2015-06-03,20,229.93 USD,4598.66 USD
2015-06-04,17,177.98 USD,3025.67 USD
2015-06-05,11,142.99 USD,1572.86 USD
2015-06-06,15,125.52 USD,1882.83 USD
2015-06-07,13,159.07 USD,2067.94 USD
2015-06-08,18,183.53 USD,3303.51 USD
2015-06-09,10,238.42 USD,2384.23 USD
2015-06-10,15,155.62 USD,2334.23 USD
2015-06-11,19,139.38 USD,2648.23 USD
2015-06-12,15,129.04 USD,1935.56 USD
2015-06-13,7,136.31 USD,954.20 USD
2015-06-14,18,143.05 USD,2574.96 USD
2015-06-15,22,158.27 USD,3481.89 USD
2015-06-16,9,221.69 USD,1995.19 USD
2015-06-17,16,181.10 USD,2897.62 USD
2015-06-18,13,165.68 USD,2153.82 USD
2015-06-19,7,163.55 USD,1144.87 USD
2015-06-20,11,110.62 USD,1216.79 USD
2015-06-21,17,118.80 USD,2019.56 USD
2015-06-22,22,143.69 USD,3161.22 USD
2015-06-23,11,180.89 USD,1989.82 USD
2015-06-24,16,161.21 USD,2579.34 USD
2015-06-25,12,174.60 USD,2095.24 USD
2015-06-26,7,317.27 USD,2220.86 USD
2015-06-27,13,173.89 USD,2260.53 USD
2015-06-28,15,185.57 USD,2783.59 USD
2015-06-29,19,141.13 USD,2681.51 USD
2015-06-30,9,185.47 USD,1669.27 USD
2015-07-01,15,157.22 USD,2358.25 USD
2015-07-02,21,124.64 USD,2617.52 USD
2015-07-03,6,180.64 USD,1083.83 USD
2015-07-04,8,106.70 USD,853.61 USD
2015-07-05,13,125.90 USD,1636.72 USD
2015-07-06,17,149.33 USD,2538.65 USD
2015-07-07,11,207.84 USD,2286.20 USD
2015-07-08,13,167.99 USD,2183.86 USD
2015-07-09,21,150.68 USD,3164.21 USD
2015-07-10,12,144.74 USD,1736.93 USD
2015-07-11,11,179.17 USD,1970.84 USD
2015-07-12,21,143.19 USD,3006.98 USD
2015-07-13,17,132.26 USD,2248.43 USD
2015-07-14,7,156.99 USD,1098.90 USD
2015-07-15,18,169.20 USD,3045.67 USD
2015-07-16,26,171.07 USD,4447.90 USD
2015-07-17,12,202.86 USD,2434.33 USD
2015-07-18,9,139.04 USD,1251.34 USD
2015-07-19,18,125.14 USD,2252.56 USD
2015-07-20,14,119.04 USD,1666.56 USD
2015-07-21,8,199.70 USD,1597.56 USD
2015-07-22,18,133.75 USD,2407.51 USD
2015-07-23,15,224.94 USD,3374.17 USD
2015-07-24,10,184.35 USD,1843.47 USD
2015-07-25,8,127.04 USD,1016.30 USD
