This file was downloaded on March 13 2018 9:07:14 PM UTC-07:00
Keywords,mattress 
Date Range,2015-03-13 - 2018-03-11
Buyer Country: ,AU
Category: ,Mattresses
Product Condition: ,New
Listing Format: ,Auction
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-13,7,73.86 USD,517.02 USD
2015-03-14,6,76.15 USD,456.88 USD
2015-03-15,8,146.29 USD,1170.35 USD
2015-03-16,8,157.76 USD,1262.11 USD
2015-03-17,7,76.56 USD,535.92 USD
2015-03-18,9,140.25 USD,1262.29 USD
2015-03-19,13,164.46 USD,2137.95 USD
2015-03-20,8,71.25 USD,570.01 USD
2015-03-21,7,112.13 USD,784.92 USD
2015-03-22,9,154.19 USD,1387.73 USD
2015-03-23,6,175.49 USD,1052.93 USD
2015-03-24,12,88.76 USD,1065.09 USD
2015-03-25,6,84.07 USD,504.44 USD
2015-03-26,7,68.49 USD,479.42 USD
2015-03-27,5,88.28 USD,441.41 USD
2015-03-28,7,91.57 USD,641.01 USD
2015-03-29,9,69.04 USD,621.36 USD
2015-03-30,5,151.32 USD,756.59 USD
2015-03-31,7,98.65 USD,690.53 USD
2015-04-01,5,57.45 USD,287.24 USD
2015-04-02,5,64.45 USD,322.26 USD
2015-04-03,4,166.29 USD,665.14 USD
2015-04-04,4,86.57 USD,346.26 USD
2015-04-05,6,58.59 USD,351.56 USD
2015-04-06,4,62.51 USD,250.05 USD
2015-04-07,11,115.72 USD,1272.88 USD
2015-04-08,6,106.74 USD,640.43 USD
2015-04-09,6,124.30 USD,745.81 USD
2015-04-10,5,57.79 USD,288.93 USD
2015-04-11,8,138.11 USD,1104.90 USD
2015-04-12,8,131.59 USD,1052.71 USD
2015-04-13,7,55.58 USD,389.03 USD
2015-04-14,6,75.04 USD,450.24 USD
2015-04-15,3,83.48 USD,250.43 USD
2015-04-16,7,146.67 USD,1026.68 USD
2015-04-17,6,122.24 USD,733.42 USD
2015-04-18,5,65.13 USD,325.64 USD
2015-04-19,6,128.38 USD,770.29 USD
2015-04-20,7,169.57 USD,1186.98 USD
2015-04-21,7,102.53 USD,717.68 USD
2015-04-22,4,113.16 USD,452.64 USD
2015-04-23,3,176.69 USD,530.08 USD
2015-04-24,4,88.55 USD,354.20 USD
2015-04-25,6,354.54 USD,2127.26 USD
2015-04-26,7,28.50 USD,199.52 USD
2015-04-27,3,50.02 USD,150.06 USD
2015-04-28,5,110.44 USD,552.20 USD
2015-04-29,5,136.02 USD,680.11 USD
2015-04-30,6,116.36 USD,698.17 USD
2015-05-01,4,69.21 USD,276.84 USD
2015-05-02,5,71.69 USD,358.46 USD
2015-05-03,6,84.29 USD,505.75 USD
2015-05-04,9,81.70 USD,735.32 USD
2015-05-05,10,111.40 USD,1114.02 USD
2015-05-06,5,115.47 USD,577.34 USD
2015-05-07,7,84.23 USD,589.64 USD
2015-05-08,5,56.89 USD,284.45 USD
2015-05-09,5,175.76 USD,878.81 USD
2015-05-10,9,32.20 USD,289.76 USD
2015-05-11,4,58.27 USD,233.07 USD
2015-05-12,7,58.85 USD,411.97 USD
2015-05-13,5,104.16 USD,520.82 USD
2015-05-14,7,65.33 USD,457.30 USD
2015-05-15,7,135.83 USD,950.83 USD
2015-05-16,5,57.90 USD,289.51 USD
2015-05-17,4,40.73 USD,162.92 USD
2015-05-18,6,156.22 USD,937.31 USD
2015-05-19,6,79.72 USD,478.32 USD
2015-05-20,3,49.80 USD,149.40 USD
2015-05-21,5,38.09 USD,190.47 USD
2015-05-22,3,54.09 USD,162.26 USD
2015-05-23,8,100.30 USD,802.37 USD
2015-05-24,9,151.89 USD,1367.01 USD
2015-05-25,1,41.43 USD,41.43 USD
2015-05-26,9,76.66 USD,689.96 USD
2015-05-27,2,367.30 USD,734.59 USD
2015-05-28,6,126.98 USD,761.86 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,5,49.58 USD,247.92 USD
2015-05-31,8,61.42 USD,491.33 USD
2015-06-01,6,55.94 USD,335.64 USD
2015-06-02,13,77.29 USD,1004.72 USD
2015-06-03,3,113.36 USD,340.09 USD
2015-06-04,8,95.67 USD,765.36 USD
2015-06-05,5,101.33 USD,506.64 USD
2015-06-06,3,98.13 USD,294.38 USD
2015-06-07,10,48.67 USD,486.72 USD
2015-06-08,7,102.84 USD,719.89 USD
2015-06-09,7,139.39 USD,975.75 USD
2015-06-10,4,161.13 USD,644.51 USD
2015-06-11,4,96.68 USD,386.72 USD
2015-06-12,7,76.73 USD,537.11 USD
2015-06-13,9,137.24 USD,1235.13 USD
2015-06-14,12,81.78 USD,981.40 USD
2015-06-15,10,127.10 USD,1270.97 USD
2015-06-16,12,70.25 USD,842.99 USD
2015-06-17,2,145.40 USD,290.80 USD
2015-06-18,4,117.11 USD,468.43 USD
2015-06-19,5,152.74 USD,763.69 USD
2015-06-20,1,6.59 USD,6.59 USD
2015-06-21,7,89.40 USD,625.78 USD
2015-06-22,8,142.79 USD,1142.34 USD
2015-06-23,4,89.78 USD,359.10 USD
2015-06-24,2,88.47 USD,176.93 USD
2015-06-25,9,104.99 USD,944.89 USD
2015-06-26,3,44.89 USD,134.66 USD
2015-06-27,5,85.13 USD,425.67 USD
2015-06-28,6,83.69 USD,502.15 USD
2015-06-29,2,141.40 USD,282.79 USD
2015-06-30,9,109.44 USD,984.96 USD
2015-07-01,3,103.25 USD,309.74 USD
2015-07-02,7,81.92 USD,573.45 USD
2015-07-03,8,87.86 USD,702.91 USD
2015-07-04,10,132.94 USD,1329.39 USD
2015-07-05,7,122.05 USD,854.35 USD
2015-07-06,6,121.79 USD,730.71 USD
2015-07-07,5,180.97 USD,904.86 USD
2015-07-08,3,222.28 USD,666.85 USD
2015-07-09,4,123.07 USD,492.28 USD
2015-07-10,2,85.79 USD,171.57 USD
2015-07-11,5,230.14 USD,1150.69 USD
2015-07-12,10,86.47 USD,864.72 USD
2015-07-13,5,104.24 USD,521.20 USD
2015-07-14,10,97.89 USD,978.87 USD
2015-07-15,3,52.61 USD,157.83 USD
2015-07-16,6,116.93 USD,701.56 USD
2015-07-17,6,121.39 USD,728.31 USD
2015-07-18,12,86.49 USD,1037.84 USD
2015-07-19,7,70.59 USD,494.16 USD
2015-07-20,7,183.88 USD,1287.15 USD
2015-07-21,11,124.88 USD,1373.70 USD
2015-07-22,4,90.38 USD,361.53 USD
2015-07-23,8,133.18 USD,1065.44 USD
2015-07-24,10,87.71 USD,877.07 USD
2015-07-25,5,82.22 USD,411.10 USD
2015-07-26,6,124.46 USD,746.77 USD
