This file was downloaded on March 13 2018 9:11:54 PM UTC-07:00
Keywords,wardrobe
Date Range,2015-03-13 - 2018-03-11
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,Auction
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-13,3,278.65 USD,835.95 USD
2015-03-14,0,0.00 USD,0.00 USD
2015-03-15,2,21.33 USD,42.65 USD
2015-03-16,1,29.72 USD,29.72 USD
2015-03-17,2,18.38 USD,36.75 USD
2015-03-18,2,28.91 USD,57.82 USD
2015-03-19,0,0.00 USD,0.00 USD
2015-03-20,2,64.55 USD,129.09 USD
2015-03-21,0,0.00 USD,0.00 USD
2015-03-22,1,17.81 USD,17.81 USD
2015-03-23,1,10.83 USD,10.83 USD
2015-03-24,5,15.11 USD,75.56 USD
2015-03-25,4,62.73 USD,250.91 USD
2015-03-26,1,28.25 USD,28.25 USD
2015-03-27,1,27.38 USD,27.38 USD
2015-03-28,1,258.89 USD,258.89 USD
2015-03-29,0,0.00 USD,0.00 USD
2015-03-30,1,34.88 USD,34.88 USD
2015-03-31,0,0.00 USD,0.00 USD
2015-04-01,1,13.71 USD,13.71 USD
2015-04-02,0,0.00 USD,0.00 USD
2015-04-03,2,37.87 USD,75.74 USD
2015-04-04,1,26.52 USD,26.52 USD
2015-04-05,1,15.87 USD,15.87 USD
2015-04-06,2,262.36 USD,524.71 USD
2015-04-07,4,20.47 USD,81.88 USD
2015-04-08,2,97.74 USD,195.48 USD
2015-04-09,2,205.06 USD,410.11 USD
2015-04-10,2,16.90 USD,33.80 USD
2015-04-11,2,37.24 USD,74.48 USD
2015-04-12,2,64.90 USD,129.79 USD
2015-04-13,1,17.25 USD,17.25 USD
2015-04-14,0,0.00 USD,0.00 USD
2015-04-15,2,13.73 USD,27.45 USD
2015-04-16,2,126.43 USD,252.85 USD
2015-04-17,1,16.28 USD,16.28 USD
2015-04-18,1,15.54 USD,15.54 USD
2015-04-19,6,60.77 USD,364.64 USD
2015-04-20,1,154.60 USD,154.60 USD
2015-04-21,1,92.71 USD,92.71 USD
2015-04-22,2,15.06 USD,30.11 USD
2015-04-23,1,19.36 USD,19.36 USD
2015-04-24,2,83.89 USD,167.78 USD
2015-04-25,3,30.25 USD,90.75 USD
2015-04-26,1,19.52 USD,19.52 USD
2015-04-27,2,40.65 USD,81.29 USD
2015-04-28,3,62.64 USD,187.92 USD
2015-04-29,5,17.35 USD,86.73 USD
2015-04-30,2,131.74 USD,263.48 USD
2015-05-01,1,167.49 USD,167.49 USD
2015-05-02,4,85.96 USD,343.84 USD
2015-05-03,2,11.32 USD,22.64 USD
2015-05-04,1,34.43 USD,34.43 USD
2015-05-05,2,12.51 USD,25.02 USD
2015-05-06,2,38.46 USD,76.91 USD
2015-05-07,2,15.60 USD,31.19 USD
2015-05-08,4,35.19 USD,140.77 USD
2015-05-09,3,31.31 USD,93.93 USD
2015-05-10,1,15.77 USD,15.77 USD
2015-05-11,3,22.63 USD,67.89 USD
2015-05-12,1,15.79 USD,15.79 USD
2015-05-13,2,12.35 USD,24.69 USD
2015-05-14,3,32.35 USD,97.05 USD
2015-05-15,3,24.75 USD,74.24 USD
2015-05-16,2,35.40 USD,70.80 USD
2015-05-17,4,89.10 USD,356.39 USD
2015-05-18,2,19.69 USD,39.38 USD
2015-05-19,2,39.82 USD,79.64 USD
2015-05-20,5,37.77 USD,188.83 USD
2015-05-21,1,11.78 USD,11.78 USD
2015-05-22,1,16.85 USD,16.85 USD
2015-05-23,1,10.92 USD,10.92 USD
2015-05-24,2,21.66 USD,43.31 USD
2015-05-25,3,28.65 USD,85.96 USD
2015-05-26,1,19.52 USD,19.52 USD
2015-05-27,2,24.74 USD,49.47 USD
2015-05-28,4,13.67 USD,54.66 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,3,28.30 USD,84.89 USD
2015-05-31,6,60.31 USD,361.87 USD
2015-06-01,2,44.38 USD,88.76 USD
2015-06-02,4,13.86 USD,55.44 USD
2015-06-03,4,33.67 USD,134.68 USD
2015-06-04,3,13.75 USD,41.25 USD
2015-06-05,3,39.12 USD,117.37 USD
2015-06-06,4,23.79 USD,95.17 USD
2015-06-07,5,41.55 USD,207.73 USD
2015-06-08,4,21.51 USD,86.02 USD
2015-06-09,5,31.25 USD,156.26 USD
2015-06-10,2,23.75 USD,47.50 USD
2015-06-11,5,14.24 USD,71.18 USD
2015-06-12,6,23.64 USD,141.85 USD
2015-06-13,3,30.15 USD,90.44 USD
2015-06-14,6,43.06 USD,258.34 USD
2015-06-15,2,17.98 USD,35.95 USD
2015-06-16,10,98.38 USD,983.78 USD
2015-06-17,1,31.75 USD,31.75 USD
2015-06-18,9,85.41 USD,768.71 USD
2015-06-19,5,31.58 USD,157.92 USD
2015-06-20,5,32.69 USD,163.45 USD
2015-06-21,5,42.15 USD,210.75 USD
2015-06-22,1,60.45 USD,60.45 USD
2015-06-23,6,26.48 USD,158.90 USD
2015-06-24,5,50.77 USD,253.87 USD
2015-06-25,5,27.65 USD,138.24 USD
2015-06-26,3,36.60 USD,109.80 USD
2015-06-27,1,10.66 USD,10.66 USD
2015-06-28,1,22.92 USD,22.92 USD
2015-06-29,1,18.30 USD,18.30 USD
2015-06-30,1,120.52 USD,120.52 USD
2015-07-01,1,15.33 USD,15.33 USD
2015-07-02,4,16.64 USD,66.54 USD
2015-07-03,2,28.20 USD,56.40 USD
2015-07-04,2,59.96 USD,119.91 USD
2015-07-05,0,0.00 USD,0.00 USD
2015-07-06,1,11.99 USD,11.99 USD
2015-07-07,3,70.26 USD,210.78 USD
2015-07-08,0,0.00 USD,0.00 USD
2015-07-09,6,27.49 USD,164.92 USD
2015-07-10,2,35.26 USD,70.52 USD
2015-07-11,4,14.64 USD,58.54 USD
2015-07-12,2,16.40 USD,32.80 USD
2015-07-13,3,19.50 USD,58.50 USD
2015-07-14,1,14.73 USD,14.73 USD
2015-07-15,4,21.48 USD,85.91 USD
2015-07-16,2,103.22 USD,206.43 USD
2015-07-17,0,0.00 USD,0.00 USD
2015-07-18,2,19.53 USD,39.06 USD
2015-07-19,2,27.65 USD,55.30 USD
2015-07-20,2,15.10 USD,30.20 USD
2015-07-21,2,21.74 USD,43.47 USD
2015-07-22,2,148.04 USD,296.08 USD
2015-07-23,3,14.47 USD,43.42 USD
2015-07-24,0,0.00 USD,0.00 USD
2015-07-25,3,22.28 USD,66.85 USD
2015-07-26,1,28.35 USD,28.35 USD
2015-07-27,1,100.61 USD,100.61 USD
2015-07-28,0,0.00 USD,0.00 USD
2015-07-29,0,0.00 USD,0.00 USD
2015-07-30,0,0.00 USD,0.00 USD
2015-07-31,2,34.50 USD,69.00 USD
2015-08-01,4,31.36 USD,125.43 USD
2015-08-02,1,30.77 USD,30.77 USD
2015-08-03,3,33.02 USD,99.06 USD
2015-08-04,4,28.16 USD,112.63 USD
2015-08-05,1,14.06 USD,14.06 USD
2015-08-06,0,0.00 USD,0.00 USD
2015-08-07,2,64.62 USD,129.24 USD
2015-08-08,0,0.00 USD,0.00 USD
2015-08-09,0,0.00 USD,0.00 USD
2015-08-10,0,0.00 USD,0.00 USD
2015-08-11,4,16.05 USD,64.21 USD
2015-08-12,2,242.58 USD,485.15 USD
2015-08-13,1,19.16 USD,19.16 USD
2015-08-14,3,86.18 USD,258.54 USD
2015-08-15,0,0.00 USD,0.00 USD
2015-08-16,0,0.00 USD,0.00 USD
2015-08-17,1,21.35 USD,21.35 USD
2015-08-18,1,20.65 USD,20.65 USD
2015-08-19,0,0.00 USD,0.00 USD
2015-08-20,0,0.00 USD,0.00 USD
2015-08-21,2,16.11 USD,32.22 USD
2015-08-22,2,76.26 USD,152.52 USD
2015-08-23,2,114.77 USD,229.54 USD
2015-08-24,1,21.26 USD,21.26 USD
2015-08-25,2,41.70 USD,83.39 USD
2015-08-26,1,40.86 USD,40.86 USD
2015-08-27,0,0.00 USD,0.00 USD
2015-08-28,0,0.00 USD,0.00 USD
2015-08-29,0,0.00 USD,0.00 USD
2015-08-30,0,0.00 USD,0.00 USD
2015-08-31,1,22.17 USD,22.17 USD
2015-09-01,1,50.34 USD,50.34 USD
2015-09-02,1,21.81 USD,21.81 USD
2015-09-03,1,23.78 USD,23.78 USD
2015-09-04,2,59.37 USD,118.73 USD
2015-09-05,2,55.49 USD,110.98 USD
2015-09-06,3,83.68 USD,251.04 USD
2015-09-07,2,29.81 USD,59.61 USD
2015-09-08,0,0.00 USD,0.00 USD
2015-09-09,0,0.00 USD,0.00 USD
2015-09-10,2,18.26 USD,36.51 USD
2015-09-11,0,0.00 USD,0.00 USD
2015-09-12,2,33.82 USD,67.63 USD
2015-09-13,1,26.83 USD,26.83 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,0,0.00 USD,0.00 USD
2015-10-10,3,31.51 USD,94.54 USD
2015-10-11,1,20.51 USD,20.51 USD
2015-10-12,0,0.00 USD,0.00 USD
2015-10-13,3,20.44 USD,61.31 USD
2015-10-14,2,28.43 USD,56.86 USD
2015-10-15,0,0.00 USD,0.00 USD
2015-10-16,1,20.46 USD,20.46 USD
2015-10-17,2,22.87 USD,45.74 USD
2015-10-18,4,291.23 USD,1164.93 USD
2015-10-19,1,23.22 USD,23.22 USD
2015-10-20,2,27.17 USD,54.34 USD
