This file was downloaded on March 13 2018 7:45:12 PM UTC-07:00
Keywords,mattress
Date Range,2015-03-12 - 2018-03-11
Buyer Country: ,AU
Category: ,Mattresses
Product Condition: ,New
Listing Format: ,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-12,114,58.62 USD,6682.94 USD
2015-03-13,95,66.46 USD,6313.42 USD
2015-03-14,105,54.51 USD,5723.79 USD
2015-03-15,138,62.29 USD,8595.80 USD
2015-03-16,112,50.73 USD,5681.76 USD
2015-03-17,126,52.15 USD,6571.21 USD
2015-03-18,93,68.54 USD,6373.88 USD
2015-03-19,119,72.13 USD,8583.80 USD
2015-03-20,89,88.07 USD,7838.47 USD
2015-03-21,112,55.24 USD,6186.90 USD
2015-03-22,169,45.56 USD,7699.37 USD
2015-03-23,120,69.79 USD,8374.31 USD
2015-03-24,99,49.76 USD,4926.52 USD
2015-03-25,92,58.77 USD,5406.81 USD
2015-03-26,91,58.22 USD,5297.62 USD
2015-03-27,63,55.20 USD,3477.62 USD
2015-03-28,95,62.80 USD,5965.64 USD
2015-03-29,141,64.60 USD,9108.42 USD
2015-03-30,107,48.40 USD,5178.60 USD
2015-03-31,75,69.42 USD,5206.85 USD
2015-04-01,94,71.58 USD,6728.48 USD
2015-04-02,79,46.16 USD,3646.66 USD
2015-04-03,63,56.05 USD,3530.89 USD
2015-04-04,64,35.35 USD,2262.12 USD
2015-04-05,85,62.69 USD,5329.05 USD
2015-04-06,141,57.14 USD,8057.28 USD
2015-04-07,97,99.63 USD,9663.88 USD
2015-04-08,116,59.69 USD,6924.31 USD
2015-04-09,97,88.72 USD,8605.76 USD
2015-04-10,79,60.38 USD,4770.31 USD
2015-04-11,102,87.39 USD,8913.90 USD
2015-04-12,112,66.70 USD,7469.93 USD
2015-04-13,104,73.77 USD,7672.04 USD
2015-04-14,90,61.45 USD,5530.65 USD
2015-04-15,96,80.12 USD,7691.60 USD
2015-04-16,97,57.45 USD,5572.61 USD
2015-04-17,65,59.11 USD,3842.10 USD
2015-04-18,115,61.40 USD,7060.85 USD
2015-04-19,124,47.73 USD,5918.62 USD
2015-04-20,93,62.89 USD,5848.47 USD
2015-04-21,109,66.35 USD,7231.87 USD
2015-04-22,91,70.27 USD,6395.01 USD
2015-04-23,107,60.73 USD,6497.58 USD
2015-04-24,97,48.92 USD,4745.38 USD
2015-04-25,103,58.32 USD,6007.27 USD
2015-04-26,142,61.19 USD,8688.41 USD
2015-04-27,102,43.62 USD,4448.78 USD
2015-04-28,118,58.43 USD,6895.17 USD
2015-04-29,76,68.97 USD,5241.80 USD
2015-04-30,98,46.09 USD,4516.47 USD
2015-05-01,114,36.11 USD,4116.15 USD
2015-05-02,109,51.77 USD,5643.46 USD
2015-05-03,134,71.00 USD,9513.83 USD
2015-05-04,106,51.84 USD,5495.28 USD
2015-05-05,105,85.63 USD,8991.44 USD
2015-05-06,95,61.98 USD,5887.67 USD
2015-05-07,90,69.02 USD,6211.77 USD
2015-05-08,113,61.89 USD,6993.63 USD
2015-05-09,64,45.60 USD,2918.35 USD
2015-05-10,127,65.33 USD,8296.94 USD
2015-05-11,110,56.93 USD,6262.01 USD
2015-05-12,99,77.19 USD,7641.45 USD
2015-05-13,102,73.84 USD,7532.05 USD
2015-05-14,50,75.83 USD,3791.32 USD
2015-05-15,71,47.34 USD,3361.08 USD
2015-05-16,108,68.28 USD,7374.26 USD
2015-05-17,127,56.43 USD,7166.53 USD
2015-05-18,115,61.12 USD,7028.71 USD
2015-05-19,126,49.02 USD,6176.75 USD
2015-05-20,110,67.94 USD,7473.36 USD
2015-05-21,114,49.57 USD,5650.43 USD
2015-05-22,90,57.73 USD,5196.09 USD
2015-05-23,87,44.52 USD,3873.20 USD
2015-05-24,104,64.83 USD,6742.24 USD
2015-05-25,123,69.30 USD,8523.94 USD
2015-05-26,128,82.58 USD,10570.21 USD
2015-05-27,121,77.88 USD,9424.06 USD
2015-05-28,117,80.56 USD,9425.73 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,132,55.80 USD,7365.10 USD
2015-05-31,112,64.53 USD,7227.46 USD
2015-06-01,129,64.41 USD,8309.17 USD
2015-06-02,167,41.88 USD,6994.31 USD
2015-06-03,79,70.32 USD,5555.06 USD
2015-06-04,98,66.23 USD,6490.79 USD
2015-06-05,95,40.00 USD,3799.95 USD
2015-06-06,68,52.95 USD,3600.87 USD
2015-06-07,114,64.51 USD,7354.05 USD
2015-06-08,148,70.91 USD,10495.15 USD
2015-06-09,120,66.85 USD,8021.96 USD
2015-06-10,112,74.32 USD,8324.34 USD
2015-06-11,108,68.42 USD,7389.73 USD
2015-06-12,86,64.15 USD,5516.72 USD
2015-06-13,128,61.56 USD,7879.48 USD
2015-06-14,158,64.91 USD,10256.16 USD
2015-06-15,125,49.20 USD,6149.87 USD
2015-06-16,138,60.73 USD,8380.20 USD
2015-06-17,115,74.33 USD,8547.44 USD
2015-06-18,95,75.05 USD,7129.99 USD
2015-06-19,101,55.99 USD,5654.73 USD
2015-06-20,108,56.82 USD,6136.03 USD
2015-06-21,131,99.34 USD,13013.69 USD
2015-06-22,131,62.68 USD,8210.89 USD
2015-06-23,111,66.79 USD,7413.37 USD
2015-06-24,118,66.95 USD,7900.27 USD
2015-06-25,123,75.58 USD,9296.69 USD
2015-06-26,79,61.57 USD,4863.65 USD
2015-06-27,110,60.59 USD,6664.69 USD
2015-06-28,156,55.57 USD,8669.35 USD
2015-06-29,129,72.03 USD,9291.41 USD
2015-06-30,105,69.36 USD,7282.48 USD
2015-07-01,111,65.61 USD,7282.47 USD
2015-07-02,128,63.92 USD,8181.78 USD
2015-07-03,93,59.15 USD,5500.87 USD
2015-07-04,104,59.50 USD,6188.16 USD
2015-07-05,145,55.08 USD,7986.39 USD
2015-07-06,116,68.41 USD,7935.20 USD
2015-07-07,103,57.53 USD,5925.16 USD
2015-07-08,137,53.45 USD,7322.28 USD
2015-07-09,154,71.54 USD,11017.37 USD
2015-07-10,112,68.48 USD,7669.65 USD
2015-07-11,123,81.22 USD,9990.62 USD
2015-07-12,154,71.30 USD,10979.88 USD
2015-07-13,147,63.04 USD,9266.95 USD
2015-07-14,179,80.01 USD,14322.18 USD
2015-07-15,174,72.16 USD,12556.69 USD
2015-07-16,133,83.00 USD,11038.71 USD
2015-07-17,117,57.06 USD,6676.45 USD
2015-07-18,133,78.67 USD,10463.17 USD
2015-07-19,159,68.14 USD,10834.01 USD
2015-07-20,158,70.99 USD,11216.72 USD
2015-07-21,161,77.17 USD,12423.76 USD
2015-07-22,135,80.19 USD,10825.76 USD
2015-07-23,157,70.51 USD,11069.36 USD
2015-07-24,132,62.08 USD,8194.68 USD
2015-07-25,136,65.72 USD,8937.88 USD
