This file was downloaded on March 13 2018 7:46:41 PM UTC-07:00
Keywords,New_wardrobe
Date Range,2015-03-12 - 2018-03-11
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-12,28,60.21 USD,1685.82 USD
2015-03-13,31,70.12 USD,2173.63 USD
2015-03-14,20,69.80 USD,1395.96 USD
2015-03-15,39,33.67 USD,1313.18 USD
2015-03-16,21,59.58 USD,1251.25 USD
2015-03-17,21,58.08 USD,1219.65 USD
2015-03-18,29,59.58 USD,1727.68 USD
2015-03-19,25,73.88 USD,1846.96 USD
2015-03-20,22,63.34 USD,1393.47 USD
2015-03-21,16,48.29 USD,772.66 USD
2015-03-22,26,66.07 USD,1717.75 USD
2015-03-23,32,53.77 USD,1720.74 USD
2015-03-24,31,63.47 USD,1967.65 USD
2015-03-25,7,64.08 USD,448.56 USD
2015-03-26,27,64.55 USD,1742.92 USD
2015-03-27,31,61.85 USD,1917.37 USD
2015-03-28,25,46.10 USD,1152.58 USD
2015-03-29,27,53.83 USD,1453.33 USD
2015-03-30,34,81.09 USD,2757.18 USD
2015-03-31,25,37.40 USD,935.02 USD
2015-04-01,28,52.70 USD,1475.67 USD
2015-04-02,16,128.92 USD,2062.70 USD
2015-04-03,17,34.18 USD,580.98 USD
2015-04-04,18,64.92 USD,1168.53 USD
2015-04-05,24,59.87 USD,1436.97 USD
2015-04-06,24,80.06 USD,1921.37 USD
2015-04-07,26,71.78 USD,1866.28 USD
2015-04-08,27,46.47 USD,1254.76 USD
2015-04-09,14,107.38 USD,1503.25 USD
2015-04-10,23,51.83 USD,1192.16 USD
2015-04-11,27,67.10 USD,1811.61 USD
2015-04-12,15,35.63 USD,534.45 USD
2015-04-13,40,33.49 USD,1339.79 USD
2015-04-14,31,90.78 USD,2814.12 USD
2015-04-15,22,38.31 USD,842.86 USD
2015-04-16,23,35.19 USD,809.48 USD
2015-04-17,16,211.36 USD,3381.68 USD
2015-04-18,14,49.70 USD,695.86 USD
2015-04-19,21,50.24 USD,1055.14 USD
