This file was downloaded on February 25 2018 11:14:41 PM UTC-08:00
Keywords,bench
Date Range,2015-02-24 - 2018-02-24
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-02-24,1,153.97 USD,153.97 USD
2015-02-25,11,232.08 USD,2552.93 USD
2015-02-26,11,137.32 USD,1510.54 USD
2015-02-27,11,147.03 USD,1617.32 USD
2015-02-28,14,167.99 USD,2351.92 USD
2015-03-01,20,153.53 USD,3070.69 USD
2015-03-02,8,140.57 USD,1124.54 USD
2015-03-03,12,135.94 USD,1631.22 USD
2015-03-04,9,132.96 USD,1196.62 USD
2015-03-05,12,147.04 USD,1764.52 USD
2015-03-06,11,121.32 USD,1334.55 USD
2015-03-07,17,87.02 USD,1479.36 USD
2015-03-08,17,145.42 USD,2472.15 USD
2015-03-09,11,105.05 USD,1155.57 USD
2015-03-10,18,67.55 USD,1215.91 USD
2015-03-11,13,194.85 USD,2533.11 USD
2015-03-12,5,101.73 USD,508.65 USD
2015-03-13,3,128.13 USD,384.40 USD
2015-03-14,15,89.41 USD,1341.12 USD
2015-03-15,19,121.43 USD,2307.24 USD
2015-03-16,12,78.15 USD,937.80 USD
2015-03-17,21,208.50 USD,4378.60 USD
2015-03-18,15,85.30 USD,1279.44 USD
2015-03-19,11,255.61 USD,2811.76 USD
2015-03-20,12,140.42 USD,1685.05 USD
2015-03-21,15,112.89 USD,1693.38 USD
2015-03-22,21,145.72 USD,3060.22 USD
2015-03-23,19,124.40 USD,2363.53 USD
2015-03-24,15,96.39 USD,1445.85 USD
2015-03-25,12,96.91 USD,1162.92 USD
2015-03-26,6,127.69 USD,766.14 USD
2015-03-27,9,72.84 USD,655.55 USD
2015-03-28,19,104.53 USD,1986.00 USD
2015-03-29,8,73.75 USD,589.98 USD
2015-03-30,12,140.04 USD,1680.53 USD
2015-03-31,8,111.26 USD,890.10 USD
2015-04-01,6,70.77 USD,424.63 USD
2015-04-02,6,93.28 USD,559.68 USD
2015-04-03,8,84.46 USD,675.68 USD
2015-04-04,10,78.14 USD,781.35 USD
2015-04-05,16,107.85 USD,1725.63 USD
2015-04-06,18,166.20 USD,2991.57 USD
2015-04-07,17,96.51 USD,1640.71 USD
2015-04-08,14,128.99 USD,1805.89 USD
2015-04-09,13,131.96 USD,1715.48 USD
2015-04-10,7,97.14 USD,679.98 USD
2015-04-11,14,111.95 USD,1567.32 USD
2015-04-12,18,89.81 USD,1616.51 USD
2015-04-13,9,133.82 USD,1204.40 USD
2015-04-14,8,168.46 USD,1347.66 USD
2015-04-15,4,77.04 USD,308.15 USD
2015-04-16,10,44.17 USD,441.65 USD
2015-04-17,16,111.97 USD,1791.54 USD
2015-04-18,7,80.24 USD,561.66 USD
2015-04-19,7,167.58 USD,1173.04 USD
2015-04-20,17,136.22 USD,2315.70 USD
2015-04-21,14,91.56 USD,1281.83 USD
2015-04-22,10,147.54 USD,1475.43 USD
2015-04-23,8,293.98 USD,2351.81 USD
2015-04-24,8,105.09 USD,840.71 USD
2015-04-25,14,104.49 USD,1462.88 USD
2015-04-26,20,100.41 USD,2008.25 USD
2015-04-27,10,88.63 USD,886.25 USD
2015-04-28,16,125.56 USD,2008.90 USD
2015-04-29,10,112.12 USD,1121.19 USD
2015-04-30,21,124.10 USD,2606.02 USD
2015-05-01,6,138.70 USD,832.22 USD
2015-05-02,4,89.29 USD,357.14 USD
2015-05-03,18,105.47 USD,1898.46 USD
2015-05-04,11,135.92 USD,1495.08 USD
2015-05-05,6,152.74 USD,916.44 USD
2015-05-06,12,96.71 USD,1160.57 USD
2015-05-07,9,117.49 USD,1057.39 USD
2015-05-08,10,127.08 USD,1270.84 USD
2015-05-09,17,109.19 USD,1856.19 USD
2015-05-10,16,112.74 USD,1803.77 USD
2015-05-11,12,159.39 USD,1912.69 USD
2015-05-12,6,153.86 USD,923.17 USD
2015-05-13,8,125.43 USD,1003.40 USD
