This file was downloaded on February 26 2018 1:18:37 PM UTC-08:00
Keywords,carpet
Date Range,2015-02-24 - 2018-02-24
Buyer Country: ,AU
Category: ,Rugs & Carpets
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-02-24,2,85.96 USD,171.92 USD
2015-02-25,43,84.20 USD,3620.76 USD
2015-02-26,44,81.14 USD,3570.10 USD
2015-02-27,30,96.92 USD,2907.48 USD
2015-02-28,53,64.52 USD,3419.43 USD
2015-03-01,49,98.32 USD,4817.87 USD
2015-03-02,65,63.22 USD,4109.22 USD
2015-03-03,89,53.28 USD,4742.31 USD
2015-03-04,40,71.33 USD,2853.30 USD
2015-03-05,46,124.40 USD,5722.51 USD
2015-03-06,35,73.80 USD,2583.06 USD
2015-03-07,48,58.28 USD,2797.61 USD
2015-03-08,37,96.62 USD,3575.02 USD
2015-03-09,47,99.72 USD,4686.72 USD
2015-03-10,32,90.20 USD,2886.54 USD
2015-03-11,40,69.58 USD,2783.07 USD
2015-03-12,33,141.89 USD,4682.39 USD
2015-03-13,100,38.06 USD,3806.34 USD
2015-03-14,41,124.71 USD,5113.20 USD
2015-03-15,44,82.44 USD,3627.34 USD
2015-03-16,122,44.31 USD,5405.69 USD
2015-03-17,95,54.22 USD,5151.15 USD
2015-03-18,44,63.07 USD,2775.10 USD
2015-03-19,76,27.10 USD,2059.74 USD
2015-03-20,81,39.00 USD,3158.78 USD
2015-03-21,59,50.96 USD,3006.66 USD
2015-03-22,51,84.20 USD,4294.17 USD
2015-03-23,40,96.42 USD,3856.75 USD
2015-03-24,48,85.71 USD,4113.89 USD
2015-03-25,35,102.14 USD,3574.83 USD
2015-03-26,46,83.78 USD,3853.81 USD
2015-03-27,46,97.69 USD,4493.65 USD
2015-03-28,57,74.10 USD,4223.60 USD
2015-03-29,250,26.73 USD,6681.67 USD
2015-03-30,75,52.73 USD,3954.74 USD
2015-03-31,55,61.91 USD,3405.15 USD
2015-04-01,34,94.75 USD,3221.45 USD
2015-04-02,49,78.70 USD,3856.40 USD
2015-04-03,31,79.37 USD,2460.46 USD
2015-04-04,27,86.51 USD,2335.74 USD
2015-04-05,53,61.70 USD,3269.98 USD
2015-04-06,86,60.55 USD,5207.26 USD
2015-04-07,38,85.33 USD,3242.56 USD
2015-04-08,43,103.56 USD,4453.25 USD
2015-04-09,43,85.83 USD,3690.81 USD
2015-04-10,37,72.60 USD,2686.25 USD
2015-04-11,36,93.95 USD,3382.14 USD
2015-04-12,59,80.74 USD,4763.90 USD
2015-04-13,30,96.17 USD,2885.20 USD
2015-04-14,53,98.05 USD,5196.77 USD
2015-04-15,92,37.03 USD,3406.56 USD
2015-04-16,94,42.32 USD,3978.31 USD
2015-04-17,32,85.13 USD,2724.07 USD
2015-04-18,59,62.57 USD,3691.89 USD
2015-04-19,149,41.66 USD,6207.29 USD
2015-04-20,56,85.02 USD,4761.17 USD
2015-04-21,52,84.80 USD,4409.65 USD
2015-04-22,58,81.48 USD,4725.82 USD
2015-04-23,52,56.40 USD,2932.81 USD
2015-04-24,45,74.71 USD,3362.13 USD
