This file was downloaded on March 14 2018 12:46:15 AM UTC-07:00
Keywords,furniture
Date Range,2015-03-13 - 2018-03-11
Buyer Country: ,AU
Category: ,Home & Garden
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-13,156,89.58 USD,13975.25 USD
2015-03-14,204,81.12 USD,16548.44 USD
2015-03-15,186,92.51 USD,17207.61 USD
2015-03-16,173,96.50 USD,16693.70 USD
2015-03-17,229,68.65 USD,15720.24 USD
2015-03-18,165,90.54 USD,14939.46 USD
2015-03-19,174,90.41 USD,15730.80 USD
2015-03-20,153,83.14 USD,12719.70 USD
2015-03-21,176,92.90 USD,16350.04 USD
2015-03-22,216,92.75 USD,20034.08 USD
2015-03-23,234,87.25 USD,20417.52 USD
2015-03-24,200,86.41 USD,17282.10 USD
2015-03-25,173,101.63 USD,17581.31 USD
2015-03-26,162,106.71 USD,17287.82 USD
2015-03-27,97,103.79 USD,10067.81 USD
2015-03-28,157,106.24 USD,16679.94 USD
2015-03-29,179,145.74 USD,26088.16 USD
2015-03-30,179,105.42 USD,18869.38 USD
2015-03-31,119,96.41 USD,11473.16 USD
2015-04-01,175,85.74 USD,15004.65 USD
2015-04-02,157,59.11 USD,9279.78 USD
2015-04-03,155,93.76 USD,14532.46 USD
2015-04-04,173,92.51 USD,16003.65 USD
2015-04-05,205,61.84 USD,12677.06 USD
2015-04-06,241,98.29 USD,23688.14 USD
2015-04-07,202,105.98 USD,21407.34 USD
2015-04-08,196,93.31 USD,18288.52 USD
2015-04-09,144,100.34 USD,14448.70 USD
2015-04-10,150,101.95 USD,15292.32 USD
2015-04-11,174,82.28 USD,14316.71 USD
2015-04-12,221,72.67 USD,16059.18 USD
2015-04-13,242,79.59 USD,19261.98 USD
2015-04-14,161,96.78 USD,15581.14 USD
2015-04-15,174,88.41 USD,15382.91 USD
2015-04-16,161,84.59 USD,13618.27 USD
2015-04-17,139,94.21 USD,13094.93 USD
2015-04-18,264,59.70 USD,15759.61 USD
2015-04-19,205,88.32 USD,18106.23 USD
2015-04-20,206,84.58 USD,17422.73 USD
2015-04-21,143,58.76 USD,8402.72 USD
2015-04-22,191,104.14 USD,19890.52 USD
2015-04-23,145,106.94 USD,15506.87 USD
2015-04-24,170,78.34 USD,13317.60 USD
2015-04-25,155,107.45 USD,16655.37 USD
2015-04-26,207,85.36 USD,17670.47 USD
2015-04-27,189,100.21 USD,18940.49 USD
2015-04-28,199,79.65 USD,15849.47 USD
2015-04-29,180,85.51 USD,15392.69 USD
2015-04-30,163,77.31 USD,12601.54 USD
2015-05-01,143,98.40 USD,14071.49 USD
2015-05-02,135,94.46 USD,12752.68 USD
2015-05-03,202,99.75 USD,20150.24 USD
2015-05-04,217,105.94 USD,22987.97 USD
2015-05-05,167,122.41 USD,20442.77 USD
2015-05-06,221,99.39 USD,21964.49 USD
2015-05-07,165,73.75 USD,12169.54 USD
2015-05-08,148,87.14 USD,12896.67 USD
2015-05-09,202,103.31 USD,20869.51 USD
2015-05-10,185,101.05 USD,18693.65 USD
2015-05-11,209,99.97 USD,20893.91 USD
2015-05-12,174,74.91 USD,13033.54 USD
2015-05-13,130,138.90 USD,18057.04 USD
2015-05-14,162,87.82 USD,14226.05 USD
2015-05-15,161,98.87 USD,15918.66 USD
2015-05-16,145,74.46 USD,10796.76 USD
2015-05-17,228,101.55 USD,23154.24 USD
2015-05-18,197,75.49 USD,14871.33 USD
2015-05-19,161,99.04 USD,15946.18 USD
2015-05-20,150,95.54 USD,14331.10 USD
2015-05-21,143,99.64 USD,14248.22 USD
2015-05-22,173,128.71 USD,22266.48 USD
2015-05-23,208,62.58 USD,13016.31 USD
2015-05-24,197,90.94 USD,17914.76 USD
2015-05-25,265,78.92 USD,20913.42 USD
2015-05-26,228,65.24 USD,14875.64 USD
2015-05-27,201,59.14 USD,11887.08 USD
2015-05-28,147,91.54 USD,13455.87 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,202,69.11 USD,13959.26 USD
2015-05-31,196,82.76 USD,16220.91 USD
2015-06-01,120,120.11 USD,14413.01 USD
2015-06-02,136,91.82 USD,12487.52 USD
2015-06-03,120,142.24 USD,17068.62 USD
2015-06-04,130,95.59 USD,12426.62 USD
