This file was downloaded on March 13 2018 6:37:13 PM UTC-07:00
Keywords,bookshelf
Date Range,2015-03-12 - 2018-03-11
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-12,5,38.96 USD,194.81 USD
2015-03-13,7,76.04 USD,532.27 USD
2015-03-14,8,62.00 USD,496.03 USD
2015-03-15,7,60.37 USD,422.60 USD
2015-03-16,4,49.40 USD,197.59 USD
2015-03-17,8,55.28 USD,442.27 USD
2015-03-18,6,58.45 USD,350.71 USD
2015-03-19,4,48.01 USD,192.02 USD
2015-03-20,12,42.32 USD,507.81 USD
2015-03-21,2,60.53 USD,121.06 USD
2015-03-22,4,63.03 USD,252.13 USD
2015-03-23,4,35.69 USD,142.76 USD
2015-03-24,7,46.18 USD,323.26 USD
2015-03-25,7,28.43 USD,199.03 USD
2015-03-26,6,53.13 USD,318.76 USD
2015-03-27,4,43.89 USD,175.55 USD
2015-03-28,3,43.90 USD,131.70 USD
2015-03-29,8,52.86 USD,422.90 USD
2015-03-30,10,43.70 USD,436.98 USD
2015-03-31,4,24.25 USD,96.99 USD
2015-04-01,3,112.80 USD,338.40 USD
2015-04-02,6,229.95 USD,1379.72 USD
2015-04-03,15,56.46 USD,846.90 USD
2015-04-04,5,42.56 USD,212.78 USD
2015-04-05,3,52.26 USD,156.77 USD
2015-04-06,14,81.44 USD,1140.19 USD
2015-04-07,4,93.83 USD,375.33 USD
2015-04-08,3,65.00 USD,195.01 USD
2015-04-09,4,41.95 USD,167.78 USD
2015-04-10,4,26.36 USD,105.44 USD
2015-04-11,14,39.93 USD,559.07 USD
2015-04-12,10,54.21 USD,542.14 USD
2015-04-13,8,41.26 USD,330.06 USD
2015-04-14,6,25.03 USD,150.18 USD
2015-04-15,8,73.93 USD,591.46 USD
2015-04-16,2,39.16 USD,78.32 USD
2015-04-17,8,29.86 USD,238.86 USD
2015-04-18,10,43.81 USD,438.05 USD
2015-04-19,9,111.44 USD,1002.93 USD
2015-04-20,14,50.97 USD,713.55 USD
2015-04-21,0,0.00 USD,0.00 USD
2015-04-22,8,41.99 USD,335.89 USD
2015-04-23,6,99.97 USD,599.82 USD
2015-04-24,10,40.83 USD,408.32 USD
2015-04-25,8,76.72 USD,613.73 USD
2015-04-26,13,102.00 USD,1326.01 USD
2015-04-27,6,145.27 USD,871.60 USD
2015-04-28,18,73.02 USD,1314.39 USD
2015-04-29,16,78.98 USD,1263.62 USD
2015-04-30,10,111.64 USD,1116.35 USD
2015-05-01,3,49.13 USD,147.40 USD
2015-05-02,6,44.51 USD,267.07 USD
2015-05-03,9,52.92 USD,476.26 USD
2015-05-04,19,53.13 USD,1009.55 USD
2015-05-05,4,60.22 USD,240.86 USD
2015-05-06,1,19.83 USD,19.83 USD
2015-05-07,9,47.75 USD,429.76 USD
2015-05-08,11,40.69 USD,447.57 USD
2015-05-09,7,52.65 USD,368.56 USD
2015-05-10,8,86.82 USD,694.56 USD
2015-05-11,5,45.74 USD,228.69 USD
2015-05-12,11,63.13 USD,694.48 USD
2015-05-13,13,35.40 USD,460.18 USD
2015-05-14,10,57.81 USD,578.06 USD
2015-05-15,7,36.70 USD,256.92 USD
2015-05-16,15,66.46 USD,996.87 USD
2015-05-17,5,37.51 USD,187.55 USD
2015-05-18,11,62.51 USD,687.60 USD
2015-05-19,17,51.30 USD,872.16 USD
2015-05-20,9,51.38 USD,462.41 USD
2015-05-21,8,81.80 USD,654.40 USD
2015-05-22,4,66.94 USD,267.77 USD
2015-05-23,9,36.71 USD,330.42 USD
2015-05-24,22,61.51 USD,1353.24 USD
2015-05-25,10,76.35 USD,763.53 USD
2015-05-26,13,60.41 USD,785.36 USD
2015-05-27,13,53.58 USD,696.56 USD
2015-05-28,7,47.91 USD,335.38 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,7,34.65 USD,242.53 USD
2015-05-31,21,61.25 USD,1286.32 USD
2015-06-01,12,47.82 USD,573.88 USD
2015-06-02,9,47.87 USD,430.79 USD
2015-06-03,7,49.79 USD,348.53 USD
2015-06-04,11,53.16 USD,584.75 USD
2015-06-05,5,33.44 USD,167.22 USD
2015-06-06,3,55.92 USD,167.76 USD
2015-06-07,5,43.45 USD,217.27 USD
2015-06-08,13,40.50 USD,526.49 USD
2015-06-09,3,48.32 USD,144.96 USD
2015-06-10,5,43.33 USD,216.67 USD
2015-06-11,12,62.76 USD,753.12 USD
2015-06-12,4,53.05 USD,212.19 USD
2015-06-13,9,46.30 USD,416.73 USD
2015-06-14,14,66.98 USD,937.71 USD
2015-06-15,16,60.23 USD,963.75 USD
2015-06-16,10,36.19 USD,361.88 USD
2015-06-17,6,39.58 USD,237.50 USD
2015-06-18,6,137.48 USD,824.86 USD
2015-06-19,8,95.26 USD,762.09 USD
2015-06-20,7,66.23 USD,463.62 USD
2015-06-21,17,29.47 USD,501.01 USD
2015-06-22,11,44.85 USD,493.40 USD
2015-06-23,10,86.17 USD,861.73 USD
2015-06-24,9,46.09 USD,414.85 USD
2015-06-25,10,50.10 USD,500.97 USD
2015-06-26,5,73.64 USD,368.22 USD
2015-06-27,2,121.90 USD,243.80 USD
2015-06-28,7,46.54 USD,325.79 USD
2015-06-29,8,72.68 USD,581.45 USD
2015-06-30,4,46.46 USD,185.83 USD
2015-07-01,10,65.83 USD,658.34 USD
2015-07-02,7,69.31 USD,485.15 USD
2015-07-03,11,51.38 USD,565.16 USD
2015-07-04,13,63.39 USD,824.08 USD
2015-07-05,9,57.09 USD,513.85 USD
2015-07-06,9,71.27 USD,641.41 USD
2015-07-07,16,35.38 USD,566.10 USD
2015-07-08,7,41.16 USD,288.13 USD
2015-07-09,7,71.80 USD,502.62 USD
2015-07-10,10,48.38 USD,483.77 USD
2015-07-11,11,47.63 USD,523.96 USD
2015-07-12,2,51.93 USD,103.86 USD
2015-07-13,9,86.37 USD,777.29 USD
2015-07-14,14,54.48 USD,762.71 USD
2015-07-15,7,50.50 USD,353.52 USD
2015-07-16,19,30.81 USD,585.36 USD
2015-07-17,11,90.56 USD,996.19 USD
2015-07-18,12,55.51 USD,666.10 USD
2015-07-19,10,37.95 USD,379.48 USD
2015-07-20,8,32.22 USD,257.77 USD
2015-07-21,9,46.71 USD,420.38 USD
2015-07-22,6,29.00 USD,173.98 USD
2015-07-23,8,29.02 USD,232.14 USD
2015-07-24,7,50.20 USD,351.43 USD
2015-07-25,3,43.41 USD,130.22 USD
2015-07-26,8,64.77 USD,518.15 USD
2015-07-27,7,65.35 USD,457.46 USD
2015-07-28,11,55.43 USD,609.70 USD
2015-07-29,8,68.66 USD,549.25 USD
2015-07-30,6,116.19 USD,697.15 USD
2015-07-31,10,30.52 USD,305.18 USD
2015-08-01,9,44.12 USD,397.08 USD
2015-08-02,11,61.62 USD,677.82 USD
2015-08-03,12,76.27 USD,915.19 USD
2015-08-04,13,46.01 USD,598.19 USD
2015-08-05,4,37.26 USD,149.05 USD
2015-08-06,5,76.64 USD,383.20 USD
2015-08-07,10,65.96 USD,659.58 USD
2015-08-08,10,23.97 USD,239.70 USD
2015-08-09,6,43.06 USD,258.34 USD
2015-08-10,7,54.10 USD,378.72 USD
2015-08-11,7,57.47 USD,402.29 USD
2015-08-12,15,45.41 USD,681.08 USD
2015-08-13,7,69.99 USD,489.90 USD
2015-08-14,8,42.63 USD,341.05 USD
2015-08-15,3,42.39 USD,127.18 USD
2015-08-16,12,29.03 USD,348.37 USD
2015-08-17,10,60.12 USD,601.22 USD
2015-08-18,9,57.15 USD,514.39 USD
2015-08-19,6,50.29 USD,301.71 USD
2015-08-20,5,47.20 USD,236.00 USD
2015-08-21,6,79.32 USD,475.89 USD
2015-08-22,8,67.33 USD,538.63 USD
2015-08-23,7,116.08 USD,812.59 USD
2015-08-24,10,36.74 USD,367.39 USD
2015-08-25,9,47.46 USD,427.16 USD
2015-08-26,13,37.65 USD,489.44 USD
2015-08-27,5,49.48 USD,247.42 USD
2015-08-28,5,84.84 USD,424.20 USD
2015-08-29,4,66.78 USD,267.11 USD
2015-08-30,7,220.42 USD,1542.92 USD
2015-08-31,4,60.64 USD,242.54 USD
2015-09-01,6,41.51 USD,249.05 USD
2015-09-02,6,42.96 USD,257.73 USD
2015-09-03,2,41.67 USD,83.33 USD
2015-09-04,5,15.10 USD,75.50 USD
2015-09-05,6,33.67 USD,202.00 USD
2015-09-06,3,142.30 USD,426.89 USD
2015-09-07,5,95.18 USD,475.88 USD
2015-09-08,4,127.44 USD,509.76 USD
2015-09-09,9,32.80 USD,295.16 USD
2015-09-10,11,35.25 USD,387.78 USD
2015-09-11,4,46.73 USD,186.90 USD
2015-09-12,0,0.00 USD,0.00 USD
2015-09-13,5,61.40 USD,307.01 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,5,330.28 USD,1651.41 USD
2015-10-10,5,68.53 USD,342.64 USD
2015-10-11,11,79.33 USD,872.59 USD
2015-10-12,5,67.85 USD,339.24 USD
2015-10-13,5,44.37 USD,221.84 USD
2015-10-14,3,61.40 USD,184.20 USD
2015-10-15,7,67.35 USD,471.46 USD
2015-10-16,10,94.72 USD,947.23 USD
2015-10-17,10,34.93 USD,349.32 USD
2015-10-18,7,49.47 USD,346.27 USD
2015-10-19,3,28.50 USD,85.50 USD
2015-10-20,12,130.35 USD,1564.24 USD
2015-10-21,5,76.28 USD,381.42 USD
2015-10-22,3,76.22 USD,228.67 USD
2015-10-23,1,39.72 USD,39.72 USD
2015-10-24,4,58.40 USD,233.61 USD
2015-10-25,5,59.25 USD,296.25 USD
2015-10-26,6,55.98 USD,335.85 USD
2015-10-27,4,50.53 USD,202.13 USD
2015-10-28,2,76.17 USD,152.34 USD
2015-10-29,4,50.73 USD,202.93 USD
2015-10-30,3,35.01 USD,105.03 USD
2015-10-31,3,47.01 USD,141.04 USD
2015-11-01,8,60.92 USD,487.32 USD
2015-11-02,3,59.61 USD,178.82 USD
