This file was downloaded on March 13 2018 5:45:41 PM UTC-07:00
Keywords,table
Date Range,2015-03-12 - 2018-03-11
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-12,56,123.20 USD,6899.16 USD
2015-03-13,68,100.70 USD,6847.58 USD
2015-03-14,84,132.61 USD,11139.65 USD
2015-03-15,81,126.20 USD,10222.01 USD
2015-03-16,70,129.53 USD,9066.89 USD
2015-03-17,55,119.38 USD,6565.76 USD
2015-03-18,68,125.08 USD,8505.68 USD
2015-03-19,64,117.82 USD,7540.56 USD
2015-03-20,58,84.36 USD,4892.97 USD
2015-03-21,50,143.85 USD,7192.52 USD
2015-03-22,67,103.40 USD,6927.86 USD
2015-03-23,71,150.62 USD,10693.90 USD
2015-03-24,65,124.26 USD,8076.94 USD
2015-03-25,72,120.90 USD,8704.73 USD
2015-03-26,55,143.25 USD,7878.84 USD
2015-03-27,50,124.00 USD,6199.78 USD
2015-03-28,33,181.96 USD,6004.66 USD
2015-03-29,80,152.87 USD,12229.72 USD
2015-03-30,61,119.27 USD,7275.38 USD
2015-03-31,55,97.57 USD,5366.27 USD
2015-04-01,55,124.53 USD,6849.42 USD
2015-04-02,46,102.93 USD,4734.99 USD
2015-04-03,48,159.71 USD,7666.06 USD
2015-04-04,47,121.71 USD,5720.15 USD
2015-04-05,46,165.90 USD,7631.31 USD
2015-04-06,83,145.54 USD,12079.89 USD
2015-04-07,70,119.81 USD,8386.74 USD
2015-04-08,83,130.19 USD,10805.70 USD
2015-04-09,61,140.28 USD,8557.03 USD
2015-04-10,43,127.42 USD,5478.85 USD
2015-04-11,48,143.17 USD,6871.97 USD
2015-04-12,89,104.26 USD,9278.77 USD
2015-04-13,63,131.14 USD,8261.85 USD
2015-04-14,61,190.34 USD,11610.69 USD
2015-04-15,91,126.39 USD,11501.72 USD
2015-04-16,74,131.71 USD,9746.46 USD
2015-04-17,62,140.26 USD,8696.03 USD
2015-04-18,70,122.59 USD,8581.04 USD
2015-04-19,81,115.25 USD,9335.11 USD
2015-04-20,80,94.75 USD,7580.25 USD
2015-04-21,77,139.26 USD,10722.83 USD
2015-04-22,83,167.43 USD,13896.40 USD
2015-04-23,72,143.34 USD,10320.52 USD
2015-04-24,61,160.87 USD,9813.20 USD
2015-04-25,77,129.77 USD,9992.64 USD
2015-04-26,72,131.11 USD,9439.72 USD
2015-04-27,80,169.61 USD,13568.80 USD
2015-04-28,64,108.51 USD,6944.46 USD
2015-04-29,67,114.65 USD,7681.67 USD
2015-04-30,62,160.98 USD,9980.73 USD
2015-05-01,49,147.45 USD,7224.91 USD
2015-05-02,61,138.39 USD,8441.65 USD
2015-05-03,107,125.53 USD,13431.21 USD
2015-05-04,78,151.45 USD,11813.18 USD
2015-05-05,68,115.41 USD,7847.54 USD
2015-05-06,60,113.64 USD,6818.11 USD
2015-05-07,85,75.33 USD,6403.34 USD
2015-05-08,59,133.06 USD,7850.80 USD
2015-05-09,72,108.13 USD,7785.43 USD
2015-05-10,77,151.44 USD,11660.52 USD
2015-05-11,67,115.89 USD,7764.35 USD
2015-05-12,72,155.74 USD,11213.27 USD
2015-05-13,79,97.60 USD,7710.65 USD
2015-05-14,77,82.53 USD,6354.79 USD
2015-05-15,75,133.30 USD,9997.69 USD
2015-05-16,76,128.55 USD,9769.46 USD
2015-05-17,103,134.94 USD,13899.12 USD
2015-05-18,83,112.78 USD,9360.82 USD
2015-05-19,59,114.24 USD,6740.12 USD
2015-05-20,55,115.11 USD,6331.28 USD
2015-05-21,66,131.36 USD,8669.54 USD
2015-05-22,55,136.74 USD,7520.71 USD
2015-05-23,64,114.89 USD,7352.89 USD
2015-05-24,93,104.66 USD,9733.49 USD
2015-05-25,59,122.54 USD,7229.98 USD
2015-05-26,61,114.01 USD,6954.54 USD
2015-05-27,90,123.35 USD,11101.08 USD
2015-05-28,63,146.85 USD,9251.50 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,68,114.89 USD,7812.30 USD
2015-05-31,79,130.60 USD,10317.11 USD
2015-06-01,63,104.48 USD,6582.47 USD
2015-06-02,63,97.22 USD,6124.98 USD
2015-06-03,59,133.20 USD,7859.00 USD
2015-06-04,79,149.43 USD,11804.64 USD
2015-06-05,39,113.08 USD,4409.94 USD
2015-06-06,69,106.09 USD,7320.29 USD
2015-06-07,66,125.75 USD,8299.56 USD
2015-06-08,85,117.04 USD,9948.37 USD
2015-06-09,55,137.07 USD,7538.99 USD
2015-06-10,82,104.28 USD,8550.98 USD
2015-06-11,57,195.92 USD,11167.20 USD
2015-06-12,65,126.31 USD,8209.99 USD
2015-06-13,63,119.17 USD,7507.48 USD
2015-06-14,120,122.56 USD,14707.01 USD
2015-06-15,79,135.42 USD,10698.09 USD
2015-06-16,70,128.76 USD,9013.49 USD
2015-06-17,65,131.59 USD,8553.34 USD
2015-06-18,61,94.30 USD,5752.60 USD
2015-06-19,46,121.47 USD,5587.82 USD
2015-06-20,75,103.87 USD,7790.16 USD
2015-06-21,82,100.69 USD,8256.66 USD
2015-06-22,51,142.98 USD,7292.00 USD
2015-06-23,87,121.15 USD,10539.75 USD
2015-06-24,70,136.17 USD,9531.72 USD
2015-06-25,72,87.44 USD,6295.52 USD
2015-06-26,69,117.53 USD,8109.59 USD
2015-06-27,71,118.57 USD,8418.31 USD
2015-06-28,103,136.63 USD,14072.76 USD
2015-06-29,70,128.18 USD,8972.55 USD
2015-06-30,99,109.21 USD,10812.03 USD
2015-07-01,72,124.35 USD,8952.93 USD
2015-07-02,80,108.13 USD,8650.42 USD
2015-07-03,100,252.78 USD,25277.72 USD
2015-07-04,70,112.52 USD,7876.61 USD
2015-07-05,89,117.34 USD,10443.41 USD
2015-07-06,86,148.65 USD,12783.84 USD
2015-07-07,94,113.00 USD,10621.68 USD
2015-07-08,110,93.02 USD,10231.83 USD
2015-07-09,95,127.23 USD,12086.71 USD
2015-07-10,64,116.78 USD,7473.87 USD
2015-07-11,70,103.22 USD,7225.69 USD
2015-07-12,116,140.48 USD,16296.15 USD
2015-07-13,96,112.91 USD,10839.15 USD
2015-07-14,82,122.61 USD,10053.80 USD
2015-07-15,89,136.27 USD,12128.33 USD
2015-07-16,72,147.07 USD,10589.16 USD
2015-07-17,81,115.49 USD,9355.05 USD
2015-07-18,94,149.16 USD,14021.22 USD
2015-07-19,88,105.78 USD,9308.36 USD
2015-07-20,92,138.22 USD,12716.29 USD
2015-07-21,96,108.35 USD,10401.68 USD
2015-07-22,101,132.59 USD,13391.73 USD
2015-07-23,82,106.15 USD,8704.55 USD
2015-07-24,79,127.94 USD,10107.17 USD
2015-07-25,101,105.75 USD,10680.82 USD
2015-07-26,163,105.82 USD,17248.37 USD
2015-07-27,80,110.91 USD,8872.43 USD
2015-07-28,106,160.16 USD,16976.88 USD
2015-07-29,99,98.76 USD,9777.02 USD
2015-07-30,82,115.60 USD,9479.48 USD
2015-07-31,92,147.09 USD,13532.37 USD
2015-08-01,76,97.78 USD,7431.02 USD
2015-08-02,125,122.82 USD,15352.85 USD
2015-08-03,85,123.85 USD,10527.17 USD
2015-08-04,105,108.96 USD,11440.45 USD
2015-08-05,83,128.09 USD,10631.68 USD
2015-08-06,80,138.72 USD,11097.84 USD
2015-08-07,64,105.26 USD,6736.43 USD
2015-08-08,80,112.78 USD,9022.29 USD
2015-08-09,105,130.60 USD,13713.38 USD
2015-08-10,95,133.38 USD,12670.93 USD
2015-08-11,114,108.36 USD,12353.03 USD
2015-08-12,102,120.27 USD,12267.91 USD
