model,description,metric,metric_code,value,link
SSE-AD-5230496,350Z - 2009 Nissan 350Z Touring Z33 Auto,price,price,14000,https://www.carsales.com.au/private/details/Nissan-350Z-2009/SSE-AD-5230496/?Cr=118
SSE-AD-5230496,350Z - 2009 Nissan 350Z Touring Z33 Auto,milage,milage,56500,https://www.carsales.com.au/private/details/Nissan-350Z-2009/SSE-AD-5230496/?Cr=118
SSE-AD-5230496,350Z - 2009 Nissan 350Z Touring Z33 Auto,age,age,9,https://www.carsales.com.au/private/details/Nissan-350Z-2009/SSE-AD-5230496/?Cr=118
SSE-AD-5230496,350Z - 2009 Nissan 350Z Touring Z33 Auto,price,price,14000,https://www.carsales.com.au/private/details/Nissan-350Z-2009/SSE-AD-5230496/?Cr=118
SSE-AD-5230496,350Z - 2009 Nissan 350Z Touring Z33 Auto,milage,milage,56500,https://www.carsales.com.au/private/details/Nissan-350Z-2009/SSE-AD-5230496/?Cr=118
SSE-AD-5230496,350Z - 2009 Nissan 350Z Touring Z33 Auto,age,age,9,https://www.carsales.com.au/private/details/Nissan-350Z-2009/SSE-AD-5230496/?Cr=118
SSE-AD-4660124,350Z - 2007 Nissan 350Z Track Z33 Manual,price,price,19900,https://www.carsales.com.au/private/details/Nissan-350Z-2007/SSE-AD-4660124/?Cr=411
SSE-AD-4660124,350Z - 2007 Nissan 350Z Track Z33 Manual,milage,milage,18000,https://www.carsales.com.au/private/details/Nissan-350Z-2007/SSE-AD-4660124/?Cr=411
SSE-AD-4660124,350Z - 2007 Nissan 350Z Track Z33 Manual,age,age,11,https://www.carsales.com.au/private/details/Nissan-350Z-2007/SSE-AD-4660124/?Cr=411
SSE-AD-5159702,350Z - 2008 Nissan 350Z Track Z33 Manual,price,price,14500,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-5159702/?Cr=319
SSE-AD-5159702,350Z - 2008 Nissan 350Z Track Z33 Manual,milage,milage,57000,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-5159702/?Cr=319
SSE-AD-5159702,350Z - 2008 Nissan 350Z Track Z33 Manual,age,age,10,https://www.carsales.com.au/private/details/Nissan-350Z-2008/SSE-AD-5159702/?Cr=319
SSE-AD-5226372,370Z - 2013 Nissan 370Z Z34 Manual,price,price,33000,https://www.carsales.com.au/private/details/Nissan-370Z-2013/SSE-AD-5226372/?Cr=102
SSE-AD-5226372,370Z - 2013 Nissan 370Z Z34 Manual,milage,milage,9500,https://www.carsales.com.au/private/details/Nissan-370Z-2013/SSE-AD-5226372/?Cr=102
SSE-AD-5226372,370Z - 2013 Nissan 370Z Z34 Manual,age,age,5,https://www.carsales.com.au/private/details/Nissan-370Z-2013/SSE-AD-5226372/?Cr=102
SSE-AD-4713272,350Z - 2007 Nissan 350Z Track Z33 Manual,price,price,15000,https://www.carsales.com.au/private/details/Nissan-350Z-2007/SSE-AD-4713272/?Cr=247
SSE-AD-4713272,350Z - 2007 Nissan 350Z Track Z33 Manual,milage,milage,66000,https://www.carsales.com.au/private/details/Nissan-350Z-2007/SSE-AD-4713272/?Cr=247
SSE-AD-4713272,350Z - 2007 Nissan 350Z Track Z33 Manual,age,age,11,https://www.carsales.com.au/private/details/Nissan-350Z-2007/SSE-AD-4713272/?Cr=247
OAG-AD-15525899,370Z - 2016 Nissan 370Z Z34 Manual,price,price,37597,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15525899/?Cr=43
OAG-AD-15525899,370Z - 2016 Nissan 370Z Z34 Manual,milage,milage,7852,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15525899/?Cr=43
OAG-AD-15525899,370Z - 2016 Nissan 370Z Z34 Manual,age,age,2,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15525899/?Cr=43
SSE-AD-5032852,350Z - 2007 Nissan 350Z Touring Z33 Auto,price,price,19500,https://www.carsales.com.au/private/details/Nissan-350Z-2007/SSE-AD-5032852/?Cr=297
SSE-AD-5032852,350Z - 2007 Nissan 350Z Touring Z33 Auto,milage,milage,45156,https://www.carsales.com.au/private/details/Nissan-350Z-2007/SSE-AD-5032852/?Cr=297
SSE-AD-5032852,350Z - 2007 Nissan 350Z Touring Z33 Auto,age,age,11,https://www.carsales.com.au/private/details/Nissan-350Z-2007/SSE-AD-5032852/?Cr=297
SSE-AD-5228139,370Z - 2016 Nissan 370Z Z34 Auto,price,price,37900,https://www.carsales.com.au/private/details/Nissan-370Z-2016/SSE-AD-5228139/?Cr=373
SSE-AD-5228139,370Z - 2016 Nissan 370Z Z34 Auto,milage,milage,6878,https://www.carsales.com.au/private/details/Nissan-370Z-2016/SSE-AD-5228139/?Cr=373
SSE-AD-5228139,370Z - 2016 Nissan 370Z Z34 Auto,age,age,2,https://www.carsales.com.au/private/details/Nissan-370Z-2016/SSE-AD-5228139/?Cr=373
SSE-AD-959868,370Z - 2010 Nissan 370Z Z34 Auto,price,price,31600,https://www.carsales.com.au/private/details/Nissan-370Z-2010/SSE-AD-959868/?Cr=294
