model,description,metric,metric_code,value,rating,link
OAG-AD-15809280,Vanquish - 2014 Aston Martin Vanquish Auto,price,price,279900,0.59,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2014/OAG-AD-15809280/?Cr=93
OAG-AD-15809280,Vanquish - 2014 Aston Martin Vanquish Auto,milage,milage,13674,0.59,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2014/OAG-AD-15809280/?Cr=93
OAG-AD-15809280,Vanquish - 2014 Aston Martin Vanquish Auto,age,age,4,0.59,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2014/OAG-AD-15809280/?Cr=93
SSE-AD-5047083,Vanquish - 2013 Aston Martin Vanquish Auto,price,price,262000,0.62,https://www.carsales.com.au/private/details/Aston-Martin-Vanquish-2013/SSE-AD-5047083/?Cr=23
SSE-AD-5047083,Vanquish - 2013 Aston Martin Vanquish Auto,milage,milage,18700,0.62,https://www.carsales.com.au/private/details/Aston-Martin-Vanquish-2013/SSE-AD-5047083/?Cr=23
SSE-AD-5047083,Vanquish - 2013 Aston Martin Vanquish Auto,age,age,5,0.62,https://www.carsales.com.au/private/details/Aston-Martin-Vanquish-2013/SSE-AD-5047083/?Cr=23
OAG-AD-15397491,Vanquish - 2013 Aston Martin Vanquish Auto,price,price,304777,-0.01,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2013/OAG-AD-15397491/?Cr=79
OAG-AD-15397491,Vanquish - 2013 Aston Martin Vanquish Auto,milage,milage,13249,-0.01,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2013/OAG-AD-15397491/?Cr=79
OAG-AD-15397491,Vanquish - 2013 Aston Martin Vanquish Auto,age,age,5,-0.01,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2013/OAG-AD-15397491/?Cr=79
OAG-AD-569231,Vanquish - 2014 Aston Martin Vanquish Auto,price,price,299990,-0.03,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2014/OAG-AD-569231/?Cr=64
OAG-AD-569231,Vanquish - 2014 Aston Martin Vanquish Auto,milage,milage,16250,-0.03,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2014/OAG-AD-569231/?Cr=64
OAG-AD-569231,Vanquish - 2014 Aston Martin Vanquish Auto,age,age,4,-0.03,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2014/OAG-AD-569231/?Cr=64
SSE-AD-5118671,Vanquish - 2015 Aston Martin Vanquish Auto,price,price,349990,-0.06,https://www.carsales.com.au/private/details/Aston-Martin-Vanquish-2015/SSE-AD-5118671/?Cr=20
SSE-AD-5118671,Vanquish - 2015 Aston Martin Vanquish Auto,milage,milage,3450,-0.06,https://www.carsales.com.au/private/details/Aston-Martin-Vanquish-2015/SSE-AD-5118671/?Cr=20
SSE-AD-5118671,Vanquish - 2015 Aston Martin Vanquish Auto,age,age,3,-0.06,https://www.carsales.com.au/private/details/Aston-Martin-Vanquish-2015/SSE-AD-5118671/?Cr=20
OAG-AD-15534547,Vanquish - 2015 Aston Martin Vanquish Auto,price,price,378990,-0.55,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2015/OAG-AD-15534547/?Cr=48
OAG-AD-15534547,Vanquish - 2015 Aston Martin Vanquish Auto,milage,milage,1687,-0.55,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2015/OAG-AD-15534547/?Cr=48
OAG-AD-15534547,Vanquish - 2015 Aston Martin Vanquish Auto,age,age,3,-0.55,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2015/OAG-AD-15534547/?Cr=48
SSE-AD-4124653,Vanquish - 2013 Aston Martin Vanquish Auto,price,price,359000,-0.69,https://www.carsales.com.au/private/details/Aston-Martin-Vanquish-2013/SSE-AD-4124653/?Cr=22
SSE-AD-4124653,Vanquish - 2013 Aston Martin Vanquish Auto,milage,milage,6796,-0.69,https://www.carsales.com.au/private/details/Aston-Martin-Vanquish-2013/SSE-AD-4124653/?Cr=22
SSE-AD-4124653,Vanquish - 2013 Aston Martin Vanquish Auto,age,age,5,-0.69,https://www.carsales.com.au/private/details/Aston-Martin-Vanquish-2013/SSE-AD-4124653/?Cr=22
OAG-AD-15117215,Vanquish - 2013 Aston Martin Vanquish Auto,price,price,289990,-1.23,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2013/OAG-AD-15117215/?Cr=2
OAG-AD-15117215,Vanquish - 2013 Aston Martin Vanquish Auto,milage,milage,33900,-1.23,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2013/OAG-AD-15117215/?Cr=2
OAG-AD-15117215,Vanquish - 2013 Aston Martin Vanquish Auto,age,age,5,-1.23,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2013/OAG-AD-15117215/?Cr=2
OAG-AD-12469584,Vanquish - 2016 Aston Martin Vanquish Carbon Edition Auto,price,price,449900,-1.87,https://www.carsales.com.au/demo/details/Aston-Martin-Vanquish-2016/OAG-AD-12469584/?Cr=83
OAG-AD-12469584,Vanquish - 2016 Aston Martin Vanquish Carbon Edition Auto,milage,milage,200,-1.87,https://www.carsales.com.au/demo/details/Aston-Martin-Vanquish-2016/OAG-AD-12469584/?Cr=83
OAG-AD-12469584,Vanquish - 2016 Aston Martin Vanquish Carbon Edition Auto,age,age,2,-1.87,https://www.carsales.com.au/demo/details/Aston-Martin-Vanquish-2016/OAG-AD-12469584/?Cr=83
OAG-AD-15581878,Vanquish - 2015 Aston Martin Vanquish Auto,price,price,374900,-1.88,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2015/OAG-AD-15581878/?Cr=65
OAG-AD-15581878,Vanquish - 2015 Aston Martin Vanquish Auto,milage,milage,20700,-1.88,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2015/OAG-AD-15581878/?Cr=65
OAG-AD-15581878,Vanquish - 2015 Aston Martin Vanquish Auto,age,age,3,-1.88,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2015/OAG-AD-15581878/?Cr=65
OAG-AD-15218585,Vanquish - 2015 Aston Martin Vanquish Carbon Edition Auto,price,price,379000,-2.10,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2015/OAG-AD-15218585/?Cr=67
OAG-AD-15218585,Vanquish - 2015 Aston Martin Vanquish Carbon Edition Auto,milage,milage,22534,-2.10,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2015/OAG-AD-15218585/?Cr=67
OAG-AD-15218585,Vanquish - 2015 Aston Martin Vanquish Carbon Edition Auto,age,age,3,-2.10,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2015/OAG-AD-15218585/?Cr=67
OAG-AD-15218648,Vanquish - 2015 Aston Martin Vanquish Carbon Edition Auto,price,price,379000,-2.10,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2015/OAG-AD-15218648/?Cr=49
OAG-AD-15218648,Vanquish - 2015 Aston Martin Vanquish Carbon Edition Auto,milage,milage,22563,-2.10,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2015/OAG-AD-15218648/?Cr=49
OAG-AD-15218648,Vanquish - 2015 Aston Martin Vanquish Carbon Edition Auto,age,age,3,-2.10,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2015/OAG-AD-15218648/?Cr=49
OAG-AD-15782012,Vanquish - 2004 Aston Martin Vanquish Manual,price,price,134990,-2.79,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2004/OAG-AD-15782012/?Cr=63
OAG-AD-15782012,Vanquish - 2004 Aston Martin Vanquish Manual,milage,milage,88000,-2.79,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2004/OAG-AD-15782012/?Cr=63
OAG-AD-15782012,Vanquish - 2004 Aston Martin Vanquish Manual,age,age,14,-2.79,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2004/OAG-AD-15782012/?Cr=63
OAG-AD-14756808,Vanquish - 2017 Aston Martin Vanquish S Auto,price,price,499995,-2.94,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2017/OAG-AD-14756808/?Cr=108
OAG-AD-14756808,Vanquish - 2017 Aston Martin Vanquish S Auto,milage,milage,1450,-2.94,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2017/OAG-AD-14756808/?Cr=108
OAG-AD-14756808,Vanquish - 2017 Aston Martin Vanquish S Auto,age,age,1,-2.94,https://www.carsales.com.au/dealer/details/Aston-Martin-Vanquish-2017/OAG-AD-14756808/?Cr=108
SSE-AD-5169644,Vanquish - 2013 Aston Martin Vanquish Centenary Edition Auto,price,price,485000,-3.14,https://www.carsales.com.au/private/details/Aston-Martin-Vanquish-2013/SSE-AD-5169644/?Cr=90
SSE-AD-5169644,Vanquish - 2013 Aston Martin Vanquish Centenary Edition Auto,milage,milage,3290,-3.14,https://www.carsales.com.au/private/details/Aston-Martin-Vanquish-2013/SSE-AD-5169644/?Cr=90
SSE-AD-5169644,Vanquish - 2013 Aston Martin Vanquish Centenary Edition Auto,age,age,5,-3.14,https://www.carsales.com.au/private/details/Aston-Martin-Vanquish-2013/SSE-AD-5169644/?Cr=90
OAG-AD-15771830,Vanquish - 2016 Aston Martin Vanquish Auto,price,price,518000,-3.61,https://www.carsales.com.au/demo/details/Aston-Martin-Vanquish-2016/OAG-AD-15771830/?Cr=112
OAG-AD-15771830,Vanquish - 2016 Aston Martin Vanquish Auto,milage,milage,3889,-3.61,https://www.carsales.com.au/demo/details/Aston-Martin-Vanquish-2016/OAG-AD-15771830/?Cr=112
OAG-AD-15771830,Vanquish - 2016 Aston Martin Vanquish Auto,age,age,2,-3.61,https://www.carsales.com.au/demo/details/Aston-Martin-Vanquish-2016/OAG-AD-15771830/?Cr=112
SHRM-AD-5759229,Vanquish - 2017 Aston Martin Vanquish S Auto,price,price,536389,-3.62,https://www.carsales.com.au/bnc/details/Aston-Martin-Vanquish-2017/SHRM-AD-5759229/?Cr=120
SHRM-AD-5759229,Vanquish - 2017 Aston Martin Vanquish S Auto,milage,milage,0,-3.62,https://www.carsales.com.au/bnc/details/Aston-Martin-Vanquish-2017/SHRM-AD-5759229/?Cr=120
SHRM-AD-5759229,Vanquish - 2017 Aston Martin Vanquish S Auto,age,age,1,-3.62,https://www.carsales.com.au/bnc/details/Aston-Martin-Vanquish-2017/SHRM-AD-5759229/?Cr=120
SHRM-AD-5759232,Vanquish - 2017 Aston Martin Vanquish S Auto,price,price,536389,-3.62,https://www.carsales.com.au/bnc/details/Aston-Martin-Vanquish-2017/SHRM-AD-5759232/?Cr=109
SHRM-AD-5759232,Vanquish - 2017 Aston Martin Vanquish S Auto,milage,milage,0,-3.62,https://www.carsales.com.au/bnc/details/Aston-Martin-Vanquish-2017/SHRM-AD-5759232/?Cr=109
