model,description,metric,metric_code,value,rating,link
OAG-AD-16317592,Q5 - 2013 Audi Q5 TDI Auto quattro,price,price,32888,2.69,https://www.carsales.com.au/dealer/details/Audi-Q5-2013/OAG-AD-16317592/?Cr=258
OAG-AD-16317592,Q5 - 2013 Audi Q5 TDI Auto quattro,milage,milage,21545,2.69,https://www.carsales.com.au/dealer/details/Audi-Q5-2013/OAG-AD-16317592/?Cr=258
OAG-AD-16317592,Q5 - 2013 Audi Q5 TDI Auto quattro,age,age,5,2.69,https://www.carsales.com.au/dealer/details/Audi-Q5-2013/OAG-AD-16317592/?Cr=258
SSE-AD-5630260,Q5 - 2015 Audi Q5 TDI Auto quattro,price,price,45500,2.54,https://www.carsales.com.au/private/details/Audi-Q5-2015/SSE-AD-5630260/?Cr=96
SSE-AD-5630260,Q5 - 2015 Audi Q5 TDI Auto quattro,milage,milage,69,2.54,https://www.carsales.com.au/private/details/Audi-Q5-2015/SSE-AD-5630260/?Cr=96
SSE-AD-5630260,Q5 - 2015 Audi Q5 TDI Auto quattro,age,age,3,2.54,https://www.carsales.com.au/private/details/Audi-Q5-2015/SSE-AD-5630260/?Cr=96
SSE-AD-5503290,Q5 - 2015 Audi Q5 TFSI Auto quattro,price,price,34000,2.42,https://www.carsales.com.au/private/details/Audi-Q5-2015/SSE-AD-5503290/?Cr=80
SSE-AD-5503290,Q5 - 2015 Audi Q5 TFSI Auto quattro,milage,milage,41086,2.42,https://www.carsales.com.au/private/details/Audi-Q5-2015/SSE-AD-5503290/?Cr=80
SSE-AD-5503290,Q5 - 2015 Audi Q5 TFSI Auto quattro,age,age,3,2.42,https://www.carsales.com.au/private/details/Audi-Q5-2015/SSE-AD-5503290/?Cr=80
OAG-AD-16268556,Q5 - 2015 Audi Q5 TDI Auto quattro,price,price,37990,2.08,https://www.carsales.com.au/dealer/details/Audi-Q5-2015/OAG-AD-16268556/?Cr=174
OAG-AD-16268556,Q5 - 2015 Audi Q5 TDI Auto quattro,milage,milage,36726,2.08,https://www.carsales.com.au/dealer/details/Audi-Q5-2015/OAG-AD-16268556/?Cr=174
OAG-AD-16268556,Q5 - 2015 Audi Q5 TDI Auto quattro,age,age,3,2.08,https://www.carsales.com.au/dealer/details/Audi-Q5-2015/OAG-AD-16268556/?Cr=174
OAG-AD-15674748,Q5 - 2015 Audi Q5 TDI Auto quattro,price,price,49990,1.96,https://www.carsales.com.au/dealer/details/Audi-Q5-2015/OAG-AD-15674748/?Cr=135
OAG-AD-15674748,Q5 - 2015 Audi Q5 TDI Auto quattro,milage,milage,24,1.96,https://www.carsales.com.au/dealer/details/Audi-Q5-2015/OAG-AD-15674748/?Cr=135
OAG-AD-15674748,Q5 - 2015 Audi Q5 TDI Auto quattro,age,age,3,1.96,https://www.carsales.com.au/dealer/details/Audi-Q5-2015/OAG-AD-15674748/?Cr=135
OAG-AD-16330345,Q5 - 2015 Audi Q5 TDI Auto quattro,price,price,36888,1.94,https://www.carsales.com.au/dealer/details/Audi-Q5-2015/OAG-AD-16330345/?Cr=148
OAG-AD-16330345,Q5 - 2015 Audi Q5 TDI Auto quattro,milage,milage,43820,1.94,https://www.carsales.com.au/dealer/details/Audi-Q5-2015/OAG-AD-16330345/?Cr=148
OAG-AD-16330345,Q5 - 2015 Audi Q5 TDI Auto quattro,age,age,3,1.94,https://www.carsales.com.au/dealer/details/Audi-Q5-2015/OAG-AD-16330345/?Cr=148
