model,description,metric,metric_code,value,rating,link
SSE-AD-6123041,320i - 2013 BMW 320i F30 Auto,price,price,32000,1.77,https://www.carsales.com.au/cars/details/BMW-320i-2013/SSE-AD-6123041/?gts=SSE-AD-6123041&gtssaleid=SSE-AD-6123041&rankingType=Spotlight
SSE-AD-6123041,320i - 2013 BMW 320i F30 Auto,milage,milage,11815,1.77,https://www.carsales.com.au/cars/details/BMW-320i-2013/SSE-AD-6123041/?gts=SSE-AD-6123041&gtssaleid=SSE-AD-6123041&rankingType=Spotlight
SSE-AD-6123041,320i - 2013 BMW 320i F30 Auto,age,age,6,1.77,https://www.carsales.com.au/cars/details/BMW-320i-2013/SSE-AD-6123041/?gts=SSE-AD-6123041&gtssaleid=SSE-AD-6123041&rankingType=Spotlight
SSE-AD-6084322,320i - 2015 BMW 320i Luxury Line F31 LCI Auto,price,price,29750,1.71,https://www.carsales.com.au/cars/details/BMW-320i-2015/SSE-AD-6084322/?Cr=0
SSE-AD-6084322,320i - 2015 BMW 320i Luxury Line F31 LCI Auto,milage,milage,37000,1.71,https://www.carsales.com.au/cars/details/BMW-320i-2015/SSE-AD-6084322/?Cr=0
SSE-AD-6084322,320i - 2015 BMW 320i Luxury Line F31 LCI Auto,age,age,4,1.71,https://www.carsales.com.au/cars/details/BMW-320i-2015/SSE-AD-6084322/?Cr=0
SSE-AD-6115969,320i - 2011 BMW 320i Lifestyle E90 Auto,price,price,20000,1.39,https://www.carsales.com.au/cars/details/BMW-320i-2011/SSE-AD-6115969/?Cr=126
SSE-AD-6115969,320i - 2011 BMW 320i Lifestyle E90 Auto,milage,milage,66594,1.39,https://www.carsales.com.au/cars/details/BMW-320i-2011/SSE-AD-6115969/?Cr=126
SSE-AD-6115969,320i - 2011 BMW 320i Lifestyle E90 Auto,age,age,8,1.39,https://www.carsales.com.au/cars/details/BMW-320i-2011/SSE-AD-6115969/?Cr=126
SSE-AD-6073582,320i - 2013 BMW 320i Modern Line F34 Auto,price,price,28500,1.38,https://www.carsales.com.au/cars/details/BMW-320i-2013/SSE-AD-6073582/?Cr=3
SSE-AD-6073582,320i - 2013 BMW 320i Modern Line F34 Auto,milage,milage,40333,1.38,https://www.carsales.com.au/cars/details/BMW-320i-2013/SSE-AD-6073582/?Cr=3
SSE-AD-6073582,320i - 2013 BMW 320i Modern Line F34 Auto,age,age,6,1.38,https://www.carsales.com.au/cars/details/BMW-320i-2013/SSE-AD-6073582/?Cr=3
SSE-AD-6111590,320i - 2009 BMW 320i Executive E90 Auto,price,price,10000,1.19,https://www.carsales.com.au/cars/details/BMW-320i-2009/SSE-AD-6111590/?Cr=129
SSE-AD-6111590,320i - 2009 BMW 320i Executive E90 Auto,milage,milage,106350,1.19,https://www.carsales.com.au/cars/details/BMW-320i-2009/SSE-AD-6111590/?Cr=129
SSE-AD-6111590,320i - 2009 BMW 320i Executive E90 Auto,age,age,10,1.19,https://www.carsales.com.au/cars/details/BMW-320i-2009/SSE-AD-6111590/?Cr=129
SSE-AD-5529411,320i - 2007 BMW 320i Executive E90 Auto,price,price,11500,1.18,https://www.carsales.com.au/cars/details/BMW-320i-2007/SSE-AD-5529411/?Cr=60
SSE-AD-5529411,320i - 2007 BMW 320i Executive E90 Auto,milage,milage,86700,1.18,https://www.carsales.com.au/cars/details/BMW-320i-2007/SSE-AD-5529411/?Cr=60
SSE-AD-5529411,320i - 2007 BMW 320i Executive E90 Auto,age,age,12,1.18,https://www.carsales.com.au/cars/details/BMW-320i-2007/SSE-AD-5529411/?Cr=60
AGC-AD-17875849,320i - 2009 BMW 320i Executive E90 Auto,price,price,12995,1.18,https://www.carsales.com.au/cars/details/BMW-320i-2009/AGC-AD-17875849/?Cr=66
AGC-AD-17875849,320i - 2009 BMW 320i Executive E90 Auto,milage,milage,92792,1.18,https://www.carsales.com.au/cars/details/BMW-320i-2009/AGC-AD-17875849/?Cr=66
AGC-AD-17875849,320i - 2009 BMW 320i Executive E90 Auto,age,age,10,1.18,https://www.carsales.com.au/cars/details/BMW-320i-2009/AGC-AD-17875849/?Cr=66
OAG-AD-17264351,320i - 2013 BMW 320i F30 Auto,price,price,23990,0.93,https://www.carsales.com.au/cars/details/BMW-320i-2013/OAG-AD-17264351/?Cr=69
OAG-AD-17264351,320i - 2013 BMW 320i F30 Auto,milage,milage,74993,0.93,https://www.carsales.com.au/cars/details/BMW-320i-2013/OAG-AD-17264351/?Cr=69
OAG-AD-17264351,320i - 2013 BMW 320i F30 Auto,age,age,6,0.93,https://www.carsales.com.au/cars/details/BMW-320i-2013/OAG-AD-17264351/?Cr=69
SSE-AD-5538261,320i - 2013 BMW 320i M Sport F34 Auto,price,price,29850,0.93,https://www.carsales.com.au/cars/details/BMW-320i-2013/SSE-AD-5538261/?Cr=121
SSE-AD-5538261,320i - 2013 BMW 320i M Sport F34 Auto,milage,milage,48000,0.93,https://www.carsales.com.au/cars/details/BMW-320i-2013/SSE-AD-5538261/?Cr=121
SSE-AD-5538261,320i - 2013 BMW 320i M Sport F34 Auto,age,age,6,0.93,https://www.carsales.com.au/cars/details/BMW-320i-2013/SSE-AD-5538261/?Cr=121
SSE-AD-5379767,320i - 2012 BMW 320i F30 Auto,price,price,24500,0.92,https://www.carsales.com.au/cars/details/BMW-320i-2012/SSE-AD-5379767/?Cr=120
SSE-AD-5379767,320i - 2012 BMW 320i F30 Auto,milage,milage,66500,0.92,https://www.carsales.com.au/cars/details/BMW-320i-2012/SSE-AD-5379767/?Cr=120
SSE-AD-5379767,320i - 2012 BMW 320i F30 Auto,age,age,7,0.92,https://www.carsales.com.au/cars/details/BMW-320i-2012/SSE-AD-5379767/?Cr=120
SSE-AD-6118057,320i - 2008 BMW 320i Executive E90 Auto,price,price,10500,0.75,https://www.carsales.com.au/cars/details/BMW-320i-2008/SSE-AD-6118057/?Cr=122
SSE-AD-6118057,320i - 2008 BMW 320i Executive E90 Auto,milage,milage,111300,0.75,https://www.carsales.com.au/cars/details/BMW-320i-2008/SSE-AD-6118057/?Cr=122
SSE-AD-6118057,320i - 2008 BMW 320i Executive E90 Auto,age,age,11,0.75,https://www.carsales.com.au/cars/details/BMW-320i-2008/SSE-AD-6118057/?Cr=122
SSE-AD-5985445,320i - 2007 BMW 320i E90 Auto,price,price,7500,0.73,https://www.carsales.com.au/cars/details/BMW-320i-2007/SSE-AD-5985445/?Cr=67
SSE-AD-5985445,320i - 2007 BMW 320i E90 Auto,milage,milage,119178,0.73,https://www.carsales.com.au/cars/details/BMW-320i-2007/SSE-AD-5985445/?Cr=67
SSE-AD-5985445,320i - 2007 BMW 320i E90 Auto,age,age,12,0.73,https://www.carsales.com.au/cars/details/BMW-320i-2007/SSE-AD-5985445/?Cr=67
SSE-AD-6071621,320i - 2009 BMW 320i Executive E90 Auto,price,price,12500,0.70,https://www.carsales.com.au/cars/details/BMW-320i-2009/SSE-AD-6071621/?Cr=119
SSE-AD-6071621,320i - 2009 BMW 320i Executive E90 Auto,milage,milage,110000,0.70,https://www.carsales.com.au/cars/details/BMW-320i-2009/SSE-AD-6071621/?Cr=119
SSE-AD-6071621,320i - 2009 BMW 320i Executive E90 Auto,age,age,10,0.70,https://www.carsales.com.au/cars/details/BMW-320i-2009/SSE-AD-6071621/?Cr=119
SSE-AD-6038033,320i - 2015 BMW 320i M Sport F30 LCI Auto,price,price,33800,0.62,https://www.carsales.com.au/cars/details/BMW-320i-2015/SSE-AD-6038033/?Cr=65
SSE-AD-6038033,320i - 2015 BMW 320i M Sport F30 LCI Auto,milage,milage,52000,0.62,https://www.carsales.com.au/cars/details/BMW-320i-2015/SSE-AD-6038033/?Cr=65
SSE-AD-6038033,320i - 2015 BMW 320i M Sport F30 LCI Auto,age,age,4,0.62,https://www.carsales.com.au/cars/details/BMW-320i-2015/SSE-AD-6038033/?Cr=65
OAG-AD-17108783,320i - 2018 BMW 320i M Sport F30 LCI Auto,price,price,45990,0.57,https://www.carsales.com.au/cars/details/BMW-320i-2018/OAG-AD-17108783/?Cr=8
OAG-AD-17108783,320i - 2018 BMW 320i M Sport F30 LCI Auto,milage,milage,16284,0.57,https://www.carsales.com.au/cars/details/BMW-320i-2018/OAG-AD-17108783/?Cr=8
OAG-AD-17108783,320i - 2018 BMW 320i M Sport F30 LCI Auto,age,age,1,0.57,https://www.carsales.com.au/cars/details/BMW-320i-2018/OAG-AD-17108783/?Cr=8
OAG-AD-16747517,320i - 2012 BMW 320i F30 Auto,price,price,22990,0.43,https://www.carsales.com.au/cars/details/BMW-320i-2012/OAG-AD-16747517/?Cr=70
OAG-AD-16747517,320i - 2012 BMW 320i F30 Auto,milage,milage,88769,0.43,https://www.carsales.com.au/cars/details/BMW-320i-2012/OAG-AD-16747517/?Cr=70
OAG-AD-16747517,320i - 2012 BMW 320i F30 Auto,age,age,7,0.43,https://www.carsales.com.au/cars/details/BMW-320i-2012/OAG-AD-16747517/?Cr=70
OAG-AD-17130916,320i - 2014 BMW 320i M Sport F34 Auto,price,price,36990,0.37,https://www.carsales.com.au/cars/details/BMW-320i-2014/OAG-AD-17130916/?Cr=7
OAG-AD-17130916,320i - 2014 BMW 320i M Sport F34 Auto,milage,milage,38599,0.37,https://www.carsales.com.au/cars/details/BMW-320i-2014/OAG-AD-17130916/?Cr=7
OAG-AD-17130916,320i - 2014 BMW 320i M Sport F34 Auto,age,age,5,0.37,https://www.carsales.com.au/cars/details/BMW-320i-2014/OAG-AD-17130916/?Cr=7
SSE-AD-6112595,320i - 2012 BMW 320i F30 Auto,price,price,19700,0.17,https://www.carsales.com.au/cars/details/BMW-320i-2012/SSE-AD-6112595/?gts=SSE-AD-6112595&gtssaleid=SSE-AD-6112595&rankingType=Spotlight
SSE-AD-6112595,320i - 2012 BMW 320i F30 Auto,milage,milage,112300,0.17,https://www.carsales.com.au/cars/details/BMW-320i-2012/SSE-AD-6112595/?gts=SSE-AD-6112595&gtssaleid=SSE-AD-6112595&rankingType=Spotlight
SSE-AD-6112595,320i - 2012 BMW 320i F30 Auto,age,age,7,0.17,https://www.carsales.com.au/cars/details/BMW-320i-2012/SSE-AD-6112595/?gts=SSE-AD-6112595&gtssaleid=SSE-AD-6112595&rankingType=Spotlight
SSE-AD-5144791,320i - 2015 BMW 320i Luxury Line F30 Auto,price,price,35000,0.12,https://www.carsales.com.au/cars/details/BMW-320i-2015/SSE-AD-5144791/?Cr=5
SSE-AD-5144791,320i - 2015 BMW 320i Luxury Line F30 Auto,milage,milage,62000,0.12,https://www.carsales.com.au/cars/details/BMW-320i-2015/SSE-AD-5144791/?Cr=5
SSE-AD-5144791,320i - 2015 BMW 320i Luxury Line F30 Auto,age,age,4,0.12,https://www.carsales.com.au/cars/details/BMW-320i-2015/SSE-AD-5144791/?Cr=5
OAG-AD-13078283,320i - 2005 BMW 320i Executive E90 Auto,price,price,7450,0.11,https://www.carsales.com.au/cars/details/BMW-320i-2005/OAG-AD-13078283/?Cr=64
