model,description,metric,metric_code,value,rating,link
OAG-AD-15824339,325Ci - 2003 BMW 325Ci E46 Auto,price,price,8900,-0.10,https://www.carsales.com.au/dealer/details/BMW-325Ci-2003/OAG-AD-15824339/?Cr=610
OAG-AD-15824339,325Ci - 2003 BMW 325Ci E46 Auto,milage,milage,147394,-0.10,https://www.carsales.com.au/dealer/details/BMW-325Ci-2003/OAG-AD-15824339/?Cr=610
OAG-AD-15824339,325Ci - 2003 BMW 325Ci E46 Auto,age,age,15,-0.10,https://www.carsales.com.au/dealer/details/BMW-325Ci-2003/OAG-AD-15824339/?Cr=610
SSE-AD-5043697,325Ci - 2005 BMW 325Ci High-line E46 Auto,price,price,18500,1.14,https://www.carsales.com.au/private/details/BMW-325Ci-2005/SSE-AD-5043697/?Cr=254
SSE-AD-5043697,325Ci - 2005 BMW 325Ci High-line E46 Auto,milage,milage,77380,1.14,https://www.carsales.com.au/private/details/BMW-325Ci-2005/SSE-AD-5043697/?Cr=254
SSE-AD-5043697,325Ci - 2005 BMW 325Ci High-line E46 Auto,age,age,13,1.14,https://www.carsales.com.au/private/details/BMW-325Ci-2005/SSE-AD-5043697/?Cr=254
SSE-AD-5356172,325Ci - 2002 BMW 325Ci E46 Auto,price,price,7500,1.09,https://www.carsales.com.au/private/details/BMW-325Ci-2002/SSE-AD-5356172/?Cr=773
SSE-AD-5356172,325Ci - 2002 BMW 325Ci E46 Auto,milage,milage,104000,1.09,https://www.carsales.com.au/private/details/BMW-325Ci-2002/SSE-AD-5356172/?Cr=773
SSE-AD-5356172,325Ci - 2002 BMW 325Ci E46 Auto,age,age,16,1.09,https://www.carsales.com.au/private/details/BMW-325Ci-2002/SSE-AD-5356172/?Cr=773
SSE-AD-5200183,325Ci - 2001 BMW 325Ci E46 Auto,price,price,7500,0.77,https://www.carsales.com.au/private/details/BMW-325Ci-2001/SSE-AD-5200183/?Cr=725
SSE-AD-5200183,325Ci - 2001 BMW 325Ci E46 Auto,milage,milage,110000,0.77,https://www.carsales.com.au/private/details/BMW-325Ci-2001/SSE-AD-5200183/?Cr=725
SSE-AD-5200183,325Ci - 2001 BMW 325Ci E46 Auto,age,age,17,0.77,https://www.carsales.com.au/private/details/BMW-325Ci-2001/SSE-AD-5200183/?Cr=725
SSE-AD-5332878,325Ci - 2006 BMW 325Ci High-line E46 Auto,price,price,14500,0.76,https://www.carsales.com.au/private/details/BMW-325Ci-2006/SSE-AD-5332878/?Cr=267
SSE-AD-5332878,325Ci - 2006 BMW 325Ci High-line E46 Auto,milage,milage,112000,0.76,https://www.carsales.com.au/private/details/BMW-325Ci-2006/SSE-AD-5332878/?Cr=267
SSE-AD-5332878,325Ci - 2006 BMW 325Ci High-line E46 Auto,age,age,12,0.76,https://www.carsales.com.au/private/details/BMW-325Ci-2006/SSE-AD-5332878/?Cr=267
SSE-AD-5175227,325Ci - 2005 BMW 325Ci Sport Special Edition E46 Auto,price,price,9000,0.75,https://www.carsales.com.au/private/details/BMW-325Ci-2005/SSE-AD-5175227/?Cr=1
SSE-AD-5175227,325Ci - 2005 BMW 325Ci Sport Special Edition E46 Auto,milage,milage,127312,0.75,https://www.carsales.com.au/private/details/BMW-325Ci-2005/SSE-AD-5175227/?Cr=1
SSE-AD-5175227,325Ci - 2005 BMW 325Ci Sport Special Edition E46 Auto,age,age,13,0.75,https://www.carsales.com.au/private/details/BMW-325Ci-2005/SSE-AD-5175227/?Cr=1
SSE-AD-5160863,325Ci - 2004 BMW 325Ci Sport E46 Auto,price,price,14900,0.71,https://www.carsales.com.au/private/details/BMW-325Ci-2004/SSE-AD-5160863/?Cr=495
SSE-AD-5160863,325Ci - 2004 BMW 325Ci Sport E46 Auto,milage,milage,101000,0.71,https://www.carsales.com.au/private/details/BMW-325Ci-2004/SSE-AD-5160863/?Cr=495
SSE-AD-5160863,325Ci - 2004 BMW 325Ci Sport E46 Auto,age,age,14,0.71,https://www.carsales.com.au/private/details/BMW-325Ci-2004/SSE-AD-5160863/?Cr=495
SSE-AD-5255878,325Ci - 2001 BMW 325Ci E46 Auto,price,price,6500,0.66,https://www.carsales.com.au/private/details/BMW-325Ci-2001/SSE-AD-5255878/?Cr=383
SSE-AD-5255878,325Ci - 2001 BMW 325Ci E46 Auto,milage,milage,117700,0.66,https://www.carsales.com.au/private/details/BMW-325Ci-2001/SSE-AD-5255878/?Cr=383
SSE-AD-5255878,325Ci - 2001 BMW 325Ci E46 Auto,age,age,17,0.66,https://www.carsales.com.au/private/details/BMW-325Ci-2001/SSE-AD-5255878/?Cr=383
