model,description,metric,metric_code,value,rating,link
SSE-AD-5058214,M3 - 2010 BMW M3 E90 Auto,price,price,55000,2.45,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5058214/?Cr=6
SSE-AD-5058214,M3 - 2010 BMW M3 E90 Auto,milage,milage,43500,2.45,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5058214/?Cr=6
SSE-AD-5058214,M3 - 2010 BMW M3 E90 Auto,age,age,8,2.45,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5058214/?Cr=6
OAG-AD-15752942,M3 - 2006 BMW M3 E46 Auto,price,price,44990,2.29,https://www.carsales.com.au/dealer/details/BMW-M3-2006/OAG-AD-15752942/?Cr=52
OAG-AD-15752942,M3 - 2006 BMW M3 E46 Auto,milage,milage,50126,2.29,https://www.carsales.com.au/dealer/details/BMW-M3-2006/OAG-AD-15752942/?Cr=52
OAG-AD-15752942,M3 - 2006 BMW M3 E46 Auto,age,age,12,2.29,https://www.carsales.com.au/dealer/details/BMW-M3-2006/OAG-AD-15752942/?Cr=52
OAG-AD-15775905,M3 - 2009 BMW M3 E90 Auto,price,price,50990,2.16,https://www.carsales.com.au/dealer/details/BMW-M3-2009/OAG-AD-15775905/?Cr=1
OAG-AD-15775905,M3 - 2009 BMW M3 E90 Auto,milage,milage,55380,2.16,https://www.carsales.com.au/dealer/details/BMW-M3-2009/OAG-AD-15775905/?Cr=1
OAG-AD-15775905,M3 - 2009 BMW M3 E90 Auto,age,age,9,2.16,https://www.carsales.com.au/dealer/details/BMW-M3-2009/OAG-AD-15775905/?Cr=1
SSE-AD-5289457,M3 - 2004 BMW M3 E46 Auto,price,price,36500,1.81,https://www.carsales.com.au/private/details/BMW-M3-2004/SSE-AD-5289457/?Cr=12
SSE-AD-5289457,M3 - 2004 BMW M3 E46 Auto,milage,milage,72114,1.81,https://www.carsales.com.au/private/details/BMW-M3-2004/SSE-AD-5289457/?Cr=12
SSE-AD-5289457,M3 - 2004 BMW M3 E46 Auto,age,age,14,1.81,https://www.carsales.com.au/private/details/BMW-M3-2004/SSE-AD-5289457/?Cr=12
OAG-AD-15427600,M3 - 2004 BMW M3 E46 Auto,price,price,26999,1.81,https://www.carsales.com.au/dealer/details/BMW-M3-2004/OAG-AD-15427600/?Cr=65
OAG-AD-15427600,M3 - 2004 BMW M3 E46 Auto,milage,milage,94780,1.81,https://www.carsales.com.au/dealer/details/BMW-M3-2004/OAG-AD-15427600/?Cr=65
OAG-AD-15427600,M3 - 2004 BMW M3 E46 Auto,age,age,14,1.81,https://www.carsales.com.au/dealer/details/BMW-M3-2004/OAG-AD-15427600/?Cr=65
SSE-AD-5100829,M3 - 2010 BMW M3 E93 Auto,price,price,69999,1.61,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5100829/?Cr=39
SSE-AD-5100829,M3 - 2010 BMW M3 E93 Auto,milage,milage,30000,1.61,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5100829/?Cr=39
SSE-AD-5100829,M3 - 2010 BMW M3 E93 Auto,age,age,8,1.61,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5100829/?Cr=39
OAG-AD-15403068,M3 - 2011 BMW M3 E90 Auto,price,price,56990,1.58,https://www.carsales.com.au/dealer/details/BMW-M3-2011/OAG-AD-15403068/?Cr=50
OAG-AD-15403068,M3 - 2011 BMW M3 E90 Auto,milage,milage,67155,1.58,https://www.carsales.com.au/dealer/details/BMW-M3-2011/OAG-AD-15403068/?Cr=50
OAG-AD-15403068,M3 - 2011 BMW M3 E90 Auto,age,age,7,1.58,https://www.carsales.com.au/dealer/details/BMW-M3-2011/OAG-AD-15403068/?Cr=50
