model,description,metric,metric_code,value,rating,link
SSE-AD-5163756,911 - 1979 Porsche 911 SC Manual,price,price,65000,7.00,https://www.carsales.com.au/private/details/Porsche-911-1979/SSE-AD-5163756/?Cr=14
SSE-AD-5163756,911 - 1979 Porsche 911 SC Manual,milage,milage,37000,7.00,https://www.carsales.com.au/private/details/Porsche-911-1979/SSE-AD-5163756/?Cr=14
SSE-AD-5163756,911 - 1979 Porsche 911 SC Manual,age,age,39,7.00,https://www.carsales.com.au/private/details/Porsche-911-1979/SSE-AD-5163756/?Cr=14
SSE-AD-5001126,911 - 1978 Porsche 911 SC Manual,price,price,75000,4.84,https://www.carsales.com.au/private/details/Porsche-911-1978/SSE-AD-5001126/?Cr=10
SSE-AD-5001126,911 - 1978 Porsche 911 SC Manual,milage,milage,85380,4.84,https://www.carsales.com.au/private/details/Porsche-911-1978/SSE-AD-5001126/?Cr=10
SSE-AD-5001126,911 - 1978 Porsche 911 SC Manual,age,age,40,4.84,https://www.carsales.com.au/private/details/Porsche-911-1978/SSE-AD-5001126/?Cr=10
SSE-AD-5001126,911 - 1978 Porsche 911 SC Manual,price,price,75000,4.84,https://www.carsales.com.au/private/details/Porsche-911-1978/SSE-AD-5001126/?Cr=10
SSE-AD-5001126,911 - 1978 Porsche 911 SC Manual,milage,milage,85380,4.84,https://www.carsales.com.au/private/details/Porsche-911-1978/SSE-AD-5001126/?Cr=10
SSE-AD-5001126,911 - 1978 Porsche 911 SC Manual,age,age,40,4.84,https://www.carsales.com.au/private/details/Porsche-911-1978/SSE-AD-5001126/?Cr=10
SSE-AD-5100212,911 - 1975 Porsche 911 S Manual,price,price,80000,4.84,https://www.carsales.com.au/private/details/Porsche-911-1975/SSE-AD-5100212/?Cr=15
SSE-AD-5100212,911 - 1975 Porsche 911 S Manual,milage,milage,37721,4.84,https://www.carsales.com.au/private/details/Porsche-911-1975/SSE-AD-5100212/?Cr=15
SSE-AD-5100212,911 - 1975 Porsche 911 S Manual,age,age,43,4.84,https://www.carsales.com.au/private/details/Porsche-911-1975/SSE-AD-5100212/?Cr=15
OAG-AD-13790616,911 - 1976 Porsche 911 Manual,price,price,87500,4.75,https://www.carsales.com.au/dealer/details/Porsche-911-1976/OAG-AD-13790616/?Cr=18
OAG-AD-13790616,911 - 1976 Porsche 911 Manual,milage,milage,40258,4.75,https://www.carsales.com.au/dealer/details/Porsche-911-1976/OAG-AD-13790616/?Cr=18
OAG-AD-13790616,911 - 1976 Porsche 911 Manual,age,age,42,4.75,https://www.carsales.com.au/dealer/details/Porsche-911-1976/OAG-AD-13790616/?Cr=18
SSE-AD-5235784,911 - 1974 Porsche 911 Manual,price,price,68000,4.67,https://www.carsales.com.au/private/details/Porsche-911-1974/SSE-AD-5235784/?Cr=13
SSE-AD-5235784,911 - 1974 Porsche 911 Manual,milage,milage,52392,4.67,https://www.carsales.com.au/private/details/Porsche-911-1974/SSE-AD-5235784/?Cr=13
SSE-AD-5235784,911 - 1974 Porsche 911 Manual,age,age,44,4.67,https://www.carsales.com.au/private/details/Porsche-911-1974/SSE-AD-5235784/?Cr=13
SSE-AD-5148286,911 - 1979 Porsche 911 SC Manual,price,price,105000,4.03,https://www.carsales.com.au/private/details/Porsche-911-1979/SSE-AD-5148286/?Cr=27
SSE-AD-5148286,911 - 1979 Porsche 911 SC Manual,milage,milage,74250,4.03,https://www.carsales.com.au/private/details/Porsche-911-1979/SSE-AD-5148286/?Cr=27
SSE-AD-5148286,911 - 1979 Porsche 911 SC Manual,age,age,39,4.03,https://www.carsales.com.au/private/details/Porsche-911-1979/SSE-AD-5148286/?Cr=27
SSE-AD-4959696,911 - 1972 Porsche 911 T E Manual,price,price,85000,4.03,https://www.carsales.com.au/private/details/Porsche-911-1972/SSE-AD-4959696/?Cr=20
SSE-AD-4959696,911 - 1972 Porsche 911 T E Manual,milage,milage,19500,4.03,https://www.carsales.com.au/private/details/Porsche-911-1972/SSE-AD-4959696/?Cr=20
SSE-AD-4959696,911 - 1972 Porsche 911 T E Manual,age,age,46,4.03,https://www.carsales.com.au/private/details/Porsche-911-1972/SSE-AD-4959696/?Cr=20
