model,description,metric,metric_code,value,rating,link
SSE-AD-5572975,Mustang - 1988 Ford Mustang GT Manual,price,price,18999,4.67,https://www.carsales.com.au/private/details/Ford-Mustang-1988/SSE-AD-5572975/?Cr=347
SSE-AD-5572975,Mustang - 1988 Ford Mustang GT Manual,milage,milage,29430,4.67,https://www.carsales.com.au/private/details/Ford-Mustang-1988/SSE-AD-5572975/?Cr=347
SSE-AD-5572975,Mustang - 1988 Ford Mustang GT Manual,age,age,30,4.67,https://www.carsales.com.au/private/details/Ford-Mustang-1988/SSE-AD-5572975/?Cr=347
OAG-AD-15492038,Mustang - 2017 Ford Mustang FM Auto,price,price,47255,4.35,https://www.carsales.com.au/demo/details/Ford-Mustang-2017/OAG-AD-15492038/?Cr=107
OAG-AD-15492038,Mustang - 2017 Ford Mustang FM Auto,milage,milage,10,4.35,https://www.carsales.com.au/demo/details/Ford-Mustang-2017/OAG-AD-15492038/?Cr=107
OAG-AD-15492038,Mustang - 2017 Ford Mustang FM Auto,age,age,1,4.35,https://www.carsales.com.au/demo/details/Ford-Mustang-2017/OAG-AD-15492038/?Cr=107
OAG-AD-15441803,Mustang - 2017 Ford Mustang FM Auto,price,price,47255,4.35,https://www.carsales.com.au/demo/details/Ford-Mustang-2017/OAG-AD-15441803/?Cr=79
OAG-AD-15441803,Mustang - 2017 Ford Mustang FM Auto,milage,milage,10,4.35,https://www.carsales.com.au/demo/details/Ford-Mustang-2017/OAG-AD-15441803/?Cr=79
OAG-AD-15441803,Mustang - 2017 Ford Mustang FM Auto,age,age,1,4.35,https://www.carsales.com.au/demo/details/Ford-Mustang-2017/OAG-AD-15441803/?Cr=79
OAG-AD-14855041,Mustang - 2017 Ford Mustang FM Auto,price,price,47255,4.35,https://www.carsales.com.au/demo/details/Ford-Mustang-2017/OAG-AD-14855041/?Cr=77
OAG-AD-14855041,Mustang - 2017 Ford Mustang FM Auto,milage,milage,12,4.35,https://www.carsales.com.au/demo/details/Ford-Mustang-2017/OAG-AD-14855041/?Cr=77
OAG-AD-14855041,Mustang - 2017 Ford Mustang FM Auto,age,age,1,4.35,https://www.carsales.com.au/demo/details/Ford-Mustang-2017/OAG-AD-14855041/?Cr=77
SSE-AD-5655782,Mustang - 2016 Ford Mustang FM Manual,price,price,39999,4.15,https://www.carsales.com.au/private/details/Ford-Mustang-2016/SSE-AD-5655782/?Cr=96
SSE-AD-5655782,Mustang - 2016 Ford Mustang FM Manual,milage,milage,15294,4.15,https://www.carsales.com.au/private/details/Ford-Mustang-2016/SSE-AD-5655782/?Cr=96
SSE-AD-5655782,Mustang - 2016 Ford Mustang FM Manual,age,age,2,4.15,https://www.carsales.com.au/private/details/Ford-Mustang-2016/SSE-AD-5655782/?Cr=96
OAG-AD-15810750,Mustang - 2017 Ford Mustang FM Auto,price,price,48975,4.00,https://www.carsales.com.au/bncis/details/Ford-Mustang-2017/OAG-AD-15810750/?Cr=28
OAG-AD-15810750,Mustang - 2017 Ford Mustang FM Auto,milage,milage,10,4.00,https://www.carsales.com.au/bncis/details/Ford-Mustang-2017/OAG-AD-15810750/?Cr=28
OAG-AD-15810750,Mustang - 2017 Ford Mustang FM Auto,age,age,1,4.00,https://www.carsales.com.au/bncis/details/Ford-Mustang-2017/OAG-AD-15810750/?Cr=28
OAG-AD-16288191,Mustang - 2016 Ford Mustang FM Manual,price,price,41888,3.86,https://www.carsales.com.au/dealer/details/Ford-Mustang-2016/OAG-AD-16288191/?Cr=22
