model,description,metric,metric_code,value,rating,link
SSE-AD-5552549,Carnival - 2017 Kia Carnival S Auto,price,price,28990,3.24,https://www.carsales.com.au/private/details/Kia-Carnival-2017/SSE-AD-5552549/?Cr=164
SSE-AD-5552549,Carnival - 2017 Kia Carnival S Auto,milage,milage,26000,3.24,https://www.carsales.com.au/private/details/Kia-Carnival-2017/SSE-AD-5552549/?Cr=164
SSE-AD-5552549,Carnival - 2017 Kia Carnival S Auto,age,age,1,3.24,https://www.carsales.com.au/private/details/Kia-Carnival-2017/SSE-AD-5552549/?Cr=164
OAG-AD-15677277,Carnival - 2017 Kia Carnival S Auto,price,price,37277,2.85,https://www.carsales.com.au/demo/details/Kia-Carnival-2017/OAG-AD-15677277/?Cr=155
OAG-AD-15677277,Carnival - 2017 Kia Carnival S Auto,milage,milage,52,2.85,https://www.carsales.com.au/demo/details/Kia-Carnival-2017/OAG-AD-15677277/?Cr=155
OAG-AD-15677277,Carnival - 2017 Kia Carnival S Auto,age,age,1,2.85,https://www.carsales.com.au/demo/details/Kia-Carnival-2017/OAG-AD-15677277/?Cr=155
SSE-AD-5443590,Carnival - 2010 Kia Carnival EXE Auto,price,price,14700,2.67,https://www.carsales.com.au/private/details/Kia-Carnival-2010/SSE-AD-5443590/?Cr=144
SSE-AD-5443590,Carnival - 2010 Kia Carnival EXE Auto,milage,milage,53000,2.67,https://www.carsales.com.au/private/details/Kia-Carnival-2010/SSE-AD-5443590/?Cr=144
SSE-AD-5443590,Carnival - 2010 Kia Carnival EXE Auto,age,age,8,2.67,https://www.carsales.com.au/private/details/Kia-Carnival-2010/SSE-AD-5443590/?Cr=144
OAG-AD-16073310,Carnival - 2017 Kia Carnival S Auto,price,price,38490,2.58,https://www.carsales.com.au/demo/details/Kia-Carnival-2017/OAG-AD-16073310/?Cr=169
OAG-AD-16073310,Carnival - 2017 Kia Carnival S Auto,milage,milage,1800,2.58,https://www.carsales.com.au/demo/details/Kia-Carnival-2017/OAG-AD-16073310/?Cr=169
OAG-AD-16073310,Carnival - 2017 Kia Carnival S Auto,age,age,1,2.58,https://www.carsales.com.au/demo/details/Kia-Carnival-2017/OAG-AD-16073310/?Cr=169
OAG-AD-16256271,Carnival - 2016 Kia Carnival S Auto,price,price,35888,2.55,https://www.carsales.com.au/dealer/details/Kia-Carnival-2016/OAG-AD-16256271/?Cr=36
OAG-AD-16256271,Carnival - 2016 Kia Carnival S Auto,milage,milage,6590,2.55,https://www.carsales.com.au/dealer/details/Kia-Carnival-2016/OAG-AD-16256271/?Cr=36
OAG-AD-16256271,Carnival - 2016 Kia Carnival S Auto,age,age,2,2.55,https://www.carsales.com.au/dealer/details/Kia-Carnival-2016/OAG-AD-16256271/?Cr=36
OAG-AD-15975671,Carnival - 2018 Kia Carnival S Auto,price,price,40888,2.52,https://www.carsales.com.au/demo/details/Kia-Carnival-2018/OAG-AD-15975671/?Cr=148
