model,description,metric,metric_code,value,rating,link
SSE-AD-5469160,Rio - 2015 Kia Rio S Manual,price,price,8990,3.05,https://www.carsales.com.au/private/details/Kia-Rio-2015/SSE-AD-5469160/?gts=SSE-AD-5469160&gtssaleid=SSE-AD-5469160&rankingType=Spotlight
SSE-AD-5469160,Rio - 2015 Kia Rio S Manual,milage,milage,28545,3.05,https://www.carsales.com.au/private/details/Kia-Rio-2015/SSE-AD-5469160/?gts=SSE-AD-5469160&gtssaleid=SSE-AD-5469160&rankingType=Spotlight
SSE-AD-5469160,Rio - 2015 Kia Rio S Manual,age,age,3,3.05,https://www.carsales.com.au/private/details/Kia-Rio-2015/SSE-AD-5469160/?gts=SSE-AD-5469160&gtssaleid=SSE-AD-5469160&rankingType=Spotlight
SSE-AD-5467102,Rio - 2015 Kia Rio S Manual,price,price,9600,2.62,https://www.carsales.com.au/private/details/Kia-Rio-2015/SSE-AD-5467102/?Cr=327
SSE-AD-5467102,Rio - 2015 Kia Rio S Manual,milage,milage,32000,2.62,https://www.carsales.com.au/private/details/Kia-Rio-2015/SSE-AD-5467102/?Cr=327
SSE-AD-5467102,Rio - 2015 Kia Rio S Manual,age,age,3,2.62,https://www.carsales.com.au/private/details/Kia-Rio-2015/SSE-AD-5467102/?Cr=327
OAG-AD-15659325,Rio - 2015 Kia Rio S Auto,price,price,9990,2.56,https://www.carsales.com.au/dealer/details/Kia-Rio-2015/OAG-AD-15659325/?Cr=254
OAG-AD-15659325,Rio - 2015 Kia Rio S Auto,milage,milage,28345,2.56,https://www.carsales.com.au/dealer/details/Kia-Rio-2015/OAG-AD-15659325/?Cr=254
OAG-AD-15659325,Rio - 2015 Kia Rio S Auto,age,age,3,2.56,https://www.carsales.com.au/dealer/details/Kia-Rio-2015/OAG-AD-15659325/?Cr=254
SSE-AD-5347474,Rio - 2012 Kia Rio S Manual,price,price,8000,2.43,https://www.carsales.com.au/private/details/Kia-Rio-2012/SSE-AD-5347474/?Cr=335
SSE-AD-5347474,Rio - 2012 Kia Rio S Manual,milage,milage,38440,2.43,https://www.carsales.com.au/private/details/Kia-Rio-2012/SSE-AD-5347474/?Cr=335
SSE-AD-5347474,Rio - 2012 Kia Rio S Manual,age,age,6,2.43,https://www.carsales.com.au/private/details/Kia-Rio-2012/SSE-AD-5347474/?Cr=335
SSE-AD-5417407,Rio - 2014 Kia Rio S Manual,price,price,9500,2.39,https://www.carsales.com.au/private/details/Kia-Rio-2014/SSE-AD-5417407/?Cr=325
SSE-AD-5417407,Rio - 2014 Kia Rio S Manual,milage,milage,33000,2.39,https://www.carsales.com.au/private/details/Kia-Rio-2014/SSE-AD-5417407/?Cr=325
SSE-AD-5417407,Rio - 2014 Kia Rio S Manual,age,age,4,2.39,https://www.carsales.com.au/private/details/Kia-Rio-2014/SSE-AD-5417407/?Cr=325
SSE-AD-5462705,Rio - 2014 Kia Rio S Manual,price,price,8500,2.39,https://www.carsales.com.au/private/details/Kia-Rio-2014/SSE-AD-5462705/?Cr=63
SSE-AD-5462705,Rio - 2014 Kia Rio S Manual,milage,milage,47000,2.39,https://www.carsales.com.au/private/details/Kia-Rio-2014/SSE-AD-5462705/?Cr=63
SSE-AD-5462705,Rio - 2014 Kia Rio S Manual,age,age,4,2.39,https://www.carsales.com.au/private/details/Kia-Rio-2014/SSE-AD-5462705/?Cr=63
SSE-AD-5410283,Rio - 2010 Kia Rio Sports Special Edition Manual,price,price,5500,2.12,https://www.carsales.com.au/private/details/Kia-Rio-2010/SSE-AD-5410283/?Cr=445
SSE-AD-5410283,Rio - 2010 Kia Rio Sports Special Edition Manual,milage,milage,68000,2.12,https://www.carsales.com.au/private/details/Kia-Rio-2010/SSE-AD-5410283/?Cr=445
SSE-AD-5410283,Rio - 2010 Kia Rio Sports Special Edition Manual,age,age,8,2.12,https://www.carsales.com.au/private/details/Kia-Rio-2010/SSE-AD-5410283/?Cr=445
SSE-AD-5392627,Rio - 2012 Kia Rio S Manual,price,price,6800,2.07,https://www.carsales.com.au/private/details/Kia-Rio-2012/SSE-AD-5392627/?Cr=191
SSE-AD-5392627,Rio - 2012 Kia Rio S Manual,milage,milage,65550,2.07,https://www.carsales.com.au/private/details/Kia-Rio-2012/SSE-AD-5392627/?Cr=191
SSE-AD-5392627,Rio - 2012 Kia Rio S Manual,age,age,6,2.07,https://www.carsales.com.au/private/details/Kia-Rio-2012/SSE-AD-5392627/?Cr=191
SSE-AD-5293459,Rio - 2012 Kia Rio S Manual,price,price,7799,2.07,https://www.carsales.com.au/private/details/Kia-Rio-2012/SSE-AD-5293459/?Cr=326
SSE-AD-5293459,Rio - 2012 Kia Rio S Manual,milage,milage,51650,2.07,https://www.carsales.com.au/private/details/Kia-Rio-2012/SSE-AD-5293459/?Cr=326
SSE-AD-5293459,Rio - 2012 Kia Rio S Manual,age,age,6,2.07,https://www.carsales.com.au/private/details/Kia-Rio-2012/SSE-AD-5293459/?Cr=326
OAG-AD-15938020,Rio - 2012 Kia Rio S Manual,price,price,6995,2.04,https://www.carsales.com.au/dealer/details/Kia-Rio-2012/OAG-AD-15938020/?Cr=204
OAG-AD-15938020,Rio - 2012 Kia Rio S Manual,milage,milage,63664,2.04,https://www.carsales.com.au/dealer/details/Kia-Rio-2012/OAG-AD-15938020/?Cr=204
OAG-AD-15938020,Rio - 2012 Kia Rio S Manual,age,age,6,2.04,https://www.carsales.com.au/dealer/details/Kia-Rio-2012/OAG-AD-15938020/?Cr=204
SSE-AD-5418678,Rio - 2013 Kia Rio Si Auto,price,price,10999,1.96,https://www.carsales.com.au/private/details/Kia-Rio-2013/SSE-AD-5418678/?Cr=457
SSE-AD-5418678,Rio - 2013 Kia Rio Si Auto,milage,milage,17000,1.96,https://www.carsales.com.au/private/details/Kia-Rio-2013/SSE-AD-5418678/?Cr=457
SSE-AD-5418678,Rio - 2013 Kia Rio Si Auto,age,age,5,1.96,https://www.carsales.com.au/private/details/Kia-Rio-2013/SSE-AD-5418678/?Cr=457
SSE-AD-5382084,Rio - 2016 Kia Rio S Manual,price,price,13500,1.92,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5382084/?Cr=321
SSE-AD-5382084,Rio - 2016 Kia Rio S Manual,milage,milage,4672,1.92,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5382084/?Cr=321
SSE-AD-5382084,Rio - 2016 Kia Rio S Manual,age,age,2,1.92,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5382084/?Cr=321
OAG-AD-15969347,Rio - 2014 Kia Rio S Manual,price,price,10200,1.90,https://www.carsales.com.au/dealer/details/Kia-Rio-2014/OAG-AD-15969347/?Cr=20
OAG-AD-15969347,Rio - 2014 Kia Rio S Manual,milage,milage,37211,1.90,https://www.carsales.com.au/dealer/details/Kia-Rio-2014/OAG-AD-15969347/?Cr=20
OAG-AD-15969347,Rio - 2014 Kia Rio S Manual,age,age,4,1.90,https://www.carsales.com.au/dealer/details/Kia-Rio-2014/OAG-AD-15969347/?Cr=20
SSE-AD-5440085,Rio - 2016 Kia Rio S-Premium Manual,price,price,10000,1.80,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5440085/?Cr=437
SSE-AD-5440085,Rio - 2016 Kia Rio S-Premium Manual,milage,milage,57000,1.80,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5440085/?Cr=437
SSE-AD-5440085,Rio - 2016 Kia Rio S-Premium Manual,age,age,2,1.80,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5440085/?Cr=437
SSE-AD-5444356,Rio - 2014 Kia Rio SE Manual,price,price,9900,1.80,https://www.carsales.com.au/private/details/Kia-Rio-2014/SSE-AD-5444356/?Cr=348
SSE-AD-5444356,Rio - 2014 Kia Rio SE Manual,milage,milage,44200,1.80,https://www.carsales.com.au/private/details/Kia-Rio-2014/SSE-AD-5444356/?Cr=348
SSE-AD-5444356,Rio - 2014 Kia Rio SE Manual,age,age,4,1.80,https://www.carsales.com.au/private/details/Kia-Rio-2014/SSE-AD-5444356/?Cr=348
OAG-AD-15998004,Rio - 2015 Kia Rio S Auto,price,price,9990,1.76,https://www.carsales.com.au/dealer/details/Kia-Rio-2015/OAG-AD-15998004/?Cr=448
OAG-AD-15998004,Rio - 2015 Kia Rio S Auto,milage,milage,51016,1.76,https://www.carsales.com.au/dealer/details/Kia-Rio-2015/OAG-AD-15998004/?Cr=448
OAG-AD-15998004,Rio - 2015 Kia Rio S Auto,age,age,3,1.76,https://www.carsales.com.au/dealer/details/Kia-Rio-2015/OAG-AD-15998004/?Cr=448
SSE-AD-5317721,Rio - 2009 Kia Rio LX Manual,price,price,3999,1.73,https://www.carsales.com.au/private/details/Kia-Rio-2009/SSE-AD-5317721/?Cr=468
SSE-AD-5317721,Rio - 2009 Kia Rio LX Manual,milage,milage,92964,1.73,https://www.carsales.com.au/private/details/Kia-Rio-2009/SSE-AD-5317721/?Cr=468
