model,description,metric,metric_code,value,rating,link
SSE-AD-5402220,Range - 2004 Land Rover Range Rover Vogue Auto 4x4,price,price,19999,2.37,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-2004/SSE-AD-5402220/?Cr=137
SSE-AD-5402220,Range - 2004 Land Rover Range Rover Vogue Auto 4x4,milage,milage,120000,2.37,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-2004/SSE-AD-5402220/?Cr=137
SSE-AD-5402220,Range - 2004 Land Rover Range Rover Vogue Auto 4x4,age,age,14,2.37,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-2004/SSE-AD-5402220/?Cr=137
SSE-AD-5272830,Range - 1986 Land Rover Range Rover Hi-Line Manual 4WD,price,price,18000,2.09,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-1986/SSE-AD-5272830/?Cr=114
SSE-AD-5272830,Range - 1986 Land Rover Range Rover Hi-Line Manual 4WD,milage,milage,45000,2.09,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-1986/SSE-AD-5272830/?Cr=114
SSE-AD-5272830,Range - 1986 Land Rover Range Rover Hi-Line Manual 4WD,age,age,32,2.09,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-1986/SSE-AD-5272830/?Cr=114
SSE-AD-5651893,Range - 2004 Land Rover Range Rover Vogue Auto 4x4,price,price,14500,2.00,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-2004/SSE-AD-5651893/?gts=SSE-AD-5651893&gtssaleid=SSE-AD-5651893&rankingType=Spotlight
SSE-AD-5651893,Range - 2004 Land Rover Range Rover Vogue Auto 4x4,milage,milage,150000,2.00,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-2004/SSE-AD-5651893/?gts=SSE-AD-5651893&gtssaleid=SSE-AD-5651893&rankingType=Spotlight
SSE-AD-5651893,Range - 2004 Land Rover Range Rover Vogue Auto 4x4,age,age,14,2.00,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-2004/SSE-AD-5651893/?gts=SSE-AD-5651893&gtssaleid=SSE-AD-5651893&rankingType=Spotlight
SSE-AD-5597489,Range - 2002 Land Rover Range Rover Vogue Auto 4x4,price,price,14000,1.97,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-2002/SSE-AD-5597489/?Cr=91
SSE-AD-5597489,Range - 2002 Land Rover Range Rover Vogue Auto 4x4,milage,milage,141900,1.97,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-2002/SSE-AD-5597489/?Cr=91
SSE-AD-5597489,Range - 2002 Land Rover Range Rover Vogue Auto 4x4,age,age,16,1.97,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-2002/SSE-AD-5597489/?Cr=91
OAG-AD-16213336,Range - 2013 Land Rover Range Rover V6SC HSE Auto 4x4,price,price,104990,1.97,https://www.carsales.com.au/dealer/details/Land-Rover-Range-Rover-2013/OAG-AD-16213336/?Cr=40
OAG-AD-16213336,Range - 2013 Land Rover Range Rover V6SC HSE Auto 4x4,milage,milage,41200,1.97,https://www.carsales.com.au/dealer/details/Land-Rover-Range-Rover-2013/OAG-AD-16213336/?Cr=40
OAG-AD-16213336,Range - 2013 Land Rover Range Rover V6SC HSE Auto 4x4,age,age,5,1.97,https://www.carsales.com.au/dealer/details/Land-Rover-Range-Rover-2013/OAG-AD-16213336/?Cr=40
SSE-AD-5553450,Range - 1981 Land Rover Range Rover Manual 4WD,price,price,4999,1.96,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-1981/SSE-AD-5553450/?Cr=170
SSE-AD-5553450,Range - 1981 Land Rover Range Rover Manual 4WD,milage,milage,48241,1.96,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-1981/SSE-AD-5553450/?Cr=170
SSE-AD-5553450,Range - 1981 Land Rover Range Rover Manual 4WD,age,age,37,1.96,https://www.carsales.com.au/private/details/Land-Rover-Range-Rover-1981/SSE-AD-5553450/?Cr=170
OAG-AD-16397075,Range - 2014 Land Rover Range Rover SDV8 Autobiography Black LWB Auto 4x4,price,price,99990,1.96,https://www.carsales.com.au/dealer/details/Land-Rover-Range-Rover-2014/OAG-AD-16397075/?Cr=160
OAG-AD-16397075,Range - 2014 Land Rover Range Rover SDV8 Autobiography Black LWB Auto 4x4,milage,milage,55865,1.96,https://www.carsales.com.au/dealer/details/Land-Rover-Range-Rover-2014/OAG-AD-16397075/?Cr=160
OAG-AD-16397075,Range - 2014 Land Rover Range Rover SDV8 Autobiography Black LWB Auto 4x4,age,age,4,1.96,https://www.carsales.com.au/dealer/details/Land-Rover-Range-Rover-2014/OAG-AD-16397075/?Cr=160
