model,description,metric,metric_code,value,rating,link
SSE-AD-5226372,370Z - 2013 Nissan 370Z Z34 Manual,price,price,33000,2.26,https://www.carsales.com.au/private/details/Nissan-370Z-2013/SSE-AD-5226372/?Cr=102
SSE-AD-5226372,370Z - 2013 Nissan 370Z Z34 Manual,milage,milage,9500,2.26,https://www.carsales.com.au/private/details/Nissan-370Z-2013/SSE-AD-5226372/?Cr=102
SSE-AD-5226372,370Z - 2013 Nissan 370Z Z34 Manual,age,age,5,2.26,https://www.carsales.com.au/private/details/Nissan-370Z-2013/SSE-AD-5226372/?Cr=102
OAG-AD-15525899,370Z - 2016 Nissan 370Z Z34 Manual,price,price,37597,2.13,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15525899/?Cr=43
OAG-AD-15525899,370Z - 2016 Nissan 370Z Z34 Manual,milage,milage,7852,2.13,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15525899/?Cr=43
OAG-AD-15525899,370Z - 2016 Nissan 370Z Z34 Manual,age,age,2,2.13,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15525899/?Cr=43
SSE-AD-5228139,370Z - 2016 Nissan 370Z Z34 Auto,price,price,37900,2.11,https://www.carsales.com.au/private/details/Nissan-370Z-2016/SSE-AD-5228139/?Cr=373
SSE-AD-5228139,370Z - 2016 Nissan 370Z Z34 Auto,milage,milage,6878,2.11,https://www.carsales.com.au/private/details/Nissan-370Z-2016/SSE-AD-5228139/?Cr=373
SSE-AD-5228139,370Z - 2016 Nissan 370Z Z34 Auto,age,age,2,2.11,https://www.carsales.com.au/private/details/Nissan-370Z-2016/SSE-AD-5228139/?Cr=373
SSE-AD-959868,370Z - 2010 Nissan 370Z Z34 Auto,price,price,31600,2.11,https://www.carsales.com.au/private/details/Nissan-370Z-2010/SSE-AD-959868/?Cr=294
SSE-AD-959868,370Z - 2010 Nissan 370Z Z34 Auto,milage,milage,3200,2.11,https://www.carsales.com.au/private/details/Nissan-370Z-2010/SSE-AD-959868/?Cr=294
SSE-AD-959868,370Z - 2010 Nissan 370Z Z34 Auto,age,age,8,2.11,https://www.carsales.com.au/private/details/Nissan-370Z-2010/SSE-AD-959868/?Cr=294
SSE-AD-5216992,370Z - 2013 Nissan 370Z Z34 Auto,price,price,29000,2.09,https://www.carsales.com.au/private/details/Nissan-370Z-2013/SSE-AD-5216992/?Cr=271
SSE-AD-5216992,370Z - 2013 Nissan 370Z Z34 Auto,milage,milage,34000,2.09,https://www.carsales.com.au/private/details/Nissan-370Z-2013/SSE-AD-5216992/?Cr=271
SSE-AD-5216992,370Z - 2013 Nissan 370Z Z34 Auto,age,age,5,2.09,https://www.carsales.com.au/private/details/Nissan-370Z-2013/SSE-AD-5216992/?Cr=271
SSE-AD-4735081,370Z - 2014 Nissan 370Z Z34 Manual,price,price,31900,2.03,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-4735081/?Cr=177
SSE-AD-4735081,370Z - 2014 Nissan 370Z Z34 Manual,milage,milage,27231,2.03,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-4735081/?Cr=177
SSE-AD-4735081,370Z - 2014 Nissan 370Z Z34 Manual,age,age,4,2.03,https://www.carsales.com.au/private/details/Nissan-370Z-2014/SSE-AD-4735081/?Cr=177
OAG-AD-15462234,370Z - 2015 Nissan 370Z Z34 Manual,price,price,35999,2.03,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15462234/?Cr=114
OAG-AD-15462234,370Z - 2015 Nissan 370Z Z34 Manual,milage,milage,12811,2.03,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15462234/?Cr=114
OAG-AD-15462234,370Z - 2015 Nissan 370Z Z34 Manual,age,age,3,2.03,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15462234/?Cr=114
SSE-AD-4524858,370Z - 2015 Nissan 370Z Z34 Auto,price,price,36868,1.99,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4524858/?Cr=2
SSE-AD-4524858,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,9500,1.99,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4524858/?Cr=2
SSE-AD-4524858,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,1.99,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4524858/?Cr=2
SSE-AD-4786607,370Z - 2015 Nissan 370Z Z34 Auto,price,price,36000,1.95,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4786607/?Cr=248
SSE-AD-4786607,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,15000,1.95,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4786607/?Cr=248
SSE-AD-4786607,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,1.95,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-4786607/?Cr=248
OAG-AD-15408137,370Z - 2016 Nissan 370Z Z34 Manual,price,price,39989,1.87,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15408137/?Cr=191
OAG-AD-15408137,370Z - 2016 Nissan 370Z Z34 Manual,milage,milage,3503,1.87,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15408137/?Cr=191
OAG-AD-15408137,370Z - 2016 Nissan 370Z Z34 Manual,age,age,2,1.87,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-15408137/?Cr=191
OAG-AD-14147578,370Z - 2016 Nissan 370Z Z34 Auto,price,price,39456,1.82,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-14147578/?Cr=110
OAG-AD-14147578,370Z - 2016 Nissan 370Z Z34 Auto,milage,milage,7517,1.82,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-14147578/?Cr=110
OAG-AD-14147578,370Z - 2016 Nissan 370Z Z34 Auto,age,age,2,1.82,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-14147578/?Cr=110
OAG-AD-13140317,370Z - 2014 Nissan 370Z Z34 Manual,price,price,33990,1.82,https://www.carsales.com.au/dealer/details/Nissan-370Z-2014/OAG-AD-13140317/?Cr=42
OAG-AD-13140317,370Z - 2014 Nissan 370Z Z34 Manual,milage,milage,22900,1.82,https://www.carsales.com.au/dealer/details/Nissan-370Z-2014/OAG-AD-13140317/?Cr=42
OAG-AD-13140317,370Z - 2014 Nissan 370Z Z34 Manual,age,age,4,1.82,https://www.carsales.com.au/dealer/details/Nissan-370Z-2014/OAG-AD-13140317/?Cr=42
OAG-AD-14905045,370Z - 2016 Nissan 370Z Z34 Auto,price,price,39888,1.79,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-14905045/?Cr=160
OAG-AD-14905045,370Z - 2016 Nissan 370Z Z34 Auto,milage,milage,6033,1.79,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-14905045/?Cr=160
OAG-AD-14905045,370Z - 2016 Nissan 370Z Z34 Auto,age,age,2,1.79,https://www.carsales.com.au/dealer/details/Nissan-370Z-2016/OAG-AD-14905045/?Cr=160
SSE-AD-4383112,370Z - 2010 Nissan 370Z Z34 Auto,price,price,25000,1.78,https://www.carsales.com.au/private/details/Nissan-370Z-2010/SSE-AD-4383112/?Cr=402
SSE-AD-4383112,370Z - 2010 Nissan 370Z Z34 Auto,milage,milage,45000,1.78,https://www.carsales.com.au/private/details/Nissan-370Z-2010/SSE-AD-4383112/?Cr=402
SSE-AD-4383112,370Z - 2010 Nissan 370Z Z34 Auto,age,age,8,1.78,https://www.carsales.com.au/private/details/Nissan-370Z-2010/SSE-AD-4383112/?Cr=402
OAG-AD-15498007,370Z - 2017 Nissan 370Z Z34 Auto,price,price,41500,1.78,https://www.carsales.com.au/demo/details/Nissan-370Z-2017/OAG-AD-15498007/?Cr=143
OAG-AD-15498007,370Z - 2017 Nissan 370Z Z34 Auto,milage,milage,4247,1.78,https://www.carsales.com.au/demo/details/Nissan-370Z-2017/OAG-AD-15498007/?Cr=143
OAG-AD-15498007,370Z - 2017 Nissan 370Z Z34 Auto,age,age,1,1.78,https://www.carsales.com.au/demo/details/Nissan-370Z-2017/OAG-AD-15498007/?Cr=143
OAG-AD-14962192,370Z - 2015 Nissan 370Z Z34 Auto,price,price,37877,1.77,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-14962192/?Cr=11
OAG-AD-14962192,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,10800,1.77,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-14962192/?Cr=11
OAG-AD-14962192,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,1.77,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-14962192/?Cr=11
SSE-AD-5067921,370Z - 2015 Nissan 370Z Z34 Auto,price,price,33650,1.76,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-5067921/?Cr=235
SSE-AD-5067921,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,32000,1.76,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-5067921/?Cr=235
SSE-AD-5067921,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,1.76,https://www.carsales.com.au/private/details/Nissan-370Z-2015/SSE-AD-5067921/?Cr=235
OAG-AD-15079068,370Z - 2015 Nissan 370Z Z34 Auto,price,price,36450,1.76,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15079068/?Cr=59
OAG-AD-15079068,370Z - 2015 Nissan 370Z Z34 Auto,milage,milage,18176,1.76,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15079068/?Cr=59
OAG-AD-15079068,370Z - 2015 Nissan 370Z Z34 Auto,age,age,3,1.76,https://www.carsales.com.au/dealer/details/Nissan-370Z-2015/OAG-AD-15079068/?Cr=59
SSE-AD-5160987,370Z - 2011 Nissan 370Z Z34 Auto,price,price,30500,1.74,https://www.carsales.com.au/private/details/Nissan-370Z-2011/SSE-AD-5160987/?Cr=414
SSE-AD-5160987,370Z - 2011 Nissan 370Z Z34 Auto,milage,milage,25000,1.74,https://www.carsales.com.au/private/details/Nissan-370Z-2011/SSE-AD-5160987/?Cr=414
