model,description,metric,metric_code,value,rating,link
OAG-AD-16331428,Forester - 2017 Subaru Forester 2.5i-L S4 Auto AWD,price,price,27875,2.83,https://www.carsales.com.au/dealer/details/Subaru-Forester-2017/OAG-AD-16331428/?Cr=142
OAG-AD-16331428,Forester - 2017 Subaru Forester 2.5i-L S4 Auto AWD,milage,milage,4892,2.83,https://www.carsales.com.au/dealer/details/Subaru-Forester-2017/OAG-AD-16331428/?Cr=142
OAG-AD-16331428,Forester - 2017 Subaru Forester 2.5i-L S4 Auto AWD,age,age,1,2.83,https://www.carsales.com.au/dealer/details/Subaru-Forester-2017/OAG-AD-16331428/?Cr=142
OAG-AD-16354914,Forester - 2013 Subaru Forester 2.5i S4 Auto AWD,price,price,16990,2.80,https://www.carsales.com.au/dealer/details/Subaru-Forester-2013/OAG-AD-16354914/?Cr=497
OAG-AD-16354914,Forester - 2013 Subaru Forester 2.5i S4 Auto AWD,milage,milage,43020,2.80,https://www.carsales.com.au/dealer/details/Subaru-Forester-2013/OAG-AD-16354914/?Cr=497
OAG-AD-16354914,Forester - 2013 Subaru Forester 2.5i S4 Auto AWD,age,age,5,2.80,https://www.carsales.com.au/dealer/details/Subaru-Forester-2013/OAG-AD-16354914/?Cr=497
OAG-AD-15327157,Forester - 2017 Subaru Forester 2.5i-L S4 Auto AWD,price,price,27875,2.41,https://www.carsales.com.au/dealer/details/Subaru-Forester-2017/OAG-AD-15327157/?Cr=1
OAG-AD-15327157,Forester - 2017 Subaru Forester 2.5i-L S4 Auto AWD,milage,milage,16927,2.41,https://www.carsales.com.au/dealer/details/Subaru-Forester-2017/OAG-AD-15327157/?Cr=1
OAG-AD-15327157,Forester - 2017 Subaru Forester 2.5i-L S4 Auto AWD,age,age,1,2.41,https://www.carsales.com.au/dealer/details/Subaru-Forester-2017/OAG-AD-15327157/?Cr=1
OAG-AD-16264610,Forester - 2018 Subaru Forester 2.5i-L S4 Auto AWD,price,price,29870,2.34,https://www.carsales.com.au/dealer/details/Subaru-Forester-2018/OAG-AD-16264610/?Cr=125
OAG-AD-16264610,Forester - 2018 Subaru Forester 2.5i-L S4 Auto AWD,milage,milage,14689,2.34,https://www.carsales.com.au/dealer/details/Subaru-Forester-2018/OAG-AD-16264610/?Cr=125
OAG-AD-16264610,Forester - 2018 Subaru Forester 2.5i-L S4 Auto AWD,age,age,0,2.34,https://www.carsales.com.au/dealer/details/Subaru-Forester-2018/OAG-AD-16264610/?Cr=125
OAG-AD-16198635,Forester - 2013 Subaru Forester 2.0D-L S4 Manual AWD,price,price,14800,2.30,https://www.carsales.com.au/dealer/details/Subaru-Forester-2013/OAG-AD-16198635/?Cr=192
OAG-AD-16198635,Forester - 2013 Subaru Forester 2.0D-L S4 Manual AWD,milage,milage,72571,2.30,https://www.carsales.com.au/dealer/details/Subaru-Forester-2013/OAG-AD-16198635/?Cr=192
