model,description,metric,metric_code,value,rating,link
SSE-AD-5638078,86 - 2014 Toyota 86 GT Manual,price,price,18000,3.11,https://www.carsales.com.au/private/details/Toyota-86-2014/SSE-AD-5638078/?gts=SSE-AD-5638078&gtssaleid=SSE-AD-5638078&rankingType=Spotlight
SSE-AD-5638078,86 - 2014 Toyota 86 GT Manual,milage,milage,61000,3.11,https://www.carsales.com.au/private/details/Toyota-86-2014/SSE-AD-5638078/?gts=SSE-AD-5638078&gtssaleid=SSE-AD-5638078&rankingType=Spotlight
SSE-AD-5638078,86 - 2014 Toyota 86 GT Manual,age,age,4,3.11,https://www.carsales.com.au/private/details/Toyota-86-2014/SSE-AD-5638078/?gts=SSE-AD-5638078&gtssaleid=SSE-AD-5638078&rankingType=Spotlight
SSE-AD-5408158,86 - 2012 Toyota 86 GT Manual,price,price,17500,2.21,https://www.carsales.com.au/private/details/Toyota-86-2012/SSE-AD-5408158/?Cr=3
SSE-AD-5408158,86 - 2012 Toyota 86 GT Manual,milage,milage,61000,2.21,https://www.carsales.com.au/private/details/Toyota-86-2012/SSE-AD-5408158/?Cr=3
SSE-AD-5408158,86 - 2012 Toyota 86 GT Manual,age,age,6,2.21,https://www.carsales.com.au/private/details/Toyota-86-2012/SSE-AD-5408158/?Cr=3
OAG-AD-16340042,86 - 2017 Toyota 86 GT Manual,price,price,27980,1.50,https://www.carsales.com.au/dealer/details/Toyota-86-2017/OAG-AD-16340042/?Cr=6
OAG-AD-16340042,86 - 2017 Toyota 86 GT Manual,milage,milage,13872,1.50,https://www.carsales.com.au/dealer/details/Toyota-86-2017/OAG-AD-16340042/?Cr=6
OAG-AD-16340042,86 - 2017 Toyota 86 GT Manual,age,age,1,1.50,https://www.carsales.com.au/dealer/details/Toyota-86-2017/OAG-AD-16340042/?Cr=6
SSE-AD-5628786,86 - 2013 Toyota 86 GTS Manual,price,price,22500,1.21,https://www.carsales.com.au/private/details/Toyota-86-2013/SSE-AD-5628786/?gts=SSE-AD-5628786&gtssaleid=SSE-AD-5628786&rankingType=Spotlight
SSE-AD-5628786,86 - 2013 Toyota 86 GTS Manual,milage,milage,36000,1.21,https://www.carsales.com.au/private/details/Toyota-86-2013/SSE-AD-5628786/?gts=SSE-AD-5628786&gtssaleid=SSE-AD-5628786&rankingType=Spotlight
SSE-AD-5628786,86 - 2013 Toyota 86 GTS Manual,age,age,5,1.21,https://www.carsales.com.au/private/details/Toyota-86-2013/SSE-AD-5628786/?gts=SSE-AD-5628786&gtssaleid=SSE-AD-5628786&rankingType=Spotlight
SSE-AD-5534282,86 - 2013 Toyota 86 GTS Manual,price,price,22000,1.03,https://www.carsales.com.au/private/details/Toyota-86-2013/SSE-AD-5534282/?gts=SSE-AD-5534282&gtssaleid=SSE-AD-5534282&rankingType=Spotlight
SSE-AD-5534282,86 - 2013 Toyota 86 GTS Manual,milage,milage,42067,1.03,https://www.carsales.com.au/private/details/Toyota-86-2013/SSE-AD-5534282/?gts=SSE-AD-5534282&gtssaleid=SSE-AD-5534282&rankingType=Spotlight
SSE-AD-5534282,86 - 2013 Toyota 86 GTS Manual,age,age,5,1.03,https://www.carsales.com.au/private/details/Toyota-86-2013/SSE-AD-5534282/?gts=SSE-AD-5534282&gtssaleid=SSE-AD-5534282&rankingType=Spotlight
OAG-AD-16172030,86 - 2013 Toyota 86 GT Manual,price,price,18988,0.98,https://www.carsales.com.au/dealer/details/Toyota-86-2013/OAG-AD-16172030/?gts=OAG-AD-16172030&gtssaleid=OAG-AD-16172030&rankingType=Showcase
OAG-AD-16172030,86 - 2013 Toyota 86 GT Manual,milage,milage,68048,0.98,https://www.carsales.com.au/dealer/details/Toyota-86-2013/OAG-AD-16172030/?gts=OAG-AD-16172030&gtssaleid=OAG-AD-16172030&rankingType=Showcase
OAG-AD-16172030,86 - 2013 Toyota 86 GT Manual,age,age,5,0.98,https://www.carsales.com.au/dealer/details/Toyota-86-2013/OAG-AD-16172030/?gts=OAG-AD-16172030&gtssaleid=OAG-AD-16172030&rankingType=Showcase
OAG-AD-16346337,86 - 2014 Toyota 86 GTS Manual,price,price,23873,0.75,https://www.carsales.com.au/dealer/details/Toyota-86-2014/OAG-AD-16346337/?gts=OAG-AD-16346337&gtssaleid=OAG-AD-16346337&rankingType=TopSpot
OAG-AD-16346337,86 - 2014 Toyota 86 GTS Manual,milage,milage,36000,0.75,https://www.carsales.com.au/dealer/details/Toyota-86-2014/OAG-AD-16346337/?gts=OAG-AD-16346337&gtssaleid=OAG-AD-16346337&rankingType=TopSpot
OAG-AD-16346337,86 - 2014 Toyota 86 GTS Manual,age,age,4,0.75,https://www.carsales.com.au/dealer/details/Toyota-86-2014/OAG-AD-16346337/?gts=OAG-AD-16346337&gtssaleid=OAG-AD-16346337&rankingType=TopSpot
SSE-AD-5641454,86 - 2015 Toyota 86 Blackline Edition Auto,price,price,26000,0.03,https://www.carsales.com.au/private/details/Toyota-86-2015/SSE-AD-5641454/?Cr=0
SSE-AD-5641454,86 - 2015 Toyota 86 Blackline Edition Auto,milage,milage,32327,0.03,https://www.carsales.com.au/private/details/Toyota-86-2015/SSE-AD-5641454/?Cr=0
SSE-AD-5641454,86 - 2015 Toyota 86 Blackline Edition Auto,age,age,3,0.03,https://www.carsales.com.au/private/details/Toyota-86-2015/SSE-AD-5641454/?Cr=0
SSE-AD-5617194,86 - 2014 Toyota 86 GTS Manual,price,price,22990,-0.36,https://www.carsales.com.au/private/details/Toyota-86-2014/SSE-AD-5617194/?gts=SSE-AD-5617194&gtssaleid=SSE-AD-5617194&rankingType=Spotlight
SSE-AD-5617194,86 - 2014 Toyota 86 GTS Manual,milage,milage,54985,-0.36,https://www.carsales.com.au/private/details/Toyota-86-2014/SSE-AD-5617194/?gts=SSE-AD-5617194&gtssaleid=SSE-AD-5617194&rankingType=Spotlight
SSE-AD-5617194,86 - 2014 Toyota 86 GTS Manual,age,age,4,-0.36,https://www.carsales.com.au/private/details/Toyota-86-2014/SSE-AD-5617194/?gts=SSE-AD-5617194&gtssaleid=SSE-AD-5617194&rankingType=Spotlight
OAG-AD-16120764,86 - 2017 Toyota 86 GTS Manual,price,price,30990,-0.47,https://www.carsales.com.au/dealer/details/Toyota-86-2017/OAG-AD-16120764/?Cr=4
OAG-AD-16120764,86 - 2017 Toyota 86 GTS Manual,milage,milage,8992,-0.47,https://www.carsales.com.au/dealer/details/Toyota-86-2017/OAG-AD-16120764/?Cr=4
OAG-AD-16120764,86 - 2017 Toyota 86 GTS Manual,age,age,1,-0.47,https://www.carsales.com.au/dealer/details/Toyota-86-2017/OAG-AD-16120764/?Cr=4
OAG-AD-16303625,86 - 2014 Toyota 86 GTS Manual,price,price,23985,-0.80,https://www.carsales.com.au/dealer/details/Toyota-86-2014/OAG-AD-16303625/?Cr=2
OAG-AD-16303625,86 - 2014 Toyota 86 GTS Manual,milage,milage,51136,-0.80,https://www.carsales.com.au/dealer/details/Toyota-86-2014/OAG-AD-16303625/?Cr=2
OAG-AD-16303625,86 - 2014 Toyota 86 GTS Manual,age,age,4,-0.80,https://www.carsales.com.au/dealer/details/Toyota-86-2014/OAG-AD-16303625/?Cr=2
OAG-AD-16221664,86 - 2012 Toyota 86 GTS Auto,price,price,25877,-0.93,https://www.carsales.com.au/dealer/details/Toyota-86-2012/OAG-AD-16221664/?gts=OAG-AD-16221664&gtssaleid=OAG-AD-16221664&rankingType=Showcase
OAG-AD-16221664,86 - 2012 Toyota 86 GTS Auto,milage,milage,22928,-0.93,https://www.carsales.com.au/dealer/details/Toyota-86-2012/OAG-AD-16221664/?gts=OAG-AD-16221664&gtssaleid=OAG-AD-16221664&rankingType=Showcase
OAG-AD-16221664,86 - 2012 Toyota 86 GTS Auto,age,age,6,-0.93,https://www.carsales.com.au/dealer/details/Toyota-86-2012/OAG-AD-16221664/?gts=OAG-AD-16221664&gtssaleid=OAG-AD-16221664&rankingType=Showcase
OAG-AD-16355052,86 - 2014 Toyota 86 GTS Manual,price,price,22880,-0.99,https://www.carsales.com.au/dealer/details/Toyota-86-2014/OAG-AD-16355052/?Cr=1
OAG-AD-16355052,86 - 2014 Toyota 86 GTS Manual,milage,milage,62483,-0.99,https://www.carsales.com.au/dealer/details/Toyota-86-2014/OAG-AD-16355052/?Cr=1
OAG-AD-16355052,86 - 2014 Toyota 86 GTS Manual,age,age,4,-0.99,https://www.carsales.com.au/dealer/details/Toyota-86-2014/OAG-AD-16355052/?Cr=1
OAG-AD-16381673,86 - 2012 Toyota 86 GTS Auto,price,price,19800,-1.60,https://www.carsales.com.au/dealer/details/Toyota-86-2012/OAG-AD-16381673/?gts=OAG-AD-16381673&gtssaleid=OAG-AD-16381673&rankingType=Showcase
OAG-AD-16381673,86 - 2012 Toyota 86 GTS Auto,milage,milage,81176,-1.60,https://www.carsales.com.au/dealer/details/Toyota-86-2012/OAG-AD-16381673/?gts=OAG-AD-16381673&gtssaleid=OAG-AD-16381673&rankingType=Showcase
OAG-AD-16381673,86 - 2012 Toyota 86 GTS Auto,age,age,6,-1.60,https://www.carsales.com.au/dealer/details/Toyota-86-2012/OAG-AD-16381673/?gts=OAG-AD-16381673&gtssaleid=OAG-AD-16381673&rankingType=Showcase
OAG-AD-15952333,86 - 2014 Toyota 86 GTS Manual,price,price,23888,-2.26,https://www.carsales.com.au/dealer/details/Toyota-86-2014/OAG-AD-15952333/?Cr=5
OAG-AD-15952333,86 - 2014 Toyota 86 GTS Manual,milage,milage,67140,-2.26,https://www.carsales.com.au/dealer/details/Toyota-86-2014/OAG-AD-15952333/?Cr=5
OAG-AD-15952333,86 - 2014 Toyota 86 GTS Manual,age,age,4,-2.26,https://www.carsales.com.au/dealer/details/Toyota-86-2014/OAG-AD-15952333/?Cr=5
OAG-AD-16204011,86 - 2015 Toyota 86 GT Auto,price,price,26980,-3.41,https://www.carsales.com.au/dealer/details/Toyota-86-2015/OAG-AD-16204011/?gts=OAG-AD-16204011&gtssaleid=OAG-AD-16204011&rankingType=Showcase
OAG-AD-16204011,86 - 2015 Toyota 86 GT Auto,milage,milage,59840,-3.41,https://www.carsales.com.au/dealer/details/Toyota-86-2015/OAG-AD-16204011/?gts=OAG-AD-16204011&gtssaleid=OAG-AD-16204011&rankingType=Showcase
OAG-AD-16204011,86 - 2015 Toyota 86 GT Auto,age,age,3,-3.41,https://www.carsales.com.au/dealer/details/Toyota-86-2015/OAG-AD-16204011/?gts=OAG-AD-16204011&gtssaleid=OAG-AD-16204011&rankingType=Showcase
