model,description,metric,metric_code,value,rating,link
SSE-AD-5615776,Camry - 2000 Toyota Camry CSi Auto,price,price,1800,2.48,https://www.carsales.com.au/private/details/Toyota-Camry-2000/SSE-AD-5615776/?Cr=289
SSE-AD-5615776,Camry - 2000 Toyota Camry CSi Auto,milage,milage,110000,2.48,https://www.carsales.com.au/private/details/Toyota-Camry-2000/SSE-AD-5615776/?Cr=289
SSE-AD-5615776,Camry - 2000 Toyota Camry CSi Auto,age,age,18,2.48,https://www.carsales.com.au/private/details/Toyota-Camry-2000/SSE-AD-5615776/?Cr=289
SSE-AD-5504801,Camry - 2010 Toyota Camry Altise Auto,price,price,9000,2.41,https://www.carsales.com.au/private/details/Toyota-Camry-2010/SSE-AD-5504801/?Cr=187
SSE-AD-5504801,Camry - 2010 Toyota Camry Altise Auto,milage,milage,78170,2.41,https://www.carsales.com.au/private/details/Toyota-Camry-2010/SSE-AD-5504801/?Cr=187
SSE-AD-5504801,Camry - 2010 Toyota Camry Altise Auto,age,age,8,2.41,https://www.carsales.com.au/private/details/Toyota-Camry-2010/SSE-AD-5504801/?Cr=187
AGC-AD-10580514,Camry - 2008 Toyota Camry Altise Auto,price,price,8999,2.27,https://www.carsales.com.au/dealer/details/Toyota-Camry-2008/AGC-AD-10580514/?Cr=116
AGC-AD-10580514,Camry - 2008 Toyota Camry Altise Auto,milage,milage,71000,2.27,https://www.carsales.com.au/dealer/details/Toyota-Camry-2008/AGC-AD-10580514/?Cr=116
AGC-AD-10580514,Camry - 2008 Toyota Camry Altise Auto,age,age,10,2.27,https://www.carsales.com.au/dealer/details/Toyota-Camry-2008/AGC-AD-10580514/?Cr=116
SSE-AD-5628001,Camry - 2002 Toyota Camry Altise Auto,price,price,3450,2.23,https://www.carsales.com.au/private/details/Toyota-Camry-2002/SSE-AD-5628001/?Cr=283
SSE-AD-5628001,Camry - 2002 Toyota Camry Altise Auto,milage,milage,110000,2.23,https://www.carsales.com.au/private/details/Toyota-Camry-2002/SSE-AD-5628001/?Cr=283
SSE-AD-5628001,Camry - 2002 Toyota Camry Altise Auto,age,age,16,2.23,https://www.carsales.com.au/private/details/Toyota-Camry-2002/SSE-AD-5628001/?Cr=283
SSE-AD-5563516,Camry - 1999 Toyota Camry Touring Auto,price,price,4999,2.19,https://www.carsales.com.au/private/details/Toyota-Camry-1999/SSE-AD-5563516/?Cr=226
SSE-AD-5563516,Camry - 1999 Toyota Camry Touring Auto,milage,milage,71512,2.19,https://www.carsales.com.au/private/details/Toyota-Camry-1999/SSE-AD-5563516/?Cr=226
SSE-AD-5563516,Camry - 1999 Toyota Camry Touring Auto,age,age,19,2.19,https://www.carsales.com.au/private/details/Toyota-Camry-1999/SSE-AD-5563516/?Cr=226
SSE-AD-5562544,Camry - 2008 Toyota Camry Altise Auto,price,price,9200,2.18,https://www.carsales.com.au/private/details/Toyota-Camry-2008/SSE-AD-5562544/?Cr=201
SSE-AD-5562544,Camry - 2008 Toyota Camry Altise Auto,milage,milage,72000,2.18,https://www.carsales.com.au/private/details/Toyota-Camry-2008/SSE-AD-5562544/?Cr=201
SSE-AD-5562544,Camry - 2008 Toyota Camry Altise Auto,age,age,10,2.18,https://www.carsales.com.au/private/details/Toyota-Camry-2008/SSE-AD-5562544/?Cr=201
SSE-AD-5375370,Camry - 2005 Toyota Camry Altise Auto,price,price,6200,2.15,https://www.carsales.com.au/private/details/Toyota-Camry-2005/SSE-AD-5375370/?Cr=370
SSE-AD-5375370,Camry - 2005 Toyota Camry Altise Auto,milage,milage,95000,2.15,https://www.carsales.com.au/private/details/Toyota-Camry-2005/SSE-AD-5375370/?Cr=370
SSE-AD-5375370,Camry - 2005 Toyota Camry Altise Auto,age,age,13,2.15,https://www.carsales.com.au/private/details/Toyota-Camry-2005/SSE-AD-5375370/?Cr=370
SSE-AD-5501459,Camry - 2009 Toyota Camry Altise Auto,price,price,7500,2.10,https://www.carsales.com.au/private/details/Toyota-Camry-2009/SSE-AD-5501459/?Cr=223
SSE-AD-5501459,Camry - 2009 Toyota Camry Altise Auto,milage,milage,104400,2.10,https://www.carsales.com.au/private/details/Toyota-Camry-2009/SSE-AD-5501459/?Cr=223
SSE-AD-5501459,Camry - 2009 Toyota Camry Altise Auto,age,age,9,2.10,https://www.carsales.com.au/private/details/Toyota-Camry-2009/SSE-AD-5501459/?Cr=223
SSE-AD-5549535,Camry - 2009 Toyota Camry Altise Auto,price,price,9990,2.09,https://www.carsales.com.au/private/details/Toyota-Camry-2009/SSE-AD-5549535/?Cr=297
SSE-AD-5549535,Camry - 2009 Toyota Camry Altise Auto,milage,milage,71000,2.09,https://www.carsales.com.au/private/details/Toyota-Camry-2009/SSE-AD-5549535/?Cr=297
SSE-AD-5549535,Camry - 2009 Toyota Camry Altise Auto,age,age,9,2.09,https://www.carsales.com.au/private/details/Toyota-Camry-2009/SSE-AD-5549535/?Cr=297
SSE-AD-5605263,Camry - 2006 Toyota Camry Altise Auto,price,price,7900,2.08,https://www.carsales.com.au/private/details/Toyota-Camry-2006/SSE-AD-5605263/?Cr=307
SSE-AD-5605263,Camry - 2006 Toyota Camry Altise Auto,milage,milage,81000,2.08,https://www.carsales.com.au/private/details/Toyota-Camry-2006/SSE-AD-5605263/?Cr=307
SSE-AD-5605263,Camry - 2006 Toyota Camry Altise Auto,age,age,12,2.08,https://www.carsales.com.au/private/details/Toyota-Camry-2006/SSE-AD-5605263/?Cr=307
SSE-AD-5569024,Camry - 2005 Toyota Camry Altise Limited Auto,price,price,4900,2.04,https://www.carsales.com.au/private/details/Toyota-Camry-2005/SSE-AD-5569024/?Cr=267
SSE-AD-5569024,Camry - 2005 Toyota Camry Altise Limited Auto,milage,milage,116785,2.04,https://www.carsales.com.au/private/details/Toyota-Camry-2005/SSE-AD-5569024/?Cr=267
SSE-AD-5569024,Camry - 2005 Toyota Camry Altise Limited Auto,age,age,13,2.04,https://www.carsales.com.au/private/details/Toyota-Camry-2005/SSE-AD-5569024/?Cr=267
OAG-AD-16343153,Camry - 2010 Toyota Camry Altise Auto,price,price,10999,2.03,https://www.carsales.com.au/dealer/details/Toyota-Camry-2010/OAG-AD-16343153/?Cr=310
OAG-AD-16343153,Camry - 2010 Toyota Camry Altise Auto,milage,milage,66180,2.03,https://www.carsales.com.au/dealer/details/Toyota-Camry-2010/OAG-AD-16343153/?Cr=310
OAG-AD-16343153,Camry - 2010 Toyota Camry Altise Auto,age,age,8,2.03,https://www.carsales.com.au/dealer/details/Toyota-Camry-2010/OAG-AD-16343153/?Cr=310
OAG-AD-16237978,Camry - 2005 Toyota Camry Altise Auto,price,price,5990,2.03,https://www.carsales.com.au/dealer/details/Toyota-Camry-2005/OAG-AD-16237978/?Cr=316
OAG-AD-16237978,Camry - 2005 Toyota Camry Altise Auto,milage,milage,102618,2.03,https://www.carsales.com.au/dealer/details/Toyota-Camry-2005/OAG-AD-16237978/?Cr=316
OAG-AD-16237978,Camry - 2005 Toyota Camry Altise Auto,age,age,13,2.03,https://www.carsales.com.au/dealer/details/Toyota-Camry-2005/OAG-AD-16237978/?Cr=316
